全场最高能：80:44	结束了打多人吧

其他高能：
 3:04 - 4:30	早捏[比心]	(早,比心,捏)
 10:01 - 11:31	又有新勇士进雅阁了，太可怕了	(赖,了,，)
 13:02 - 19:42	今天是要开战了吗	(了,今天,大戏)
 22:43 - 22:53	树人儿把我们胃口吊足了自己跑了吗	(吊足,胃口,人儿)
 23:22 - 23:44	认错主播了，盆满钵满，多开心呀	(鸡版,俄罗斯,主播)
 26:23 - 27:45	爱牛都帮你卡了93个了	(技不如人,私信,看)
 30:10 - 30:11		()
 35:51 - 39:55	哇登顶	(！,👅,登顶)
 40:39 - 43:26	就骂你，那咋了	(喵,投降,了)
 43:32 - 47:33	雅阁了	(了,你,，)
 47:50 - 47:56		()
 48:04 - 49:10	现在说这个是看见你记录了	(输出,了,是)
 49:55 - 50:36	老板开皇帝了	(满,钵,盆满)
 54:17 - 55:04	以后bo不会再公共场合再提你了	(公共场合,吆西,你)
 55:24 - 55:52	还是开爆吧，他这样说还不顶放屁呢	(说,？,呢)
 56:04 - 57:06	洋次郎想当话事人[滑稽]	(他,是,。)
 57:45 - 60:41	你还要管粉丝的生活	(你,超级,？)
 62:48 - 63:05	绿忠23年的视频，评论下边第一条就在骂你	(用,封面,不让)
 63:12 - 63:28	让小粉去把隐藏砖顶出来你不就能上去了	(哈哈哈,是,哈哈哈哈)
 65:08 - 66:20	想看	(看,搞,你)
 67:36 - 68:24	那不是你自己的头像吗	(快进,那,的)
 70:34 - 72:10	他粉丝会说反正又没有禁止这种行为那咋了[dog]	(老板,糊涂,啊)
 73:05 - 73:15	现在说话的有几个没被马灯拉黑的呢	(跳,多次,几个)
 73:27 - 76:42	我也发了怎么不看我的	(的,满,钵)




 79:57 - 81:26	结束了打多人吧	(打多人,吧,了)
 119:39 - 121:40	是 哇	(了,出来,哇)
 122:37 - 123:28	我还等着你过了就睡觉呢，	(了,过,你)
 128:33 - 129:32	hk免签	(坡,路易,快乐)
 132:32 - 132:57	男朋友爱	(爱,男朋友,博爱)
 139:03 - 142:13	学费了吗，这样鉴别身边隐藏的富二代	(的,皇帝,指挥官)
