全场最高能：42:38	主播你的绿忠来了

其他高能：
 2:53 - 2:59	有舰长群	(~,舰长,群)
 3:26 - 5:21	为什么是我切割[花]不是主播切割我吗	(],[,花)
 6:36 - 7:42	主播现在过12点了，你NS2今天能到吗	(磁器,口,，)
 9:28 - 12:26	天天登顶，马里奥也没8000	(讲,！,灯顶)
 16:11 - 16:15		()
 16:28 - 16:38	Switch2Pro手柄有改善吗	(明白,2k,高刷)
 21:06 - 23:00	哇～～～ 灯顶	(灯顶,！,兔兔)
 25:06 - 26:50	说的多好啊	(],[,说)
 27:08 - 27:13	主播的视频有91个[dog]	(91,隐身,美美)
 30:27 - 31:17	孙道歉	(戾,道歉,一下)
 32:46 - 32:55	垫啊	(掉下去,传送,后)
 34:48 - 35:58	孬b	(孬,哈哈哈,大)
 36:06 - 36:21	《你mua都没了》	(mua,麦早,》)
 36:38 - 36:51	主播能不能停止网暴直播间观众	(红,满屏,停止)
 37:28 - 40:23	说他是人脉就放出来了	(了,，,是)
 40:53 - 44:52	主播你的绿忠来了	(，,了,])
 47:18 - 48:06	绿总该剪马灯了，你可是有授权的忠哥	(忠哥,粉忠,你)
 53:16 - 53:19	叽里咕噜说啥呢 开走	(叽里咕噜,开走,啥)
 74:56 - 75:46	专转传就是上海卷三个关键字	(，,转转,专转传)
 78:21 - 79:48	你播这么多年都没想到，白玩了	(你,了,没想到)
 87:04 - 88:20	主播我今天本来想去美神那帮你联络感情的	(？,今天,联络感情)
 88:56 - 89:17	直播间现在嘉宾不断	(蒙,的,不断)
 89:42 - 91:59	主播本来我想让美神做你嘉宾的但他没播[傲娇]	(我,，,主播)




 99:16 - 100:30	如果甜心和小杰结婚了，这个世界会是什么样子	(了,？,甜心)
 103:19 - 106:48	雅阁是主播运营的小号	(雅阁,的,主播)
 107:22 - 108:08	别拿gif糊弄你爹了	(拿,跳,的)
 122:23 - 123:36	pjbsb ×67	(代练,别骂,pjbsb)
 128:08 - 128:40	看看这个直播间	(气重,戾,选牛)
 128:53 - 130:31	所以洋次郎是主播房管 现在和主播切割了	(房管,次郎,是)
