全场最高能：182:23	没跑过迷路了

其他高能：
 1:48 - 3:04	你怎么比隔壁播狼人杀的都早了	(比心,好,孙怎早)
 3:37 - 5:48	说话声音好小啊	(早,声音,说话)
 6:13 - 6:22	对喔	(喔,对)
 6:28 - 6:47	认对主播	(认对,主播,认错)
 11:55 - 14:18	灯顶[哇]	(声音,~,了)
 40:44 - 41:56	今天玩不完馬車啊主播	(技不如人,！,寄)
 48:00 - 48:21	主播越上越早了，panga没有意见吗	(越,意见,panga)
 48:44 - 51:45	最后这一下属实技不如人	(技不如人,奇观,了)
 59:34 - 61:30	被秒了	(了,link,技不如人)
 67:50 - 70:18	戾气太重 操作变形	(CPU,ゅ,に)
 76:55 - 84:38	卧槽 灯顶	(！,灯顶,，)
 85:39 - 88:23	要被蓝龟壳寻了	(龟壳,了,落后)
 88:29 - 92:41	这不就来了	(，,了,的)
 100:10 - 101:11	寄了	(寄,了,技不如人)
 102:14 - 102:21	才第二天就八千了	(第二天,八千,才)
 103:26 - 104:00	有没有创造模式	(暂且,诱敌,盖以)
 106:04 - 106:55	世上还是好绿龟多啊	(逆行,啊,哈哈哈)
 108:28 - 109:13	登顶运气好一把	(马里奥,登顶,这个)
 112:13 - 112:45	高僧预测：两圈半王者	(半,王者,换)
 114:30 - 116:54	看来这游戏进4强是最难的	(第五,牛,了)
 117:01 - 118:49	但是有可能是最倒霉的那4个	(可能,了,的)
 126:14 - 128:10	第一是牛，哪来的马灯	(牛,，,角色)
 132:12 - 133:18	这确实技不如人	(哈哈哈,看不清,了)
 135:23 - 135:30	反墙跳不是太敢用	(太敢,反墙,跳)
 135:38 - 136:13	第一了	(时间,自重,直播)




 136:31 - 137:25	草怎么小桀都拿出来比了	(了,灯哥,你)
 137:26 - 138:49	吹牛逼呢 这叫走马车 你只能看着灯哥登顶	(你,马车,灯哥)
 140:03 - 140:39	我有预感不可能	(有,第一,要是)
 145:05 - 146:42	来了	(哈哈哈,哈哈哈哈,了)
 147:17 - 147:20		()
 147:25 - 148:06	绿龟是直线  红龟锁头	(红龟,锁头,绿龟)
 151:55 - 153:44	主播该切割爱牛了	(哈哈哈哈,],[)
 158:33 - 160:57	主播多人玩的少，水平下降了[dog]	(哈哈哈,主播,了)
 165:27 - 166:48	不背图是这样的	(呢,王者,哈哈哈)
 168:11 - 168:45	为什么卖电脑的都能吃鸡，主播不行	(吃,电脑,卖)
 171:21 - 173:34	target12了	(了,主播,喜欢)
 181:48 - 183:48	没跑过迷路了	(？,了,75)
 189:43 - 189:54	因为鬼是白白的	(贴,身上,🐢)
 195:35 - 196:50	pjbsb已然坏了	(pjbsb,了,漂移)
 201:32 - 203:28	蓝龟来了	(],[,喝彩)
 207:36 - 207:46	一圈半之内不会有	(之内,狗运,龟)
 208:08 - 208:15	有的人就是键	(键,ybb,就是)
 208:25 - 209:39	主播没人食人花砍伐证吗怎么不把食人花砍了	(哈哈哈,砍伐,食人花)
 212:02 - 214:47	那你躲了吗	(了,躲,吗)
 220:24 - 220:31		()
 223:58 - 225:47	真有人24名完赛啊	(灯底,也,了)
 232:13 - 233:19	演都不演了	(技不如人,都,两个)
 233:35 - 234:05	灯不了了，没有i牛	(灯,了,人)
 237:50 - 238:05	这个公路日常断魂	(沾满,断魂,公路)




 240:02 - 241:04	技不如人机	(金币,贪,结束)
 241:21 - 241:40	昨天已经说垃圾游戏要卸载了	(卸载,垃圾,睡觉)
 242:30 - 245:10	人机吃的蓝龟壳你一第一就放	(主播,。,就)
 246:48 - 248:45	是你完了	(了,你,，)
 249:33 - 250:57	都八千了还技不如人	(季军,孙老三,3)
