全场最高能：155:13	连续登底

其他高能：
 6:26 - 9:29	孙怎早	(了,晚上,好)
 9:43 - 9:55		()
 12:45 - 13:07	薛定谔的马	(时有时无,薛定谔,马)
 15:50 - 18:06	主播主播，这个游戏没有第一名吗，我怎么没	(游戏,玩,主播)
 20:23 - 20:51		()
 22:51 - 22:59		()
 23:16 - 23:47	这样你很容易抽到蓝龟壳呀	(抽到,好事,容易)
 24:46 - 25:14	ztmex	(ztmex,?)
 26:37 - 27:06	主播老北京最地道	(哥哥,test,地道)
 28:07 - 30:59	主播换个模式吧，拉力赛太坐牢了	(主播,b,了)
 32:41 - 34:10	我说错了，这叫菜	(学到,这,叫)
 40:01 - 40:33	主播能在表演个炸自己吗	(表演,爽炸,炸)
 42:16 - 44:35	干的好啊	(？,技不如人,功亏一篑)
 46:18 - 48:16	主播是国内新马车第一个直播八千的吗	(对战,战绩,八千)
 51:04 - 51:17		()
 52:47 - 54:52	好好好	(好好,来,没)
 55:10 - 57:51	牙好点了吗宝~	(了,哈哈哈哈,吗)
 61:26 - 63:11	想把道具挂在后面就要一直按着L吗	(因为,挂,一直)
 65:09 - 69:22	能不能把	(了,！,我)
 73:15 - 74:28	被追上了还拿什么第一啊	(力气,了,被)
 74:32 - 76:08	主播还是把车都调成电脑，然后猜谁第一吧[吃瓜]	(手机,电脑,，)
 78:57 - 79:27	有没有大手子知道R+A跳一下加速划不划算	(攻击,避免,并非)
 84:35 - 86:44	哇 灯顶	(灯顶,！,登顶)
 90:04 - 90:58	主播是不是没唑我昨天自动续的舰长	(！,泥牛入海,主播)
 96:48 - 97:12	两圈半王者	(13th,两圈,》)




 97:21 - 98:07	金蘑菇给你了，技不如人	(金,拿,蘑菇)
 101:01 - 101:05	寻	(寻)
 103:06 - 103:13		()
 105:56 - 106:31	技不如人机	(机,技不如人,21)
 108:40 - 109:34	马车圈最终也会迎来它的灯哥和爱牛	(-,别吵,美食)
 114:54 - 116:43	谁挤你了	(挤,了,哈哈哈)
 117:40 - 118:57	就你开走	(开走,哭,笑)
 120:15 - 121:03	有沒有可能之前就和你說過前幾圈吃金幣	(和,有,就)
 122:53 - 126:35	就问你你赢了没[妙]	(了,],[)
 128:20 - 128:38	到时候离太远追不上了	(离太远,追不上,到时候)
 129:23 - 130:58	我见过第一名拿蓝龟壳砸自己的	(第一名,拿,我见)
 136:05 - 137:12	就是孙子刚才那么跑想学没学会	(？,第二,咘)
 145:10 - 148:39	主播一直都是这样混上8000的吗	(？,sc,念)
 148:44 - 148:48		(bili,切割,已经)
 150:19 - 152:17	一波从7打到24了	(哈哈哈,24,灯底)
 154:08 - 156:22	连续登底	(捂脸,],[)
 157:50 - 158:36	第二圈也苟啊，又要挨打了	(确实,了,这么)
 162:32 - 163:35	蘑菇不用	(蘑菇,不用,留着)
 172:08 - 173:42	孙老三x3	(孙老三,了,心态)
 175:35 - 176:34	说了吃闪电就倒闭	(哈哈哈,],[)
 178:09 - 178:37	因为主播喜欢吃蘑菇	(蘑菇,喜欢,不存)
 185:33 - 185:41	好起来了，绿忠也开始走灯了[花]	(绿忠,走灯,起来)
 186:29 - 187:26	就这么一秒被蓝龟寻了	(捂脸,],[)
 188:18 - 188:34	主播极限	(嘴能,恐龙,好险)




 188:56 - 191:00	光荣的换游戏	(亿局,再来,光荣)
 195:05 - 195:17	怎么又第一了	(寻来,减速,遥遥领先)
 199:37 - 201:15	和牛牛一起gg	(亿局,最后,主播)
 204:29 - 205:08	寻你来了	(了,时间,又)
 207:50 - 209:25	好羽毛	(羽毛,最后,亿局)
 215:31 - 216:42	爱牛也有悲制裁的一天	(技不如人,最后,牛)
 222:39 - 225:57	技不如人 力气太大	(该,戾,气)
 226:01 - 226:19	换ns1试试，可能输游戏不够卡	(不够,游戏,午饭)
 227:54 - 228:05		()
 229:23 - 229:33	今晚登了	(响,转,铃铛)
 236:17 - 237:06	算你过了	(-,紫蝴蝶,turbo)
 240:31 - 241:12	必须切割	(了,服务器,切割)
 248:55 - 249:03		(赛车,开,今天)
 250:42 - 251:53	不是，孙偷的时间转不转都死了[滑稽]	(值,怒气,记忆)
 253:00 - 255:50	林智零建议飞了马车	(林智,-,])
 261:32 - 263:55	蘑菇是通过炸弹踩出来的吧，不用爹	(刷新,弹簧,可以)
 264:02 - 264:12	再用弹簧就出来了啊	(弹簧,刷新,出来)
 264:19 - 265:51	pow在里面就垫住了，然后弹簧弹炸弹	(弹簧,…,丢)
 272:32 - 273:10	就理你了	(就理,你,舰长)
 274:41 - 275:51	这不孬	(-,nfg,kk9)
 276:32 - 276:50	折磨图，建议开车	(折磨,建议,开车)
 277:55 - 278:59	要把炸弹踩过去	(炸弹,踩,过去)
 287:58 - 288:14		(下单,反正,花)
 288:17 - 288:42	不如南京板鸭，五毛钱	(送给,窜,五毛钱)
 297:02 - 297:20	能边泡机边播吗	(机边播,泡,能边)




