全场最高能：239:49	人脉灯顶

其他高能：
 1:44 - 2:02	美神就爱和你吃海底捞	(捞,海底,美神)
 7:33 - 7:47	洋次郎发表质询	(连主播,质询,发表)
 8:28 - 8:49		()
 12:02 - 16:03	你要是这会在后面吃金币早满了	(孙老三,你,了)
 16:49 - 17:23	最经典的target12环节	(环节,target12,东西)
 18:23 - 23:53	哇，灯顶	(！,灯顶,？)
 26:53 - 26:56		()
 27:07 - 27:11	这金币有啥用	(金币,啥,用)
 27:57 - 29:18	技不如人x5	(技不如人,比心,])
 29:55 - 31:56	终于鸡爪了[dog]	(？,了,鸡爪)
 33:06 - 35:37	道具多了一倍怎么都能把你打下来	(的,我,啊)
 35:43 - 35:54		()
 40:23 - 42:57	三个炮谁玩的过你们啊	(三个,人机,的)
 47:00 - 48:36	开个炮就第一了	(还,第一,了)
 50:29 - 52:58	同分数的人太少了只能匹人机	(1,+,人机)
 60:06 - 61:29	我还以为你是R+A跳的，原来你是羽毛跳啊	(你,导弹,跳)
 65:09 - 66:17	这雷是越靠前批的越狠啊	(麻辣烫,如何,我)
 68:57 - 69:02	給啥都不行，事多	(好亮,事多,給啥)
 70:39 - 71:59	憋回去了说是	(孙老三,三,?)
 77:23 - 78:09	舒服了	(躲,蓝龟,不能)
 80:50 - 81:59	喜欢落后	(哈哈哈,老八,了)
 84:52 - 85:14	任意蘑菇可以	(任意,可以,蘑菇)
 87:09 - 87:27	看不清啦	(看不清,啦,吧)
 88:16 - 89:45	这概率也太离谱了 是和配置有关吗	(越,一套,这)
 92:35 - 93:38	有了	(了,有,疯)
 95:14 - 97:32	你第一不还拿蓝龟了[dog]	(前面,拿,了)




 97:52 - 98:34	每次把把3，4圈開始衝刺找道具吃	(把,哈哈哈,衝刺)
 102:28 - 106:09	主播你拿司马家的司马鱼改判一下  就好了	(了,],[)
 106:53 - 107:03	中端落后就好	(等雷,中端,落后)
 109:42 - 111:21	玩脱了	(了,哈哈哈,得)
 118:38 - 120:05	主播我是闪电，我帮你搞排名比你前的人	(了,去,闪电)
 124:41 - 127:50	这么黑，开灯啊	(💡,🏻,♂)
 129:03 - 130:56	主播主播，美食寻你肠胃了吗	(💡,♂,‍)
 138:35 - 140:04	让白白胖胖的鬼赢了	(白白胖胖,了,的)
 147:50 - 149:16	掌握了	(掌握,了,道具)
 153:46 - 154:42	换好的道具靠后一点用	(道具,dog,])
 164:17 - 167:33	你踩人了	(踩,了,老二)
 168:17 - 168:29	二个金蘑菇	(二个,白白胖胖,打压)
 169:45 - 171:30	好[dog]	(哈哈哈,哈哈哈哈,卡比)
 177:05 - 179:48	鲁迅说你技不如人	(早,了,道具)
 187:52 - 190:29	技不如人了	(？,技不如人,跳)
 192:25 - 192:28	一轮游	(一轮,游)
 198:16 - 198:58	你终于玩明白这游戏了	(隐忍,合理,终于)
 201:46 - 202:29	第一不了一点，前面把你拉太多了	(红龟,牛,好)
 207:15 - 208:11	登哥来了把这游戏也给你霍霍了	(了,捏,的)
 209:17 - 210:27	6的 这样给道具一定会越来越好的	(或,？,哈哈哈)
 211:03 - 212:44	技不如人厌气太重	(道具,没,了)
 215:24 - 218:15	第一有金蘑菇 那你无敌了啊	(了,？,你)
 220:35 - 224:19	你之前放电的时候怎么不说	(了,的,，)
 229:55 - 231:09	狙击的，蓝壳就等你了	(喜欢,第一,你)




 232:43 - 233:40	我看出来了无敌星和大蘑菇的区别了	(无敌,的,我)
 234:18 - 235:27	看孙子被蓝龟砸真的很开心	(喜欢,很,蓝龟)
 236:13 - 236:24		(批,喜欢)
 236:39 - 236:43	炮弹感觉有时候可以留下一圈	(留下,有时候,一圈)
