全场最高能：146:55	抗日奇侠我是认可的

其他高能：
 2:47 - 3:24	直播间的水友晚上好	(晚上,好,主播)
 3:34 - 3:58	灯主，我们被灯哥骂成🐌了怎么办	(灯哥,提问,不送)
 6:18 - 7:46	主bo看今天小作文了吗	(主,bo,了)
 9:28 - 9:34	金幣	(金幣)
 9:40 - 10:39	主播，中立哥都撕毁和平协议了，你还在没事呢	(主播,道具,人)
 10:59 - 13:15	有的，甚至我的串子评论都被精选了[dog]	(意味着,了,主播)
 13:19 - 13:42	主播要是排到中立的人用道具打你，你会打回去么	(你,打,的)
 13:47 - 14:06	Elevix Electronics:	(Electronics,Elevix,:)
 14:30 - 16:48	主播我是闪电，我帮你搞排名比你高的人	(了,你,好电)
 16:52 - 17:01	不劈后面的太恶心了	(太,闪电,无差别)
 17:14 - 17:27	是因为中立吗，要每边都踩	(每边,踩,是因为)
 19:36 - 20:19	拿过第一了吗	(？,，,了)
 21:30 - 21:57	我就看了一眼，没评论都被拉黑了	(牛,位费,收茶)
 25:06 - 28:26	火箭来爆料了	(],[,火箭)
 29:24 - 30:53	你这是80%胜率	(你,80%,下来)
 48:53 - 51:10	-23x2	(23,-,了)
 53:47 - 54:34	来了	(了,来,支持)
 58:19 - 64:37	出发点是好的执行的更好了	(了,的,哈哈哈)
 67:47 - 70:23	主播不会玩特技的，别说了	(了,哈哈哈哈,闪电)
 70:38 - 70:56	主播，减不减肥	(kfc,减不,糊糊)
 71:22 - 71:47	喜欢贪	(喜欢,贪,不用)
 80:33 - 81:34	用早了啊	(哈哈哈,捂脸,])
 86:31 - 87:34	喜欢烤牛肉	(爽,吗,牛)




 88:53 - 89:14	就單純想吃熟牛排	(🚀,單純,熟)
 95:26 - 96:21	不是你的蓝龟你也要吃	(王八,蓝龟,你)
 103:09 - 104:46	不卸载	(哈哈哈,电,哈哈哈哈)
 106:53 - 107:44	玩了抗日模式再点赞吧	(游戏,模式,抗日)
 108:52 - 111:01	眉清目秀吗	(眉清目秀,⁄,抗日)
 111:05 - 111:14	听声，你这手柄感觉胶粘	(钻洞,回归,胶粘)
 113:55 - 114:58	毕竟是征战日服，没有什么必要讲什么道德与	(老板,比心,糊涂)
 115:27 - 120:36	是我，那咋了	(？,了,表扬)
 120:54 - 121:00	这车不会害了主播吧	(差个,害,车)
 142:47 - 143:46	看打工bot小作文	(版本,抗日,更新)
 145:07 - 148:51	抗日奇侠我是认可的	(的,是,，)
 148:53 - 156:27	他都叫次郎了 肯定是日本人	(，,是,了)
 157:55 - 158:27	还得是热熔胶	(热熔胶,中文,主播)
