全场最高能：71:00	期待大四喜[花]

其他高能：
 5:02 - 5:22	啞巴了	(没开麦,啞巴,？)
 5:49 - 6:41	寄，少个道具	(？,寄,刻晴)
 7:52 - 9:22	羽毛可以用来上一些不容易上去的路线	(的,羽毛,可以)
 10:32 - 14:04	卡了	(了,关了,龟)
 14:33 - 14:59	ppt开始了	(ppt,早上好,开始)
 15:10 - 15:14	松饼晚上好	(松饼,晚上,好)
 15:38 - 15:46		()
 17:09 - 19:24	好了  这下第一了	(比心,了,])
 19:32 - 19:55	这个赛段是领先好的，因为全是加速带和直道	(好,泪,两行)
 21:03 - 22:24	好龟壳	(了,立功,好)
 24:41 - 24:53	等一个雷电	(雷电,等,一个)
 25:01 - 26:45	我想不到马造3有什么是2做不到，应该不出	(什么,马造,惊奇)
 27:04 - 28:38	怎么和你嘴上说的不一样	(哈哈哈,了,提前)
 33:14 - 33:54	偷过去的是用一半的吗	(？,一半,二手)
 34:31 - 35:21	好道具	(道具,好,如人)
 35:34 - 36:58	现在的人连🐎💡都想自动🚶‍♂️	(电脑,的,自动)
 42:03 - 46:04	好一個組合技	(了,58,库巴)
 51:48 - 52:28	孙孙啊   马灯蔓延趋势变低了	(马灯,咋,那)
 53:07 - 53:22	盆满钵满	(钵,盆满,满)
 54:56 - 56:46	孙老三again	(好,孙老三,咋)
 59:41 - 62:52	奔着绿龟壳就踩，技不如人罢了	(技不如人,那,咋)
 63:11 - 63:20	这图寻你来了	(这图,来,气大)
 65:21 - 67:05	蓝龟要来了	(哈哈哈,的,蓝龟)
 70:08 - 72:56	期待大四喜[花]	(第一,了,的)
 73:07 - 73:32	我还是忘不了那些蓝龟打自己的操作	(第一名,自己,的)




 77:28 - 77:40	被压成路边一条了	(被,了,换条)
 77:57 - 78:09	可是你只会拿蘑菇啊	(过,吗,青蛙)
 79:39 - 81:29	你有金蘑菇在这也输过好几次，就是技不如人	(技不如人,，,的)
 86:23 - 88:19	落后被打雷搞了基本就没了，领先不打雷也基	(✍,。,哦)
 91:49 - 91:58	臭水沟战神	(要辣,快命,战神)
 95:00 - 95:21	好结局	(都,好,美输)
