全场最高能：29:51	哇 灯顶

其他高能：
 8:52 - 8:58	弯道快才是真的快	(快,弯道,才)
 11:00 - 14:44	[比心]灯顶	(登顶,灯顶,！)
 15:13 - 15:49	反正中国没有相扑	(す,su,相)
 16:07 - 17:36	主播原话：美食不行	(美食,主播,，)
 17:47 - 18:06	可以互相吃尾气加速吗	(堡,烧,板)
 18:31 - 18:37	好，运气不错	(极限,蓟县,运气)
 19:28 - 22:49	好电	(],[,了)
 27:46 - 28:04	运气不错	(运气,不错,晚点)
 28:14 - 33:56	哇 灯顶	(你,灯顶,了)
 35:55 - 36:07	这就切割了	(是,回执,接警)
 36:34 - 37:53	isun发力了	(？,?,isun)
 39:07 - 41:45	哇 灯顶	(灯顶,！,了)
 45:15 - 46:11	好好好	(哈哈哈,?,没收)
 54:59 - 55:43	掉下去了也算，这就是资本对主播的打压	(技不如人,也,isun)
 67:45 - 69:54	怎么bili也有灯了	(哈哈哈,],[)
 70:54 - 73:02	日本主播终于承认抹黑白大侠的事了	(爱牛,承认,了)
 77:05 - 78:08	好了	(大笑,孙老三,第四)
 78:20 - 78:51	《强图》《这把拿下了》	(》,《,强图)
 79:37 - 80:23	快进到终点前中一绿龟被三个人一块超	(牛劲,必,使劲)
 82:51 - 84:06	把蓝龟炸了	(蓝龟,了,躲)
 85:00 - 86:24	那咋了	(哈哈哈,],[)
 92:11 - 92:16	闪电	(雷来,闪电,！)
 92:20 - 92:28	孙孙晚上好	(晚上,孙孙,好)
 94:35 - 95:08	这就是主播不喜欢的回旋镖	(技不如人,孙三,回旋)
 95:11 - 95:22	技不如人x7	(技不如人,走近,x4)
 100:57 - 103:08	道具好没用	(淘汰,？,被)




 110:10 - 110:29	蝗虫被爱孙堵住了	(蝗虫,堵住,滑稽)
 111:23 - 113:59	哇，灯顶	(！,灯顶,哇)
 114:41 - 117:21	美食什么没了	(强图,美食,抓狂)
 124:06 - 124:33	技不如人 ×37	(技不如人,这,了)
 125:37 - 127:14	主播也搞刷100打极难了吗	(打,主播,极难)
 128:25 - 133:59	现在主播也要开始众筹极难团了吗	(🚀,？,了)
 135:57 - 136:39	一般图都能死，主播只配玩简单图	(简单,图,比心)
 147:56 - 148:51	有花以后拿龟卖血出去不就行了吗	(掉,ex,，)
 149:55 - 151:55	把冰打了和开局一样拿帽子，红开关	(开关,红,出来)
 154:20 - 155:36	红开关拿乌龟换p就过了	(],[,了)
 156:33 - 159:26	你下去拿龟不就过了吗	(?,开关,了)
 160:35 - 161:00	库巴笑死我了	(],[,比心)
 161:17 - 161:51	主播为什么不玩多人了[委屈]	(飞飞,快进,借口)
 163:46 - 164:52	钻的多了就进困难了	(了,#,钻)
 165:06 - 166:03	团灭了	(？,蒙,的)
 177:55 - 179:29	你把币先吃了不就好了	(？,了,的)
 183:00 - 184:29	现在真是什么图都能当极难了	(困难,主播,了)
 186:18 - 187:42	日常怕黑[dog]	(了,看,怕黑)
 194:08 - 195:01	老板糊涂	(老板,糊涂,了)
 197:50 - 198:01	每关最多3	(每关,通过率,最多)
 202:50 - 202:53		()
 203:05 - 204:26	要团灭了吗[花]	(],[,团灭)
 205:41 - 205:43		()
 205:52 - 207:00	中国红头蜈蚣，通常由22个体节组成，44条步足	(蜈蚣,，,44)




 207:18 - 207:34	灯顶世界第一就可以有8000跳腿	(回飞,腿,脸)
