全场最高能：54:00	梦醒了

其他高能：
 3:03 - 3:31	马车呢	(马车,呢,走马灯)
 3:54 - 5:47	饼饼早上好	(啊啊啊,饼,早上好)
 9:39 - 9:58	登顶	(技不如人,登顶,b)
 10:08 - 12:19	常在臭水沟走哪有不被雷劈	(无关,与,常在)
 12:36 - 13:00	说tm什么呢 你们恶不恶心啊 你认错主播了	(退,恶,tm)
 16:08 - 16:14	[比心][比心][比心]松饼妹妹通畅	(比心,],[)
 16:18 - 16:53	这把灯顶概率高吗	(全压,概率,开车)
 19:26 - 20:43	技不如人了	(技不如人,主播,老二)
 24:45 - 25:23	我的车呢	(车,呢,我)
 28:37 - 29:51	主播梦醒了... ×82	(技不如人,梦醒,4w)
 33:53 - 34:05	吃鸡送福袋	(送福袋,鸡,马车)
 34:31 - 35:17	今天完全不到60帧 估计30都不到	(不到,草块,估计)
 36:28 - 41:31	你这舰长不会害了我吧	(老板,],[)
 42:29 - 42:46	大戾士	(士,大戾)
 42:50 - 43:06	孙老师操作真溜	(杀人,真溜,魔)
 47:57 - 48:05	卡比不卡	(不卡,我,卡比)
 48:13 - 48:33	主播把我们卡的跟孙子似的	(没理由,能排,的)
 50:02 - 52:10	最有含金量的灯顶	(灯顶,走马灯,了)
 53:03 - 55:50	梦醒了	(了,走马灯,梦醒)
 70:59 - 71:39	主播我要当你的小孩	(小孩,的,键拉黑)
 86:40 - 93:06	五命过走马灯	(了,],[)
 93:10 - 93:17		()
 93:30 - 97:15	意思稀的在松饼肚子里，那不是熔岩蛋糕了吗	(了,主播,])
 99:18 - 101:28	主播技不如人	(技不如人,主播,80)
 102:10 - 102:33	主播把困难图刷到极难就算打极难了吧	(极难,不姓,之切)




 102:49 - 105:10	不用数了，是3号之前过	(3,-,了)
 105:57 - 107:20	主播一己之力把图打到了极难[捂脸]	(骗吃骗喝,吃,怎麼)
 109:43 - 110:38	美神是主播的好朋友，不许你们说他	(走马灯,、,美神)
 111:29 - 112:30	主播是身高矮+体重大+技不如人 肯定过不	(了,技不如人,+)
 113:06 - 113:20		()
 119:26 - 120:33	明天看录像就知道了，你这屎先欠着	(了,，,开始)
 126:46 - 127:07	预言最后发现右边的管子能上，否则主播赤石	(右边,管子,主播)
 130:27 - 130:40	[花]主播喜欢大肠刺身还是九转大肠	(大肠,还是,九转)
 133:41 - 133:46		()
 138:32 - 139:17	难怪马灯能灯顶主播灯不了，实力差距太大了	(不了,里,现在)
