全场最高能：79:51	技不如人6500

其他高能：
 9:00 - 13:54	主播你这把赢了我给你开皇帝	(？,啊啊啊,])
 18:30 - 20:49	好壳	(比心,[,])
 27:25 - 28:34	蓝色回旋镖也是蓝	(ztmex,蓝,镖)
 37:13 - 39:33	那主播你的小蘑菇呢	(喜欢,士,大戾)
 43:50 - 44:12		(寻,他)
 46:55 - 48:30	自己送了第一技不如人	(？,技不如人,爱牛)
 57:58 - 60:18	主播羽毛躲蓝龟了	(羽毛,躲,蓝龟)
 60:34 - 62:44	望庐山瀑布了	(？,庐山,望)
 67:56 - 70:08	技不如人握了个蘑菇自己没把握住	(？,技不如人,没)
 78:58 - 82:02	技不如人6500	(了,？,哈哈哈)
 103:18 - 104:19	欺负白白胖胖的幽灵就是好图	(图,也,棒)
 105:31 - 106:02	那齿轮里面呢	(丢,齿轮,往)
 106:23 - 106:34	你以為你躲得過胖哥嗎	(進極難,難怪,凹处)
 110:04 - 110:34	kaizo lite	(kaizo,light,轻轻)
 112:59 - 117:20	因为晚上上班的都去了真天堂	(因为,晚上,，)
 128:00 - 128:25	其實是燈哥派來的	(士,大戾,黃)
 128:46 - 129:44	昨天还说本来想玩野炊和王泪，但马车人气掉太多了，最近不敢玩	(。,玩,最近)
 148:17 - 149:36	这图能过就真有8000的水平了[dog]	(卡,他,玩)
 152:38 - 156:40	胖没这技术灯走一半就塌干净了	(比心,],[)
 159:36 - 161:10	过了	(过,了,？)
 168:04 - 168:33	自重	(自重)
 168:48 - 171:18	那咋了 你還能管粉絲生活嗎	(咋,那,我)
 174:14 - 177:18	作为up主，做好自己，分享乐趣和热爱给需要的人就好了	(，,作为,乐趣)




 177:33 - 177:48	主播你后面有黑瘦	(下滑,主播,后面)
 186:05 - 188:08	我记得12点多就开始了	(开始,抱怨,了)
 191:45 - 192:06	是家里的杰瑞又活跃了吗	(活跃,家里,？)
 192:09 - 192:20		()
 198:32 - 199:20	昨天这个点也是gif	(gif,点,离地)
 199:29 - 199:38	明天平台判定放录像	(判定,平台,放录像)
 200:39 - 200:52		()
 201:49 - 205:14	给白胖刷个热气球让他过，然后你去他直播间找BOT要直播回放，最后喊粉忠把水印去了	(了,抓狂,？)
 205:39 - 205:43		()
 206:26 - 206:52	主播主播我有机器，这图过法是开局卡点按RB可以小喷一下加速	(卡点,RB,主播)
 212:24 - 213:02	蓝砖上起跳能卡上边的墙角吗	(上边,绷,起跳)
 215:11 - 215:21		()
 219:36 - 221:26	放弃吧，白胖来了都过不了	(了,白胖来,放弃)
 229:44 - 232:12	给ddj过吧，别在这了，求你了哥	(了,，,小时)
 233:51 - 233:59		(幻觉)
 235:37 - 235:59	过了	(过,了,自重)
 236:09 - 236:38	小杰来了3命过[藏狐]	(了,小杰,小点声)
 236:57 - 238:56	正确过法是开头蓝色楼梯那里加个旋转[花]	(牛,],[)
 239:41 - 240:10	撑不住了，早上见	(撑不住,不住,见)
 241:55 - 243:10	他很少看阿B这边的弹幕 等他自己试吧	(弹幕,看,😡)
 243:42 - 244:37	晚班垃圾，人都跑了[dog]	(一个,了,斗)
