全场最高能：91:58	你之前都不跟我打招呼，还是松饼好 ，你太高冷了

其他高能：
 2:51 - 4:29	抛弃马车了吗	(？,吗,cpu)
 6:04 - 6:09	早上好	(早上好,？)
 7:35 - 8:46	直接打多人吧，别浪费时间俄罗斯了	(珍惜,懂得,浪费时间)
 13:58 - 18:02	早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊[比心]	(啊啊啊,么,早)
 18:47 - 19:36	喜欢贪t旋这一块	(自己,屋顶,搭)
 22:32 - 27:21	主播在跟我早吗[傲娇]	(],[,比心)
 32:51 - 34:34	牛车至少4点了 [dog]最早的3点	(臭水沟,],[)
 36:07 - 39:03	主播怎么不学同事打马趴	(！,灯顶,抓狂)
 44:38 - 45:44	主播技不如人了	(次郎,AC,妙)
 47:28 - 47:51	这俩的位置刚好位于屏幕对角线	(屏幕,位于,这俩)
 49:25 - 50:10	主播为什么不玩多人	(为什么,主播,龟)
 50:31 - 54:30	好霸气的主播爱了可惜没有钱	(走马灯,了,锁图)
 59:02 - 59:47	触发团外过buff了	(HOW,666666666666666,666666666)
 62:59 - 64:24	读图能力比白胖厉害多了	(读图,厉害,走马灯)
 66:12 - 68:37	进雅阁了	(雅阁,的,？)
 69:16 - 70:40	这图有个p的含金量	(含金量,P,的)
 70:45 - 70:58	含金量全在灯哥身上呢	(全在,卡着,身上)
 78:09 - 78:16	卡他卡他卡他	(卡,他)
 83:50 - 83:59	主播喉咙好了吗	(好了吗,喉咙,HOW)
 84:03 - 84:20	把主播当日本人整	(藏,B,troll)
 88:23 - 89:51	玩完图不能骂作者是这游戏最失败的地方	(地方,作者,骂)
 90:34 - 93:42	你之前都不跟我打招呼，还是松饼好 ，你太高冷了	(咋,了,-)




 94:41 - 95:32	不戴	(冷,士,大戾)
 97:05 - 98:04	被三个白白胖胖的打压了	(panga,？,被)
 98:25 - 98:47	怎么还有买了游戏的	(pangpanga,白白地,专业)
 98:58 - 100:11	一个都出不了，这得打到明儿早了	(你,了,])
 104:52 - 104:59	你不是有白胖qq	(？,信息,发个)
 107:16 - 107:39	是踩的鼓包还是被踩的鼓包	(鼓包,踩,的)
 110:29 - 112:02	去了水印就说是你自己过的	(水印,去,了)
 113:15 - 113:49	晚安玛卡巴卡	(走马灯,卡巴,玛)
 116:36 - 119:41	要不要我给你吹一下	(吹,一下,了)
 120:00 - 120:53	视频里也回头了的[花]	(了,焦虑,独有)
 126:49 - 127:18	求他，让他鼓包的时候踩	(他,求,说明)
 129:18 - 129:32		(自重)
 129:37 - 129:59	么么	(么,卧槽,新)
 131:52 - 132:46	你关键这个位置都不对	(。,你,，)
 132:51 - 133:26	太快了鼓不起来	(攻,受不了,有技)
 134:53 - 136:08	主播不是觉得视频没用吗[傲娇]	(傲娇,水印,。)
 137:27 - 141:19	刚来就走马灯	(走马灯,了,走)
 141:21 - 141:30	现在胖哥已经黄了 还开什么会员啊	(亏了,还开,黄了)
