全场最高能：42:01	主播又pjbsb了吗

其他高能：
 3:09 - 5:18	马灯节有什么活动[哇]	(啊啊啊,],[)
 11:11 - 16:53	技不如人大学	(],[,啊啊啊)
 17:20 - 18:16	主播是日本人吗	(人,强度,8)
 19:39 - 20:43	技不如人[傲娇]	(技不如人,渣,月)
 26:58 - 28:22	今天还开车吗	(士,大戾,太重)
 29:54 - 30:07	不好	(不好)
 30:28 - 30:44	手柄坏了更没法牛车了，那不瞎飘	(了,飘,瞎)
 33:36 - 36:22	ztmex pjbsb	(pjbsb,了,ztmex)
 39:30 - 43:19	主播又pjbsb了吗	(鲁迅,了,@)
 49:46 - 50:19	主播普通话不标准我也爱听[比心][比心][比心]	(普通话,比心,我)
 60:36 - 61:42	极限1up	(哈哈哈,1up,墙角)
 62:11 - 65:47	那主播可以把第一个8000的视频去个水印，就当你是第一个了	(多人,了,，)
 69:59 - 71:09	我要是有主播一半的体重就去顶替良子直播	(九折,我,？)
 71:51 - 73:27	哈哈哈，准	(我,把,的)
 75:04 - 77:49	不画不就飞了吗	(士,大戾,吗)
 79:06 - 80:01	这图开局藏了个币	(比心,],[)
 81:38 - 83:14	思春期来了欺负松饼是吧[傲娇]	(简简单单,50,是)
 89:45 - 89:55	b友都是来走灯的，分币没有	(没有,寿衣,粉笔)
 92:49 - 93:18	我自重了	(自重,主播,气值)
 96:16 - 96:35	火上浇油	(火上浇油,？)
 97:17 - 97:38	麦早过	(麦早,过)
 100:21 - 101:33	那咋了	(了,666,你)
 104:49 - 105:30	那咋了	(咋,那,了)
 107:54 - 108:14	走马灯上有飞虫吗	(禁止,吗,=)




 109:19 - 110:45	粉忠呢，速度把这一段切出来	(走马灯,跟,笑)
 114:37 - 118:44	好图	(过,],[)
 119:13 - 119:53	50s内过开皇帝	(转着,30,内过)
 120:17 - 120:43	沒愛牛墊一塌糊塗	(蒙牛,一塌糊塗,墊)
 123:58 - 124:38	这图真是好的没边	(就,松饼,了)
 125:49 - 127:30	主播敏感度太敏感了	(敏感度,敏感,才)
 127:46 - 129:26	主播我刚拉黑了牛	(主播,我,，)
 133:29 - 133:39	什么hello	(hello,脑血栓,别回)
 138:41 - 139:20	好图	(哈哈哈,好图,蒙)
 142:01 - 142:10	让雅阁教教你	(教教,，,大分)
 161:12 - 161:17		()
 167:10 - 168:42	如何评价杰子	(],[,比心)
 170:02 - 170:14		()
 174:12 - 174:55	我手机怎么做到天天消失在床上的[花]	(在,东方,却)
 176:47 - 180:52	灵车直通雅阁	(？,我,...)
 183:14 - 183:51	对不准	(？,空中,扔学球)
 184:47 - 186:16	标准答案撞墙死了	(标准,哈哈哈,标准答案)
 188:35 - 189:23	偷了	(偷,委屈,])
 199:35 - 200:22	智者永封	(智者,666,永封)
 202:49 - 203:18	孙孙我想听两只老虎了	(老虎,两只,听)
 203:51 - 204:12	装修	(装修)
 204:30 - 206:27	孙孙我想听两只老虎了	(老虎,两只,听)
 206:31 - 207:05	倒了8000次[比心][比心]	(老师,比心,物理)
 207:17 - 207:50	来个懂哥回答一下我	(左,往,可怜)
 208:16 - 208:53	不能静止	(静止,记录,ai)
 209:07 - 209:16	一百秒极限图	(一百,秒,极限)




 211:20 - 212:02	大戾士	(回頭,过,了)
 218:26 - 221:05	你试试turbo键能不能过[比心]	(],[,turbo)
 224:35 - 226:14	孙孙的语文小课堂	(比心,语文,真是)
 226:34 - 228:27	主播喜欢自己打节奏的那种极难千本樱	(-,日系,主播)
 229:46 - 230:10	这图确实好	(鑰匙,个门,倒插)
