全场最高能：102:58	哇，灯顶

其他高能：
 3:06 - 6:22	早捏[比心]	(啊啊啊,比心,])
 13:31 - 14:12	平地蓄力的赢了	(技不如人,蓄力,平地)
 14:53 - 15:36	ztmex ×58	(ztmex,牛,心情)
 19:50 - 20:34	可以爆料了	(卡,他,赢)
 24:15 - 24:51	雷帝召来[花]	(走马灯,助,雷公)
 26:46 - 28:09	还没9000吗，有点失望了	(了,榜,失望)
 28:44 - 30:21	主播如何评价今天小桀被爱牛狙击	(失望,被,主播)
 30:47 - 32:37	追不上了	(大戾,士,技不如人)
 32:43 - 33:20	小桀一下午被恶意狙击都灯顶6次，主播技不如人	(恶意,下午,天天)
 33:29 - 33:34		(主播播,吃瓜,房间)
 34:38 - 39:07	主播的嘴被我堵住了[傲娇]	(主播,美食,，)
 39:15 - 41:02	ztmex ×1114	(走马灯,鱿,ztmex)
 46:09 - 47:07	画的像样就两回事了	(比心,],[)
 48:33 - 50:14	好东西	(好,技不如人,卡)
 53:13 - 53:51	真的假的	(说,九纹龙,真的假)
 61:10 - 61:42	我的名字现在叫DuiJioXian	(？,哈哈哈,我)
 61:52 - 62:11	坏了	(？,坏,干嘛)
 62:24 - 62:44	寻他们	(p,这群,打孙)
 65:46 - 67:19	技不如人 ×168	(技不如人,蘑菇,金)
 67:53 - 69:11	纪晓岚 ×323	(纪晓岚,优势,星)
 70:37 - 74:18	是的，不过现在不是厨男了[傲娇]	(？,你,了)
 83:40 - 85:54	技不如人x8	(，,技不如人,LOSE)
 91:42 - 91:47	主播连库巴的尾灯都看不到	(尾灯,看不到,连)
 92:14 - 93:23	和panga好有默契啊	(panga,技,不如)




 94:03 - 94:11	林克[喝彩]	(喝彩,林克,])
 98:40 - 99:20	高僧预测准备进前8的时候淘汰	(高僧,预测,自己)
 101:50 - 104:30	哇，灯顶	(！,灯顶,第一)
 106:12 - 106:18	好电	(pmbm,电寻,好电)
 108:39 - 108:58	主播的哔哩都没有使用	(bili,你们,使用)
 109:42 - 110:34	电寻	(咋,那,了)
 113:19 - 114:37	技不如人 ×400	(技不如人,卡,panga)
 124:22 - 126:39	哇，灯顶	(！,灯顶,？)
 127:56 - 129:59	上把的分全吐了	(了,LOSE,把)
