全场最高能：34:08	恭喜孙师傅登顶，顺便提一下，能让你的qq好友白胖把我从雅阁里面放出来吗

其他高能：
 2:29 - 4:20	为什么小桀把你拉黑了	(走马灯,拉,黑)
 5:36 - 8:27	早[比心]	(啊啊啊,比心,])
 8:31 - 8:42		()
 13:08 - 16:20	哇，灯顶	(],[,亲亲)
 33:15 - 36:08	恭喜孙师傅登顶，顺便提一下，能让你的qq好友白胖把我从雅阁里面放出来吗	(💡,灯顶,！)
 41:22 - 41:57	这个不能灯冷灯冷延迟下落嘛	(银镜,no,蓝色)
 46:06 - 53:33	主播可以演示一下多人的卡是什么样子的吗	(卡,的,])
 54:20 - 54:51	该启动了	(启动,-,DAN)
 56:55 - 57:59	饼师傅晚上好	(晚上,比心,])
 58:26 - 58:38	好像听到了吹哨声	(吹哨声,听到,好像)
 60:11 - 64:14	多人有看天眼的时间 早被人落下了	(的,看,了)
 65:02 - 67:20	这个还好，我做了个100次选路图，每次10选1	(紫蝴蝶,，,])
 68:52 - 68:55	连续紫蝴蝶	(紫蝴蝶,连续,九折)
 70:30 - 70:50	這是每天下午搞小杰的bubuline嗎	(癫痫,性,光敏)
 73:56 - 74:57	不是 我没游戏	(游戏,没,我)
 78:00 - 78:10	主播能教一下藍樓梯轉一圈嗎	(梯轉,藍樓,能教)
 78:25 - 79:02	没有天花板可以跳的更远吗	(。,吗,一下)
 80:47 - 80:56	主播不理我就算了老板都不理了[傲娇]	(不理,了,别念)
 81:13 - 82:19	他是真的很垃圾啊[傲娇]	(],[,傲娇)
 82:37 - 82:44	主播不理我就算了老板都不理了[傲娇][傲娇][傲娇]	(傲娇,不理,])
 83:05 - 83:15	JG856FQJG	(JG856FQJG)
 84:46 - 84:51		()




 85:59 - 87:37	马灯节卖电脑，电脑桀走马灯	(主播,大喜,了)
 89:18 - 89:56	这句话终于能完整发了：作为up主，做好自己，分享乐趣和热爱给需要的人就好了	(看见,想,了)
 92:25 - 92:50	提高自己，成为更好的松饼，才会被需要[doge2]	(需要,松饼,被)
 93:29 - 93:38	切割	(啟動,切割)
 97:11 - 98:02	孙老师讲一半题，看不懂答案了	(看不懂,门,了)
 111:24 - 111:50	一进来就这么恶心[傲娇]走了	(舔,前面,进来)
 113:33 - 115:11	踩了p正常过，时间够	(正常,踩,过)
 132:31 - 133:28	大戾士	(士,大戾,？)
 135:09 - 139:30	英语老师已经泡得白白胖胖的了	(了,],[)
 140:29 - 142:16	主播主播你怎么老是飞图啊	(了,主播,哈哈)
 142:22 - 143:08	紫蝴蝶x23	(紫蝴蝶,嗯,饼)
 143:29 - 144:09	不殃及家人的图	(图,家人,殃及)
 146:07 - 147:34	蒙的孙子都知道了	(啊啊啊,下放,知道)
 147:56 - 149:13	杀了	(],[,杀)
 149:31 - 150:49	刚才是蒙的	(屁股,了,是)
 153:32 - 154:26	轉一圈就行了	(你,刺烦,关系)
 155:24 - 155:48	卖电脑的马上就来直播间寻你了	(暴着,马上,了)
 156:14 - 156:26	小杰今天认识了个日本妹妹，估计马上要发布去以八月息了	(八月,发布,息)
 157:59 - 158:17	北京大牛爱鼓包	(鼓包,大牛,北京)
 167:44 - 167:54	雅阁	(雅阁)
 171:13 - 174:56	怎么没有走马灯的了	(的,你,了)
 175:23 - 176:16	那你可以请朋友来住，收点清理费	(那,是,你)
 176:25 - 179:25	没给你干廊坊去就不错了	(了,你,？)




 179:27 - 179:42	得顶pow后扔，不然会把龟壳炸了	(扔,龟壳,快点)
 191:30 - 191:35	救救我	(不错,救救,我)
 192:02 - 192:59	两个三折叠围在一起可以走马灯	(？,折叠,手柄)
 195:09 - 195:13		(粉笔,没有)
 197:12 - 199:11	主播没我好友，不然半夜就是左上角显示以撒了[花]	(？,],[)
 203:45 - 204:19	主播切割完别人就被大脸打压 请自重	(切割,被,-)
 213:57 - 214:27	60秒逃出连环雅阁	(冰锥,连环,站)
 214:33 - 215:39	这作者一看就是陕西人，做雅阁那叫一个熟练	(雅阁,遇到,好久没)
 215:50 - 216:03	走马灯咯	(咯,走马灯)
 223:22 - 224:50	主播看看去水印视频，算你过了	(—,see,视频)
 225:01 - 225:39	#see	(里拉,see,黑名单)
 228:44 - 229:43	过了	(过,了,×)
 232:55 - 235:49	主播你连这个记录都能刷真是太厉害了	(主播,你,大笑)
 237:17 - 237:21		(啥意思,延迟,下落)
 239:37 - 241:57	老师，延迟下落的英文怎么说	(下落,延迟,反复)
 243:02 - 244:10	《59分》	(59,高手,分)
 245:14 - 246:08	直播间潜伏了六个爱牛，所以不开	(开,皇帝,安全)
 247:32 - 248:43	主播喜欢熊不喜欢猴	(～,美国,蘑菇)
 254:40 - 255:44	冲进雅阁	(冲,哈哈哈,几点)
 256:07 - 257:26	起猛了，孙子在打工艺图	(哈哈哈,了,严谨)
 257:59 - 258:40	蒙的	(蒙,的,md)
 261:45 - 263:05	蒙的	(九折,蒙,回家)
 269:04 - 271:51	我是新粉丝，没想到主播是日本人	(],[,啊啊啊)




 273:15 - 273:45	还好天堂房开了[傲娇]	(房开,天堂,还好)
 278:44 - 282:07	因为target8000	(了,红,是)
 285:23 - 285:36	因为炮不会在弯道上停止	(嘬,弯道,停止)
 291:54 - 293:16	近道省下来的三秒钟弯道全还了	(了,大运,蘑菇)
 296:39 - 296:45		(一样,时候,丢)
 299:51 - 301:16	这雷是你丢的吗	(ztmex,LOSE,士)
 304:30 - 305:35	战术淘汰了	(淘汰,战术,znmbex)
 306:44 - 307:17	好 刺刺龟	(龟,刺刺,白白胖胖)
 315:08 - 317:39	哇，灯顶	(灯顶,！,666)
 320:08 - 321:19	因为你变小了	(了,你,流量)
 324:02 - 324:13		()
 324:30 - 325:05	可惜了  要不你这理想不得给他创飞咯啊	(创飞,理想,开上)
 325:49 - 327:53	闪电现在对空中的基本上就只有一个清道具的效果	(了,道具,四个)
 328:14 - 329:03	登过了	(灯过,登过,不灯)
 336:08 - 338:01	够了	(够,不,第一)
 339:11 - 343:02	现在就算9000以上也很容易排到满人局了不像之前都是人机局	(了,是,中)
 345:10 - 345:23	第一名还有美食	(美食,第一名,还有)
 345:47 - 346:11	第一还能吃蓝龟是真的	(头上,食人花,绿)
 346:43 - 346:54	这第一吃了俩蓝龟了	(俩,了,蓝龟)
 347:53 - 349:21	这次更新是第一可以拿到金币箱了，回旋镖削弱，削弱bot[dog]	(说,蓝龟,第一)

