全场最高能：111:57	我认识一主播被一打鼓的孙子骗了20w，摸摸你

其他高能：
 2:41 - 2:57	孙怎早	(来,孙怎早,了)
 3:29 - 3:32		(委屈,],[)
 3:47 - 5:49	作为美食，收好火箭，分享爆料和打压给需要的人就好了	(],[,比心)
 6:20 - 8:13	就佩服做这些图的作者，玩谁都会，做图就不一定了	(了,名字,帧)
 10:42 - 12:17	打压了	(了,倒闭,不行)
 17:40 - 17:42	皆若空游无所依	(依,所,空游)
 17:49 - 18:16	王八不会走马灯	(王八,这么晚,纪晓岚)
 20:37 - 21:19	确实卡	(卡比,kale,卡)
 22:46 - 22:50		()
 23:30 - 24:31	你要嫌那齿轮烦你可以拉黑，反正我是不拉黑	(已,开走,是)
 29:54 - 32:02	老板大气	(么,亲亲,])
 41:31 - 42:35	田樱早过了	(？,装,100)
 42:49 - 43:00		()
 43:47 - 45:35	他是超级大奔奔 我改一ID 超级胖奔奔 今天又有一个水友改成 超级白奔奔了 白胖	(版本,奔,什么)
 45:55 - 46:00		()
 46:11 - 46:14		()
 46:53 - 48:45	有没有超级爱奔奔和超级牛奔奔	(奔,的,黄忠)
 51:57 - 53:56	风寻太贵了，不如灯和牛	(],[,亲亲)
 55:30 - 58:29	我给茶茶丸搬运了主播的去以六月息 茶茶丸就说要来给孙孙开皇帝 主播就盆满钵满了	(],[,亲亲)
 58:50 - 61:01	请你自重	(那,咋,了)
 63:35 - 65:13	老板糊涂	(走马灯,🚶,🐴)
 71:34 - 71:48	在哪里还能看到成语接龙	(士,大戾,哪里)
 78:37 - 78:39		(走,日场,夜场)
 81:00 - 83:07	我本来要改超级小奔奔的 他们说胖奔奔好听 但是这个白奔奔他就是为了走灯改的了	(奔,超级,就是)




 86:30 - 86:39	主播是i耀西吗	(1UP,耀西,甚至)
 89:31 - 90:36	走，快	(太好了,走,我)
 92:36 - 93:02		()
 96:39 - 99:00	你是玩梗的 我是真的 我怕主播分币没有 我每天给主播刷一块	(第一,是,刷)
 106:12 - 106:20	大戾士	(士,大戾)
 106:35 - 110:21	请吃的什么，怎么还草上了	(了,],[)
 111:06 - 114:22	我认识一主播被一打鼓的孙子骗了20w，摸摸你	(我,],[)
 117:01 - 117:40	他爆金币还得看着你吃是吧	(我,你,找)
 117:53 - 118:45	买电脑吧，松饼，电脑赚你负0.5块钱	(你,],[)
 122:30 - 125:50	我这是再说饼饼的故事了	(的,],[)
 163:16 - 163:45	林智零	(想起,总让,bgm)
 165:10 - 165:40	哦豁[dog]	(雅,豁,哦)
 165:54 - 165:58	曾经有个世界第一播给这首歌加了词，里面有个词语是大给给[dog]	(有个,给,词语)
 166:13 - 167:42	我和你说的世界第一在一个城市	(九折,世界,第一)
 168:46 - 170:14	主播像熊猫嘛[花]	(熊猫,666,是)
 170:23 - 171:32	为什么国服的奶还能有摩西的	(国服,的,摩西)
 172:30 - 174:57	那咋了，钻石以下那些人都只看治疗量的	(治疗,量,的)
 185:18 - 186:37	正常放，这图就在困难了[dog]	(玩,放,奔)
 189:55 - 190:16	德莱文杀疯了	(HOW,莱文,德)
 192:31 - 192:33		()
 194:27 - 194:34		()
 198:02 - 199:01	这图做了个啥	(啥,奇奇怪怪,逻辑)
 202:49 - 203:15	没有龟孙赛跑差评	(立判,高下,差评)
 209:32 - 211:15	想一块去了[妙]	(开车,妙,牛)




 214:10 - 217:38	那是因为你抢跑了，别人没开服你刷的蓝龟	(爱孙,？,委屈)
 220:18 - 221:27	我看最近有个快递员给买A退B的住户刀了	(了,到,住户)
 221:47 - 222:04	主场作战	(作战,主场)
 223:34 - 226:05	主播主播，能表演一个不可能的羽毛躲蓝龟吗	(该,蘑菇,火箭)
 226:14 - 227:10	饼饼已经凉了[委屈]	(饼,委屈,是)
 227:50 - 228:41	主要又想要男的了	(想要,了,主要)
 236:54 - 237:54	我16年也在，但是我每个平台名字都不一样孙子认不出来	(我,年,在)
 239:15 - 241:10	别哭了，我记得有个老图 说得好，每一个那啥上都长了一个让人失望的男人	(了,，,都)
 243:46 - 244:30	好道具	(LOSE,好,星)
 245:16 - 245:18		()
 246:21 - 250:08	那主播你有问他知道走马灯的事吗	(的,是,吗)
 257:38 - 259:25	火箭来了	(火箭,],[)
 271:08 - 272:50	主播别输了，你一输饼饼就哭，不知道心疼一下吗	(了,dog,])
 275:42 - 276:05	有没有可能他等蓝龟吃了 后才第一的	(很难,电线杆,后)
 279:03 - 279:39	这是哪个彩笔的闪电	(决赛圈,先进,彩笔)
 280:42 - 282:42	居然真赢了[委屈]	(！,666,灯顶)
 283:28 - 285:24	举报了 故意回头送前面的人登顶	(故意,的,举报)
 287:42 - 288:46	云也来寻你了	(了,？,寻)
 289:25 - 290:29	那咋了	(哈哈哈,该,士)
 292:59 - 295:12	确实主播自己开极巨化从来只赶路不压人的	(你,LOSE,哈哈哈)
