全场最高能：123:37	主播你的多人許可證已經多續了一週，請繼續

其他高能：
 5:46 - 6:34	孙孙早上好	(走马灯,开播,提醒)
 10:29 - 14:24	哇，灯顶	(灯顶,比心,])
 14:41 - 15:51	早捏	(比心,捏,早)
 22:23 - 29:31	灯顶节快乐[花]	(？,比心,了)
 30:56 - 34:32	我最喜欢的多人环节[比心][比心][比心]	(],[,比心)
 34:38 - 34:40	主播疯了	(堵路,疯,主播)
 34:58 - 35:47	这是什么新游戏吗	(新,什么,气急败坏)
 36:13 - 36:22	无修正	(修正,无)
 38:21 - 40:52	往事像走马灯一样闪过	(走马灯,牛哇,出)
 44:52 - 44:58	久违的对战[妙]	(贴,久违,人性)
 45:01 - 46:38	要不主播去顶一下，做个好人	(🏆,！,今天)
 46:52 - 47:37	主播是不是操作变形了啊	(不好,了,bohouse)
 56:06 - 57:11	怎么别人能选对，是不是技不如人	(技不如人,LOSE,不如)
 57:16 - 57:27	胖早一	(胖早,blue,技)
 57:33 - 61:49	是只能看一个小时的多人了么	(亲亲,],[)
 62:43 - 63:20	应激了	(LOSE,了,坏)
 63:43 - 63:45		()
 64:37 - 65:01	上瘾了	(…,仇日,？)
 67:00 - 68:00	主播能放我出来吗我是人脉帮你上分	(我,挤,走马灯)
 68:20 - 70:29	狙到了	(狙到,了,LOSE)
 71:26 - 71:35	甜蜜双排	(本地,甜蜜,样)
 71:46 - 74:58	为什么不是主播主播你上不了八千是不是技不如人	(主播,起步,你)
 79:49 - 81:35	他们技不如人	(？,蒙,666)
 82:59 - 84:36	孙孙今天又在打多人啊[dog]	(三打,了,一)




 88:50 - 88:59	7200去牛車好不好	(？,fengxun,牛車)
 90:52 - 91:07	蒙的	(卡卡,帅,蒙)
 94:01 - 94:30	好圖	(dlc,？,显然)
 98:04 - 98:48	谁卡不用说了吧[dog]	(因为,为什么,卡)
 103:50 - 105:37	pjbsb ×45	(pjbsb,大戾,士)
 106:18 - 106:31	小蓝过了	(了,必速通,過關)
 108:14 - 108:50	好，运气不错	(运气,不错,好)
 111:24 - 111:46	坤坤又来了[dog]	(坤,又,来)
 111:59 - 112:17	鸡哥火到你回霓虹了吗	(日本,房子,租)
 117:14 - 117:42	那砖头都让大聪明撞碎了..	(LOSE,大,么)
 118:46 - 120:45	isun来了	(！,今宵,难忘)
 121:48 - 124:38	主播你的多人許可證已經多續了一週，請繼續	(啊啊啊,没汤,isun)
 125:32 - 125:43	主播现在已经不姓植原了	(喝彩,],[)
 126:03 - 128:02	主播的多人许可证续费到马灯十五了	(大戾,士,马灯)
 129:38 - 131:15	大戾士开始了[dog]	(大戾,士,的)
 133:45 - 134:48	开中药那你吃的糖不就白吃了，当不了南梁了	(了,中药,dog)
 138:48 - 140:53	鲁迅都穿上裙子了，这也太能崩了	(了,走马灯,鲁迅)
 142:58 - 144:09	看看x4	(看看,？,的)
 147:39 - 148:33	还有ibo	(的,儿子,ibo)
 148:46 - 149:14	这就是你想上的7200吗	(，,∠,这)
 151:23 - 152:39	7200了	(ibo,了,走马灯)
 153:05 - 153:20		(下载,各位,已)
 167:31 - 169:11	从粉笔不挣到盆满钵满，有人采访一下主播心路历程吗	(],[,满)




 169:30 - 169:57	园区都是电棍	(电棍,是,传媒)
 173:17 - 175:02	因为技不如人	(技不如人,打工,你)
 178:43 - 180:18	是的我去阴阳了几句也没有被拉黑	(我,黑名单,你)
 180:30 - 181:13	雅阁x2	(雅阁,我,骗)
 181:45 - 182:49	感觉打工图挺没意思的	(裤子,大戾,士)
 187:14 - 187:59	主播打压同事了	(黑名单,打压,ztmex)
 192:21 - 192:42	主播的意思是直接给他打钱	(盘满钵满,无关,钱)
 197:02 - 197:12	现在是马灯时间，黄金体验镇魂曲，永远无法到达的8月9号[妙]	(？,到达,无法)
 197:56 - 198:29	蓝音姐姐	(姐姐,蓝音,我)
 198:37 - 199:44	以前求你玩多人都不玩，现在终于想开了[哇]	(LOSE,了,怎么)
 200:05 - 201:01	以后再也没有单人环节了[妙]	(？,],[)
 201:43 - 202:58	这不是卡,就是开了	(卡卡,卡,开)
 206:18 - 206:21		()
 207:59 - 209:04	马瘾犯了是吧	(走马灯,马瘾,洋)
 215:47 - 216:10	主播只有一半日本血统，举不过正常	(血统,target6999,几局)
 233:18 - 235:33	弹幕给你点了	(自重,了,弹幕)
 236:24 - 237:47	主播主播DR是哪个国家	(抗日,kr,是)
 241:10 - 241:29	有风寻还能给赞	(有风,骨气,赞)
 241:47 - 242:55	主播喜欢家乡的咖喱饭	(合影,的,bubukun)
 244:31 - 245:19	滴der	(滴,der,🎶)
 245:53 - 246:48	主播能不能赢一把，我想睡觉了	(pjbsb,了,手柄)
 251:52 - 252:01	技不如人	(技不如人)
 256:48 - 257:47	爱孙发力了	(爱孙,守门,这个)




 265:04 - 266:18	开个变速齿轮吧	(开,齿轮,开个)
 267:16 - 268:17	爱孙大气	(爱孙,？,isun)
 269:54 - 272:03	戾气真的大 看你直播都得挨骂	(哈哈哈,？,哈哈哈哈)
 272:12 - 272:20		()
 275:16 - 277:03	雅阁了	(雅阁,合影,寄)
 277:34 - 277:36		(纪晓岚,哈哈哈)
 288:38 - 289:58	主播印度时间都过0点了你现在是哪里人	(时间,了,印度)
 291:44 - 291:56	舒服了	(技不如人,撞,上去)
 292:06 - 292:14	-8	(忌讳,8,-)
 292:16 - 292:37	这个时间点，日本还有人打吗	(吧,白名,難)
 294:07 - 294:18	不会要俯冲下7000了吧	(俯冲,下,7000)
 294:24 - 294:30		(BYD,扣分,赢)
 295:18 - 296:47	主播明天要是不玩多人，就说主播技不如人，怕变成六字辈不敢玩多人	(。,牛车,技不如人)
 300:19 - 300:42	这个终点不太好，有被抢肉的风险	(肉,不太好,风险)
 300:46 - 302:51	开始诱导消费了	(老板,],[)
 303:03 - 303:10	像个几把	(几把,像,+)
 306:16 - 307:54	主播已经原谅爱牛和白胖了才继续玩的吗	(了,等,主播)
 307:57 - 308:07	没时间了	(看看,时间,官方)
 311:46 - 312:34	海南人其实是北京人，主播的老乡	(如数家珍,走马灯,啥意思)
 314:49 - 315:34	这管子不会害了我吧	(？,哈哈哈,管子)
 315:54 - 316:26	你就说拐没拐上去吧	(大戾,士,拐)
 320:46 - 321:56	月球的马灯节还没开始呢	(七天,灯节,马)
 322:33 - 323:06	纽约才8月8 下午三点 够你玩到下播了	(。,8,玩)




 323:53 - 325:47	isun发力了	(哈哈哈,了,isun)
 329:36 - 330:14	主播除了会做极难图，能做个这种图吗	(全聚德,做,一个)
 332:01 - 333:36	我的千本樱呢[dog]	(谁,],[)
 334:35 - 334:58	正好天亮了 来一杯冰美式然后去健身	(健身,美式,一杯)
 340:53 - 342:15	雅阁已满	(雅阁,出来,我)
 342:26 - 343:24	爱牛是哪个你还记得吗	(出来,你,还)
 346:22 - 347:24	主播多吃点好的 想干啥就干啥	(干,的,啥)
 349:31 - 350:07	还打得动你呢[花]	(你,哈哈哈,还)
 350:53 - 351:48	为啥没有多人看了	(了,为啥,冲击)
 353:54 - 354:06	我是真想看啊[委屈]	(真想,委屈,看)
 354:33 - 354:43	你扭了吗你就嫉妒别人盆满钵满	(嫉妒,你,扭)
 367:57 - 368:05		()
 368:59 - 369:25	那就 美国西部时间	(knww,芫,西部)
 370:36 - 370:40		(哈哈哈哈)
 370:49 - 370:57	反直觉	(犯错,直觉,高手)
 371:11 - 371:30	还有卷卷鹅，再算一个	(花,上大分,忘不了)
 372:03 - 373:24	有人问马灯节是啥你不解释一下	(灯节,马,是)
 386:21 - 386:36	读图能力	(ztmex,垫,谢谢)
 395:11 - 398:17	感觉主播应该去当下午场马造一哥	(。,别人,恶心)
 399:31 - 399:47		()
 415:40 - 417:15	厉不厉害你白白胖胖的幽灵格	(白哥,继续,厉不)
 419:05 - 420:21	上吧就被胖哥制裁了	(胖哥,免得,解)
 424:00 - 424:11	完了	(完,走马灯,了)
 428:31 - 430:20	接受马灯的制裁吧[dog]	(马灯,一般,接受)




 433:51 - 437:42	这个电寻的太牛逼了	(老二,可不,孙)
 441:00 - 442:33	每天都是啊任要倒闭的一天	(的,性质,荣)
 443:23 - 445:38	把你淘汰了	(淘汰,],[)
 453:33 - 453:42		(哈哈)
 458:54 - 459:57	金蘑菇吃一半还能被偷的吗	(蘑菇,偷金,一半)
 460:43 - 461:52	panga来了 道具就有了	(来,有,了)
 463:02 - 463:07		()
 464:01 - 465:32	都怪胖哥关键时候偷你道具	(胖哥,你,都)
 465:38 - 465:48		()
 466:10 - 466:40	赢了舰长一号	(一号,蓝寻,舰长)
 467:48 - 467:51	马灯计划	(计划,马灯)
 469:01 - 471:35	坏了	(了,胖哥,坏)
 471:52 - 475:53	食物不能躲蓝龟吗	(失败,老板,的)
 484:39 - 486:50	喜欢我蓝龟吗	(蓝龟,喜欢,吃)
 489:05 - 489:43	还有最爱的蓝龟	(还有,哈哈,出金)
 490:51 - 493:06	对（松鼠gjf）	(打压,胖哥,了)
 500:20 - 502:11	金蘑菇 追啊	(大笑,越,道具)

