全场最高能：185:46	就是，之前不是还有个50的sc吗

其他高能：
 0:44 - 3:02	刚来，什么时候走马灯	(啊啊啊,，,早上好)
 9:11 - 11:03	技不如cpu	(技不如人,不如,技)
 15:53 - 17:54	早喵[比心]	(],[,比心)
 18:24 - 18:35	jbbr环节	(jbbr,环节)
 18:40 - 19:00		(？)
 19:10 - 20:37	技不如人，自重	(技不如人,LOSE,地狱)
 21:57 - 22:14		()
 28:46 - 29:58	技不如人[dog]	(技不如人,失败,？)
 30:51 - 31:27	才的发昏[dog]	(？,幽默,发昏)
 37:29 - 38:20	还解说呢	(齐,解说,攒)
 38:55 - 42:04	没事，就算有ns，玩一把就不玩了[dog]	(，,指导,ns)
 42:41 - 45:10	徽章是打目前攻击力最高的	(徽章,的,孙)
 46:40 - 49:01	这游戏没有爱牛，有爱孙	(老二,技不如人,孙)
 50:48 - 52:33	孙c4w不熟练，不然的话就是两条命	(就是,全消,四下)
 56:03 - 57:30	主播什么是4w	(LOSE,技不如人,∠)
 58:14 - 60:08	晚上好孙孙 晚上好饼师傅 晚上好直播间的水友	(！,晚上,])
 60:49 - 61:31	看上去是挺大的，	(看上去,很大,挺)
 61:56 - 62:09	区别是什么呢	(区别,什么,呢)
 64:04 - 70:32	孙子嘛时候灯顶啊	(！,走马灯,灯顶)
 73:24 - 75:10	鲁迅来了	(啊啊啊,鲁迅,了)
 75:34 - 76:06	ns2不行	(PJBRRT,非官方,ns2)
 76:25 - 79:18	怎么还有ddj	(打,困难,极难)
 79:38 - 80:25	是不是主播的地址有问题，怎么长沙就不会这样	(不会,打,牛车)
 82:05 - 83:30	该纪晓岚了	(哈哈哈,纪晓岚,了)




 83:52 - 83:55		(单人,这图,过)
 88:58 - 91:13	2刷666	(哈哈哈,？,哈哈)
 94:16 - 95:25	拿到钥匙不进门 技不如人	(打工,合影,了)
 95:38 - 96:00	主播马上要和洋次郎坐一桌了	(虾,滑,了)
 99:50 - 100:08	化身小粉也救不了你	(化身,救,敢)
 110:29 - 110:44	这游戏多人就该把人都做成虚的竞速	(多,人,惩罚)
 114:43 - 115:30	蒙的	(？,蒙,的)
 118:10 - 118:30	技不如人x6	(游泳,了,7000)
 120:39 - 121:11	标题一堆问号的很多选路	(嘲讽,b,2)
 121:25 - 121:36	自重啊	(自重,分少,局加)
 124:53 - 124:57		(蓝蓝的,胖胖,呀)
 125:04 - 125:31	小红都没影了[dog]	(走马灯,小粉,邻先)
 127:09 - 128:25	怎么他不送你赢 跟我看的别的主播不一样啊	(士,大戾,不如)
 133:59 - 135:02	主播已经切割哔哩了	(主播,切割,了)
 135:19 - 135:25		(刚,分,来)
 136:34 - 138:43	不是不打多人了吗	(了,],[)
 142:28 - 145:50	公平的不好	(8000,公平,])
 152:44 - 153:43	赢了还ztmex	(赢,的,了)
 153:59 - 154:41	天眼好之前只有多人了	(了,输赞,五)
 156:15 - 157:43	那你赢了吗	(爱,],[)
 159:05 - 159:26	多好啊	(打工,举办,必)
 162:36 - 162:46		()
 163:01 - 163:13	得，过不了了	(你,过,吧)
 163:32 - 166:35	主播就带起点，不玩了吧	(走马灯,放弃,士)
 170:13 - 172:01	谁说的 第三不也被杀了	(了,士,大戾)
 175:49 - 177:42	赢了+2输了-11	(走马灯,了,11)




 182:56 - 183:44	对啊，你们认错主播了吧	(认错,主播,了)
