全场最高能：91:57	哈气了

其他高能：
 3:21 - 3:45	走马灯	(走马灯)
 5:02 - 5:06		()
 5:09 - 8:43	今天和国服第一提交多人申请了吗	(大佬,黄,搞)
 13:52 - 14:55	技不如人，自重	(LOSE,技不如人,一步)
 16:09 - 16:49	你在干什么	(？,干什么,开走)
 23:30 - 26:35	哇灯顶	(pjbsb,？,LOSE)
 27:25 - 27:43	孙没T	(T,孙,没)
 30:00 - 34:59	ztmex[滑稽]	(],[,晚上)
 35:05 - 35:21		(卧槽,id,兄弟)
 35:44 - 36:39	又切了	(卡,他,又切)
 37:01 - 43:18	技不如人x2	(，,技不如人,了)
 44:01 - 45:00	你就记住爱牛了是吧[手机]	(记住,就,问)
 45:06 - 45:56	不，主要是大林必须灯顶一次才换游戏	(大林,主要,必须)
 46:57 - 48:10	主播今天能不能先牛车，想早睡，看几把就睡了	(，,看,几把)
 48:22 - 48:36		(多,今天,玩)
 51:17 - 53:47	哇，灯顶	(！,灯顶,哇)
 53:53 - 54:06		(加成,孙孙田旋,花)
 63:04 - 71:50	走马灯吧	(不如,了,走马灯)
 73:36 - 76:44	技不如人 ×58	(？,⁄,偷)
 78:19 - 78:26	学到了 就差个机器了	(差个,学到,机器)
 81:36 - 84:42	谢谢主播，现在我知道人心险恶是什么了	(了,他,险恶)
 88:59 - 89:14	俩白名还在玩	(原来如此,白名,俩)
 91:19 - 94:02	哈气了	(哈哈哈,大笑,了)
 95:30 - 97:18	10分值回票价了	(了,哈哈哈,哈哈哈哈)
 99:19 - 101:52	洋次郎走马灯了	(走马灯,士,大戾)
 103:18 - 105:41	主播每天这么晚直播是被小杰打压了吗	(了,士,大戾)




 106:29 - 107:02	他不是怕抢到才死的吗	(电脑,？,了)
 124:49 - 125:29	7000睡觉	(亲亲,],[)
 127:43 - 129:23	自动续费就不嘬了	(么,续费,自动)
 129:30 - 129:44	不在就不嘬吗	(饼,就,不)
 131:47 - 133:18	主播我的车呢 车倒闭了吗	(爱,],[)
 159:44 - 160:18	孙子又把松饼气走了	(叔叔,松饼,黑)
 163:23 - 164:19	现在主播多人上瘾了，借口天眼坏了不玩单人	(！,雅阁,走马灯)
 164:37 - 166:49	主播再玩下去要技不如桀了，小桀顶着爱牛的滴der都能上分	(！,了,急急)
 167:46 - 168:49	大戾士	(士,大戾,玩)
 170:25 - 171:59	都说了让你see一下hpui4的视频，小杰说了故意不关	(，,视频,可以)
 176:15 - 178:22	主播白白的胖胖呀是谁	(是,他,卡)
 179:17 - 182:50	主播你说的队友是什么意思	(他,卡,た)
 185:15 - 186:19	主播，这赞是你点的吗又是什么意思	(？,了,电脑)
 186:41 - 187:30	主播，隔壁电脑店要开业了，可以换个新的	(士,大戾,隔壁)
 187:36 - 188:03	主播戾气好重...感觉心态不如白胖..佛系...	(...,戾,了)
 188:39 - 189:28	因为你在这里带节奏，后面忘了	(节奏,带,因为)
 189:36 - 189:44		()
 191:11 - 191:31	踩p就能让所有人等	(哈哈哈哈,哈哈哈,技不如人)
 192:10 - 192:26	陪主播在冲刺一次7000	(复刻,季小,陪主播)
 192:40 - 195:05	主播我是人脉放我出来，我帮你上分	(，,赞,我)
 201:27 - 202:42	你赢他一千局就能8000了	(了,输,赢)
 207:14 - 208:22	炸房了	(了,开,比心)




 208:28 - 208:31	主播这不上8000抗日	(？,抗日,上)
 209:38 - 210:01	对，以为主播没到终点，想卡死前面的人	(戴,想,，)
 214:50 - 216:11	主播，这马里奥故意拖时间，能拉黑一下马	(哈哈哈,HOW,？)
 222:45 - 224:19	哇8000	(？,],[)
 225:36 - 226:16	8000为什么不掉分	(8000,别气,分)
 232:13 - 233:00	号就不白了	(号,脏,了)
 243:20 - 244:41	不懂就问路易刚刚在下面不能过吗	(对,哦,不)
 249:02 - 249:56	真好，我晚上心情不好唯一的活动就只能看主播的直播了	(松饼,走马灯,心情)
 254:43 - 255:35	8000来了	(8000,含金量,了)
 255:41 - 255:47	神人小粉	(骨气,？,有)
 255:55 - 256:26	小粉是牛爷爷，不喝汤	(千千,八八,爷爷)
 256:36 - 256:44		()
 258:28 - 263:20	isun ×20	(你,了,isun)
 265:49 - 266:23	这都熟人了，所以孙孙是卡比	(3.5,所以,是)
 266:51 - 266:58	8000这个已经病了	(爬,旗杆,病)
 267:16 - 267:39	这8000我看也是isun，把4人局变3人局提高孙孙胜率	(人局,8000,多分钟)
 268:36 - 269:19	那主播为什么不用	(不用,为什么,那主播)
 270:02 - 270:10	别问为什么主播不用 主播都没7500	(别问,主播,7500)
 270:11 - 271:44	主播你认可他是国内第一吗	(士,大戾,那)
 271:57 - 273:25	嘲讽逼	(嘲讽,b,比)
 276:40 - 276:48		(天眼,什么,是)
 276:53 - 277:05	可以找个isun给你查	(没意思,查,可以)
 284:32 - 285:56	钢铁侠来吃分了	(钢铁,20,了)




 286:21 - 286:46	主播钢铁侠俘虏摆烂了	(了,奔,大奔)
 288:31 - 290:27	isun记得别留汤	(你,？,7)
 292:11 - 292:36	依旧技不如人	(技不如人,LOSE,啊)
 300:49 - 302:06	这是真isun	(是,你,真)
 307:20 - 307:52	最后是隐藏转	(哈哈哈,导游,隐藏)
 310:18 - 310:27	已经疯啦	(神志不清,智慧,疯)
 310:30 - 311:35	今天被钢铁侠全方位打败了	(侠,了,钢铁)
 312:56 - 313:32	人家进管子前还帮你把加邦坐死	(你,加邦,走马灯)
 321:36 - 322:46	待会就给isun群体免疫了	(了,路易,…)
 326:39 - 328:11	我们的青春	(哭,],[)
 331:58 - 333:41	感化了说是	(哈哈哈,感化,说)
 335:28 - 338:17	技不如人x8	(了,笑,出去)
 340:56 - 341:18	哈哈哈完了	(开局,不看,条件)
 341:41 - 342:31	没有条件喝不了	(喝,条件,没有)
 343:51 - 345:14	爱孙大气	(？,赢,了)
 347:58 - 348:25	糊涂啊	(么,糊涂,啊)
 349:26 - 349:34	主播啥时候上8000啊	(小蓝,自己,！)
 363:16 - 363:59	孬 飞	(技不如人,飞,亿局)
 367:20 - 367:38	主播什么时候两个游戏一个分	(两个,时候,游戏)
 370:44 - 371:03		()
 378:03 - 378:23	第一也太tm远了	(远,tm,太)
 386:49 - 388:01	主播为什么不吃道具，是不爱吃吗	(道具,不吃,吃)
 389:38 - 389:42		()
 391:56 - 392:17		()
 392:37 - 392:39		()
 394:55 - 397:30	你要去见他吗	(😭,卡桑,没)




 397:44 - 398:33	完犊子，不给匹到8000	(犊子,匹,为啥)
 398:59 - 399:03		()
 405:58 - 407:20	走了，再见	(再见,走,ztmex)
 415:11 - 418:55	你要是刚才不掉下去就第一了	(第一,了,瀑布)
 420:58 - 421:40	这个世界有时候就是这么不公平	(有时候,风寻,世界)
 422:14 - 423:08	难道不是6个蘑菇吗	(不是,难道,羽毛)
 427:42 - 430:50	是奶啊 我还以为是牛牛的牛牛控制的	(牛,灯顶,控制)
 432:22 - 433:46	你预感几时准过	(粪发,墙涂,准过)
 434:05 - 434:24	被白胖偷了第一	(偷,白胖,第一)
 438:48 - 440:36	这图没瀑布	(二连,灯,母牛)
 446:17 - 447:48	主播现在在后面 准备后追到第一了	(花,],[)
 447:57 - 448:02	蓝龟寻一下	(蓝龟,寻,一下)
 448:34 - 448:46		(那过,看不见,灯节)
 449:19 - 449:31	没事，在闪电面前众生平等	(平等,众生,面前)
 450:23 - 454:15	忘了昨天回旋镖帮你打了个火箭吗	(回旋,我,镖)
 456:14 - 456:22		()
 459:25 - 459:40	我去看胖哥了	(胖哥,去,看)
 460:47 - 461:27	主播今天播多久了	(播,多久,今天)
 463:49 - 468:04	好大一只牛，主播是爱牛吗[比心]	(钵,盆满,])
 469:17 - 469:29	你猜我信不信你不知道几点了	(几点,信不信,猜)
 473:15 - 476:19	吃了也是回旋镖	(了,回旋,镖)
