全场最高能：158:52	马上target6999

其他高能：
 2:12 - 2:41	饼饼早捏	(比心,饼,捏)
 3:19 - 5:53	早捏[比心]	(比心,],[)
 7:50 - 8:04	bubu去哪里了	(bubu,无敌,哪里)
 8:13 - 8:23	不留吗	(心里,布布,我们)
 8:58 - 9:41	一天没看怎么都要俯冲7000了	(还,抖,pjbbl)
 9:52 - 9:59	为啥别的直播不掉帧，主播是不是被打压了	(不掉,别的,为啥)
 12:10 - 14:20	好图	(打工,LOSE,掉)
 27:16 - 27:30	马上上7000分了	(马上,分,上)
 27:44 - 28:35	笑死我了	(哈哈哈,笑,了)
 34:14 - 35:03	要上6000了[妙]	(合影,王国,蘑菇)
 38:38 - 40:59	拄拐的赢了	(赢,拐,拄)
 41:05 - 41:18	打工警告	(警告,打工,哈哈)
 45:44 - 46:44	孙子都算好了每天掉点分15号正好6开头然后去寻卖电脑的过节	(了,人,电脑)
 50:34 - 50:40	那咋了	(咋,！,那)
 51:12 - 51:23	这破图都成题库了	(666,九折,题库)
 51:43 - 53:38	主播承包3d马项目了	(一个,题库,以后)
 54:39 - 55:00	打工botbotline	(打工,BOT,botbotline)
 58:11 - 59:02	哔哩也有这表情了啊	(走马灯,了,哔哩)
 59:24 - 60:27	技不如人x26	(技不如人,委屈,])
 66:34 - 67:06	其实是爱牛卡的	(这,是,牛卡)
 67:39 - 68:13	曹森下場	(小王子,曹森下場,DLC)
 68:17 - 69:12	松饼姐姐晚上好	(],[,比心)
 69:27 - 69:44	半个小时掉30分，平均一分钟一分	(掉,一分,一分钟)
 69:54 - 70:10	7000就睡	(难,啦,睡)




 70:21 - 70:49	你别说这马里奥的音乐还真挺助眠的	(害人,挺助眠,音乐)
 73:35 - 73:40	未必	(7800,未必,8000)
 73:55 - 75:00	技不如人[花]	(8000,不是,技不如人)
 75:06 - 75:26	7000睡觉	(签约,起点,一塌糊涂)
 76:34 - 77:22	你别朝着我咳[傲娇]	(走马灯,🦠,咳)
 79:52 - 82:55	两个人挤的话会不会挤进去一个	(走马灯,又,白白胖胖)
 84:53 - 86:47	集合了所有好图的要素	(车,委屈,！)
 87:52 - 89:14	爱孙发力了	(了,666,])
 89:53 - 91:19	爱孙卡住了	(爱孙,？,了)
 96:16 - 97:57	主播今天晚上要6打头了	(晚上,好,6)
 98:23 - 99:00	马里奥不是自己人，锤他	(他,卡,自己)
 99:42 - 100:05	这futou是榜三	(真假,榜,futou)
 100:16 - 101:12	斧头和bubuline能不能给点作用，学学爱牛把马里奥堵住	(咳,🦠,你)
 101:31 - 101:51	林克开的	(秒,的,等于)
 102:01 - 102:21	bubuline幹的	(咳,🦠,bubuline)
 108:05 - 108:15	登顶7000	(登顶,7000)
 108:33 - 108:49	要见证历史了	(🦠,咳咳,咳)
 109:31 - 110:26	蒙的	(蒙,咳,的)
 116:38 - 116:48		()
 118:01 - 119:23	嘲讽b ×36	(嘲讽,b,加油)
 121:31 - 121:46	算了，我怕主播又吃上拼好饭[花]	(饭,拼好,吃)
 122:30 - 122:51		()
 123:52 - 124:00		()
 124:05 - 126:18	玩了把拉玛刹摩西猛猛奶我	(了,。,的)
 128:07 - 129:23	我是人脉放我出来我可以帮你上分	(我,出来,雅阁)




 141:11 - 144:54	主播真的自称上了7000就没下来过吗	(的,吗,掉下来)
 145:29 - 145:57	留不留糖影响吗	(护旗手,糖,环节)
 146:28 - 148:25	target 6998	(了,6998,来)
 151:36 - 152:57	唉，遥遥领先	(有,顶,遥遥领先)
 153:02 - 153:24	运气也是实力的一部分	(了,赞过,实力)
 154:03 - 154:41	遇到不会演的锁了	(锁,遇到,细说)
 155:55 - 161:25	马上target6999	(了,士,大戾)
 161:48 - 163:26	你可以赢3局+2，但不如一局-11	(？,演员,了)
 164:56 - 167:06	你可以赢三局，但只需要一局下7000	(、,！,了)
 168:51 - 168:58	我急了	(唉,急,b)
 169:06 - 169:36	求求你快掉下7000吧 我想睡覺	(求求,别急,来个)
 171:16 - 173:06	坏了	(大哭,],[)
 179:11 - 181:08	蒙的	(大哭,？,])
 201:09 - 202:37	不都是一个人	(！,走马灯,都)
 204:51 - 205:05	这等了人直接从炮弹上跳过去了	(等,不想,炮弹)
 206:05 - 207:02	好图	(被,了,maimai)
 213:58 - 217:02	吃了没文化的亏	(走马灯,？,海绵)
 218:46 - 219:59	漂亮maimai	(漂亮,？,maimai)
 229:48 - 235:21	8000进来你这路就不是一个人了	(你,8000,了)
 236:16 - 237:36	4人了 等会牛牛就来跟你互动了	(牛,胖哥,哭)
 244:56 - 245:25	刚刚小粉掉岩浆不是啾咪了一下吗	(岩浆,刚刚,啾)
 245:40 - 245:44		(天国,来自,吧)
 253:52 - 254:39	最忌讳的就是放弃	(放弃,忌讳,最)




 257:11 - 259:16	maimai牛逼	(哈哈哈,赢,了)
 259:52 - 260:13	现在多人都凑不齐一桌了吗	(不齐,凑,自闭)
 263:10 - 263:39	好，这下彻底过不去了	(别,玩,都)
 263:53 - 264:07	给你机会你不中用啊	(机会,胜利,喜悦)
 264:10 - 264:22	这局才应该放弃	(这局,才,应该)
 266:05 - 267:04	享受胜利的喜悦	(搞,你,明显)
 269:39 - 269:56	小粉这什么b捏脸啊	(小粉,什么,阴阳)
 270:12 - 270:20	主播今晚上能6字辈吗	(上能,字辈,今晚)
 271:10 - 271:55	卡桑有没有	(潜规则,不行,有没有)

