全场最高能：83:25	好，没汤

其他高能：
 1:47 - 3:40	早捏	(啊啊啊,比心,])
 4:56 - 5:24	早，快点帮孙孙上分[dog]	(？,杀戮,孙上)
 6:34 - 6:48	暴毙就是进雅阁了[妙]	(暴毙,人格,堵路)
 13:56 - 15:09	我以为进来了，结果发现主播进度比我快	(技不如人,比心,孙)
 22:21 - 25:32	哇，灯顶	(灯顶,！,哇)
 26:47 - 26:58		()
 27:46 - 27:58	蓝蓝的音音呀	(音音,严谨,蓝蓝的)
 28:16 - 29:25	弹簧加猫能偷鸡吗	(弹簧,是,偷)
 33:35 - 35:30	胖奔奔早啊	(啊啊啊,早,比心)
 37:04 - 40:13	主播我的名字是松饼 把我放出来我帮你上分	(走马灯,？,马里奥)
 41:08 - 41:47	我是1	(1,是,0)
 45:16 - 45:35	咬咬牙环节不是早没了吗	(咬咬牙,环节,孙孙)
 46:22 - 49:56	我还是不知道多人怎么变成日常节目了 之前不是说只有马灯节玩吗	(了,的,技不如人)
 51:05 - 51:55	技不如麦麦	(⁄,技,麦麦)
 51:56 - 52:09		(晚班,#,垃圾)
 53:26 - 53:28		()
 54:34 - 56:15	卡他	(卡,他,技)
 56:35 - 58:33	主播是不是被賣電腦打壓了	(三缺,孙,不好)
 66:52 - 67:51	哈哈哈好	(哈哈哈,好,哈哈哈哈)
 69:21 - 70:25	开了	(了,开,掉)
 75:35 - 76:26	好龟	(好,！,了)
 76:30 - 77:44	可惜x2	(可惜,主播,了)
 79:15 - 79:23	领先的有点多了	(领先,有点,多)
 79:38 - 84:22	好，没汤	(了,-,？)
 84:57 - 85:42	其实是主播昨天提了半箱牛奶去了任天堂	(牛奶,七千,了)
 86:26 - 87:44	拼好饭吃多了出现幻觉了	(8000,了,幻想)




 93:30 - 93:43	留汤图啊	(！,爷爷,️)
 93:59 - 95:06	睡了 ztmex	(了,的,？)
 95:59 - 96:06	主播你纪晓岚啊	(纪晓岚,啊,你)
 96:07 - 97:44	主播，你把雅阁里的放出来就能上了	(],[,了)
 98:56 - 101:39	走马灯了	(！,好,合影)
 122:40 - 123:35	好x2	(题库,士,大戾)
 125:10 - 126:34	6998睡觉拉	(！,6998,合影)
 127:12 - 128:46	反复登顶	(！,·,7000)
 131:28 - 132:33	牛车不播的话，现在就没人看了	(看,牛车,3)
 135:14 - 135:31	好图	(好,LOSE,哈哈哈)
 140:53 - 141:44	那咋了，有失误还不让说	(士,大戾,互动)
 143:28 - 144:10	知道陆绎哥的厉害了吧	(重,来,技不如人)
 145:31 - 146:57	主播，你再打1000分就登顶了吗	(士,大戾,！)
 149:09 - 150:43	isun来了	(isun,爱孙,啊啊啊)
 151:43 - 153:13	我是盲人，请问主播是在直播仰卧起坐吗[哇][哇][哇]	(了,拐,拄)
 156:34 - 157:15	主播主播，我把你和雅阁对线的视频发了三百多遍，被雅阁举办完了，号今天才出来	(三缺一,三缺,士)
 171:30 - 173:16	开局的时候不就画箭头指卡比了吗	(，,箭头,卡比)
 177:26 - 179:34	哎还是走马灯吧	(电脑,了,那)
 182:06 - 183:56	大戾士	(士,大戾,做)
 186:48 - 187:31	主播的花呗能借两万	(委屈,偷吃,])
 189:26 - 190:11	你已经无敌了快去送	(龟,饼,好图)
 193:22 - 195:13	ztmex[dog]	(isun,ztmex,了)
 196:23 - 200:25	没题库的过不来了	(大戾,士,了)




 211:34 - 211:58	好图	(了,🫵,奴)
 220:58 - 221:10	好人啊	(好人,赢,麦麦)
 221:14 - 221:50	7000再也回不去了	(实在,回不去,不行)
 221:58 - 222:09	消消气[比心][比心][比心]	(比心,],[)
 222:40 - 222:59	某孙经常卡500s斗地主[dog]	(斗地主,老头儿,熬)
 223:44 - 225:13	鲁迅被主播骂的改名noob了	(noob,鲁迅,哈哈哈)
 228:03 - 228:34	很喜欢市长宝琳说过的一句话：比戾气没人比得过我们	(牛车,说,没人管)
 228:44 - 228:54	卖电脑的来了	(。,卖,电脑)
 230:37 - 230:42	多年后我们依然记得离开7000的这一天[花][花]马灯	(花,离开,依然)
 231:00 - 231:07	欢迎索拉进入直播间	(索拉,欢迎,进入)
 233:04 - 233:41	是6497，遇到真的了	(遇到,本人,6497)
 233:48 - 234:08	卖电脑的都寻你来了	(电脑,你,卖)
 236:06 - 237:37	自重了	(自重,的,造谣)
 243:50 - 243:59	斯普拉顿就很公平，技不如人就打不过	(就,高照,七星)
 252:48 - 254:07	maimai不是专门吸了你的分吗	(晚上,],[)
 254:09 - 254:28		(_,|,>)
 260:43 - 261:38	别走啊主播 还等着开车呢	(等,牛车,还)
 267:56 - 268:06		()
 273:55 - 275:01	哈气了	(士,大戾,哈气)
 277:28 - 278:00	桀哥赢了	(不好,赢,士)
 285:45 - 286:46	你们这四个里面有一个人类吗	(欧,，,吗)
 288:44 - 289:04	没有一个人能过	(没有,一个,人能)
 292:01 - 292:52	拉黑啊	(抓狂,黑,拉)
 298:37 - 299:54	祝您身体健康	(白白,身体健康,祝您)





