全场最高能：221:48	扔了

其他高能：
 4:23 - 5:06	主播少干点拼好饭吧	(饭,拼好,吧)
 5:31 - 5:58	最近禽流感挺严重的	(药,严重,禽流感)
 7:11 - 7:17		()
 7:40 - 8:57	在呢，等着VIP[花]	(啊啊啊,早,兔)
 9:25 - 11:21	技不如人[花]	(啊啊啊,技不如人,])
 13:47 - 14:25	技不如人x6	(技不如人,LOSE,哈哈哈哈)
 20:07 - 23:56	技不如人x33	(了,比心,？)
 24:28 - 26:54	原来4号线中关村站某出口直接出来就是地下电脑城，现在全集体倒闭开走了	(比心,],[)
 31:38 - 33:20	哇，灯顶	(！,灯顶,哇)
 33:24 - 33:41	堵他[花]	(么,堵,他)
 42:25 - 42:43	前10已经很不错了	(保驾护航,以下,人机)
 54:34 - 59:18	哇灯顶	(灯顶,！,💡)
 61:30 - 63:35	主播我ID是DY_XiaoJie，你可以放我出来吗，我会卡除你外分最高的人	(💡,🔔,我)
 64:55 - 65:04	马里奥是自己人吗	(自己,马里奥,！)
 65:24 - 65:48	卖了20万 天天在这卖电脑 人家卖电脑关你什么事	(卖,我,别)
 68:35 - 72:13	太好了x3	(太好了,奔,？)
 76:56 - 77:00		()
 86:53 - 86:56		()
 87:06 - 87:35	站这个位置不怕被抢肉吗	(抢,肉,不如)
 88:00 - 88:13	这个路易也是主播[妙]	(路易,是,选错)
 88:31 - 88:34	路易极限磕头	(磕头,极限,路易)
 92:26 - 92:43	都是靠爱牛上分的吗	(饼,靠,站)
 92:52 - 95:33	一定要-12	(么,合影,极限)
 96:41 - 97:02	主播上6000分了 加油💪	(可惜,投掷,💪)
 97:11 - 97:47	有了isun就是不一样	(一样,就是,图)




 97:57 - 99:12	哈哈哈哈哈哈走马灯那个图片一看就想笑	(了,4,走马灯)
 100:46 - 101:40	爱孙让肉	(？,爱孙,演员)
 103:33 - 104:14	让不让人睡觉啊	(啊,走马灯,么)
 106:16 - 109:08	好火球	(？,hk,了)
 110:20 - 111:11	主播不让睡觉	(士,大戾,？)
 111:23 - 112:13	这就是你想上的7000	(？,了,7000)
 112:26 - 112:40	欺负5000分的	(？,啊,藏狐)
 118:40 - 119:07	蒙的	(蒙,能力,读图)
 119:38 - 122:35	游戏理解不如isun	(音符,？,isun)
 125:11 - 127:25	斧头是你哔哩榜一	(？,榜,1)
 127:59 - 129:50	卷轴图是isun	(？,纪晓岚,isun)
 130:10 - 130:19	我就说音符不好	(我,城中,者)
 136:25 - 138:09	isun局	(isun,？,你)
 138:18 - 139:08	有卡比	(卡比,找到,名字)
 139:13 - 139:44	贼喊捉贼来了	(卡比,4000,+)
 146:16 - 146:19	你去纪晓岚就不耽误事了	(耽误,事,纪晓岚)
 150:02 - 151:16	白叔叔还玩	(玩,叔叔,啊)
 151:28 - 151:34	走马灯	(走马灯)
 152:01 - 152:19	捡一猛漏	(都,了,过卖)
 163:31 - 164:16	鲁迅来了	(鲁迅,了,来)
 165:24 - 166:38	任天堂怎么判定哪些图进多人的	(士,大戾,ztmex)
 169:05 - 169:17	这都能赢全靠爱孙发力	(666,蒙,赢)
 172:38 - 173:10	陆毅是树人吧	(ex,自重,我)
 178:16 - 181:32	今天是电脑两周年了吗	(电脑,卖,了)
 185:46 - 186:48	坏了有isun帮你上坟	(小红,的,逼)




 187:50 - 190:32	骗你的，十连胜也没舰长	(啦,的,主播)
 191:43 - 192:27	假maimai，真的6500	(maimai,假,碰见)
 195:15 - 196:46	主播，那隔壁白胖怎么上的8000	(8000,的,那)
 198:24 - 201:28	isun来了	(isun,？,了)
 202:13 - 202:20	哦，鲁迅都有李鬼了	(李鬼,哦,鲁迅)
 207:25 - 207:38	懂点事吧，都等你呢	(你,就行了,垫过去)
 207:41 - 209:49	isun发力了	(？,666,斧头)
 211:28 - 214:48	wcnmd ×72	(？,开,了)
 216:16 - 217:01	让韩国人赢了	(哈哈哈,韩国,ztmex)
 220:55 - 222:46	扔了	(哈哈哈,扔,哈哈哈哈)
 230:06 - 230:47	听说有人为了上分，做了一张图，以不同的地图名上传了100次，真的吗	(，,比心,这种)
 236:17 - 237:12	辛辛苦苦➕1笑死了	(1,复活,+)
 250:13 - 250:30	不打了	(立,图库,司马)
 253:43 - 253:44		()
 256:50 - 257:51	什1	(牛车,了,爷孙)
 260:35 - 262:02	一直1v1也就打一千局就8000了，对主播来说不是轻轻松松吗	(+,1,10)
 265:17 - 265:50	都7100了，登顶指日可待[妙]	(7100,4,+)
 267:29 - 269:47	把把公平图主播不就8000了吗	(，,了,煮)
 270:57 - 272:42	你找人少的时候专门玩1v1，打个1000场也能八千了啊	(知道,怎么,的)
 275:45 - 277:03	我感动了，主播借我好几块钱可以，但是买pro2没钱 呜呜呜	(主播,pro2,了)
