全场最高能：50:29	爱牛来了

其他高能：
 0:03 - 0:09	怎么还在多人啊	(玩,走马灯,桀)
 1:46 - 3:09	请帮帮我和输掉了怎么解释	(请,了,你)
 3:15 - 3:21		(我,你,肉)
 6:11 - 6:40	主播6500了吗	(💡,别,让)
 7:06 - 7:32	怎么不发 加油吧	(_,士,大戾)
 8:59 - 9:14	技不如人了这下	(技不如人,技,小蓝)
 9:26 - 9:46	显摆技术说是	(赢,冲刺,显摆)
 11:26 - 12:42	技不如人x6	(技不如人,你,因为)
 17:33 - 18:53	这个守门太牛了	(么,守门,这个)
 27:26 - 27:35	you win they lost kasang	(路易吉,绿色,lost)
 29:56 - 30:39	主播，你还是赶紧找爱牛来帮你上分儿吧	(开走,图,寒腿)
 32:27 - 33:20	撤回了一个mdml	(？,1up,唉)
 36:24 - 37:31	偷妈不认	(？,666,不认)
 39:08 - 39:52	so noble that i have to remember his id	(人留,on,id)
 40:14 - 40:17		()
 40:28 - 41:08	小粉怎么死的	(？,小粉,旅鼠)
 44:27 - 45:02	主播为什么不玩极难图，是被谁打压了吗[dog]	(抖,路易,被)
 45:15 - 45:26	没有视角是不是堵的又会重新刷新在原位了	(堵,可以,走马灯)
 47:03 - 47:10	破图	(破图,自重)
 47:14 - 47:51	早[大哭]	(],[,比心)
 47:57 - 48:16	马灯节限定	(掉,打,不)
 48:55 - 51:36	爱牛来了	(！,爱牛来,了)
 52:27 - 52:53	爱牛心里肯定强大	(~,ok,肯定)
 52:54 - 54:20	爱牛是一个人，拉黑迅速切号，几个号不重合	(斗地主,],[)




 54:45 - 55:16	孙子不拉黑爱牛，下把公平图必堵你	(有,那牛,好几个)
 58:08 - 58:39	小粉是isun	(？,isun,666)
 63:15 - 63:41	大戾士	(咒术,OH,节目)
 73:54 - 74:27	马里奥不是自己人锤他	(自己,不是,人)
 74:49 - 75:43	打工皇帝	(打工,咋,那)
 76:10 - 76:21	白白的胖胖呀够白吗	(白白的,呀,够)
 77:24 - 77:36	孙子造梗这么强为什么每天还要拼好饭	(还要,造梗,每天)
 79:23 - 80:27	因为你技不如人	(技不如人,赢,了)
 81:40 - 81:47	进不去抱头痛哭	(抱头痛哭,进不去)
 82:04 - 82:38	主播切割哔哩了	(比心,],[)
 83:17 - 83:34	电脑城几周年了[哇]	(灯底,年,几周)
 90:20 - 91:25	有几个一开始被你炸下去了	(下去,你,炸)
 92:14 - 93:13	满了把爱牛放出来，他有人脉帮你上分	(牛放,把,出来)
 93:33 - 93:40	有人磕爱牛白胖的cp吗	(哼哧,cp,牛白)
 93:48 - 95:06	那不是纯纯任天堂大满孝，一个人开家庭会员	(奔,家庭,会员)
 95:46 - 96:12	马灯已经原谅爱牛了	(天,365,原谅)
 96:15 - 97:29	你不出门上厕所啊[花]	(你,主播,吗)
 97:54 - 100:06	每天我问主播今天播吗他不是在吃饭就是在厕所或者是在厕所吃饭[花]	(在,厕所,主播)
 100:32 - 101:30	我发现每次卡都有个叫kazelink的人	(你,都,士)
 103:06 - 103:15	读图能力不如白胖	(跳上去,三段,开局)
 105:54 - 106:53	电脑城里都是卖电脑的	(电脑,的,教)
 107:15 - 110:09	主播看人准怎么还有热熔胶	(主播,，,的)
 111:23 - 111:57	主播这有个要找你吃全聚德的	(士,大戾,10)




 128:41 - 130:00	明天就去相亲了，是孙老师让我至今相信爱情	(哭,笑,爱情)
 130:28 - 130:49	到时候别找个每个月要你还花呗的	(好了吗,感冒,到时候)
 134:08 - 138:08	我自己的机器买的都数字版，送人的怕人不会下载就都是卡带，卡带好贵	(我,，,了)
 139:13 - 139:37	怎么主播的房管和主播一样眉笔	(主播,眉笔,房管)
 140:21 - 142:25	是不是以后都有多人看了[dog]	(了,],[)
 142:32 - 142:44	牛肝菌	(菌子,牛肝菌)
 143:02 - 144:12	卡比找到了	(卡比,了,找到)
 144:31 - 144:36	把队友都打退了	(都,队友,掉)
 149:51 - 150:26	下了吧，再不下我明天相亲要迟到了	(了,趁热,吧)
 155:06 - 155:56	不开牛车了吗	(7150,了,成功)
 156:24 - 157:13	主播流鼻涕	(牛车,流鼻涕,？)
 161:37 - 163:54	再卡点，你这太仁慈了[傲娇]	(不够,啊,卡)

