全场最高能：49:39	哇，灯顶

其他高能：
 2:43 - 3:24	人脉到位了吗	(呦,哈,到位)
 3:31 - 3:35		(我,，,200)
 6:19 - 7:32	饼早	(啊啊啊,早,比心)
 12:50 - 15:07	你要是再不执行契约我们就要开卖了	(？,存着,契约)
 15:57 - 18:16	技不如人x49	(成功,钓鱼,技不如人)
 18:33 - 18:48	老师好	(老师,好)
 21:37 - 22:19	主播你这里有没有8000块的电脑卖	(电脑,5w,这里)
 23:14 - 24:40	该换电脑了主播	(主播,？,说话)
 27:35 - 27:36		()
 28:04 - 29:34	非常成功	(成功,？,非常)
 30:29 - 31:42	四饼同志晚上好 直播间的水友晚上好	(晚上,好,希望)
 31:45 - 32:01	神饼晚上好[比心]	(比心,],[)
 34:42 - 34:57	不好意思，在洗澡[花]	(点错,洗澡,不好意思)
 36:17 - 37:48	等马里奥的可以退出直播间了，今晚块灯不了顶了	(呃,今晚,技不如人)
 41:34 - 42:38	都怪主播切割哔哩，害的我们在这卖电脑	(卖,电脑,，)
 45:14 - 45:29	一进来就看见杀猪盘	(盘,杀猪,看见)
 47:18 - 51:13	哇，灯顶	(灯顶,！,登顶)
 52:10 - 53:42	主播能借我2000吗，我给你上提督，我不仅打太鼓，还玩maimai	(，,我,心疼)
 53:52 - 54:04	孙孙啥时候玩喷喷	(嘬,说完,喷喷)
 55:09 - 57:54	孙100	(走马灯,你,次郎)
 60:50 - 62:28	雅阁了	(了,钥匙,赖)
 63:20 - 65:37	今天主包怎么受受的，你可不如从前了，当我没说	(么,技不如人,老板)
 68:57 - 69:23	技不如人x4	(技不如人,加油,吧)
 71:44 - 76:26	技不如人x2	(了,请,技不如人)




 77:30 - 78:16	還要打工	(漏,流鼻涕,一猛)
 86:18 - 88:33	这车不会害了我吧	(运气,哈哈哈,好)
 90:07 - 92:09	和尚想在峰顶修建一座雅阁，但是自己修不完，只能请了一个海南人和一个陕西人来帮忙	(和尚,雅阁,庙里)
 92:54 - 93:47	喂到嘴里了	(isun,喂,到)
 96:09 - 96:50	谁卖照片	(哈哈哈,士,大戾)
 98:37 - 99:47	主播玩蔚蓝就能登顶	(蔚蓝,，,主播)
 107:07 - 107:44	小粉开的	(开,的,？)
 108:18 - 108:29	还甜蜜互动[花]	(互动,甜蜜,花)
 109:02 - 109:59	主播我小学五年级，从小的梦想就是开一个自己的电脑店	(笑,孙,跟)
 110:55 - 114:00	卡比找到了	(50,-,了)
 114:37 - 115:22	板栗好可怜	(赞,],[)
 119:12 - 121:59	因为白胖比你厉害，所以赢的都是白胖[比心]	(赢,白胖,])
 122:38 - 125:17	10分	(数学,？,了)
 127:19 - 128:30	主播相关，说明我们走的还不够好	(⁄,哈哈哈,了)
 129:03 - 130:01	拄拐的赢了	(吼吼,？,的)
 133:16 - 133:45	任天堂服务器用的金河田电源，全都炸了	(炸,金河田,服务器)
 137:18 - 138:14	主播你的读图能力不如小蓝	(士,大戾,能力)
 145:01 - 146:48	主播被人欺骗感情，被好朋友骗钱热熔胶，被胖哥打压都没玉玉，学习一下主播的精神	(？,主播,，)
 149:19 - 149:56	你认错主播了	(･,target7000,主播)
 150:09 - 150:13	寻主播睡主播床上花花呗可以吗	(回来,北京,去)
 151:24 - 154:00	小蓝：ztmex	(了,，,主播)
 154:14 - 154:53	主播戾气太重，我看了主播播一晚上我也玉玉	(主播,了,，)




 164:15 - 164:50	还留吗	(留,吗,还)
 164:58 - 165:05	紅名沒有一個是無辜的	(晒,丧,精神分裂)
 165:52 - 167:54	这个游戏的主播	(？,主播,阳光)
 188:06 - 189:56	心态爆炸操作变形技不如人	(士,大戾,你)
 190:08 - 191:52	玩了你发的那个码，感觉主播会林智零	(士,大戾,，)
 192:19 - 195:46	卖电脑的赢了	(不如,电脑,技)
 208:32 - 209:13	RK6-6JT-2BG[比心]这张图不走灯主播看一下	(-,der,滴)
 209:24 - 209:27	破壁主播把你切割了	(破壁,切割,把)
 217:06 - 217:32	特别特别快按两下	(',特别,jbrr)
 233:11 - 233:35	胖哥俩肉蟹煲是胖哥开的吗	(煲,肉蟹,哥俩)
 234:33 - 236:04	半卡就是爱牛卡一个 全卡是爱牛卡两个	(冷,灯冷灯,！)
 236:18 - 238:15	过了	(拿下,了,过)
 239:07 - 240:40	4000+了	(4000,过,哈哈哈)
 240:54 - 241:59	要不算了吧，你去给作者刷个飞机，当你过了	(了,胖哥,刷个)
 242:14 - 249:53	卖电脑怎么你了	(了,电脑,卖)
 251:51 - 256:51	主播你这个月司马鱼上大师球了吗	(了,的,])
 274:32 - 275:13	好x18	(好,🗲,马灯)
 275:37 - 276:12	真追上来了你又不乐意了	(了,不乐意,追上来)
 276:27 - 277:56	这把提前灯顶了	(！,了,蒙)
 277:57 - 278:13	发明了美食爆料	(NB,吹,发明)
 285:34 - 287:04	谁说的一飞冲天	(哈哈哈,一飞冲天,？)
 291:42 - 294:05	电来⚡️	(️,⚡,？)
 294:20 - 297:50	提前666	(灯顶,！,])




 298:16 - 300:42	登底了 确实也是二连登	(是,哈哈哈,二连)
 303:49 - 304:27	那些领跑最爱的除了喇叭就是美食了	(美食,好,护食)
 307:42 - 309:14	你就该先看一眼的，然后最后一个道具再劈再换就行了	(？,好,了)
 316:12 - 318:28	卡比炸房了	(爱牛,了,走马灯)
 327:08 - 328:19	哇，灯顶	(？,灯顶,666)
 337:38 - 340:43	主播把我们白胖的运气都吸走了	(666,的,了)
 344:24 - 346:44	被打压了	(了,被,打压)
 354:44 - 355:34	这把总结就是捡了道具就冲上去挨打[摊手][dog]	(史进,LOSE,捡)
 355:43 - 355:55		()
 360:42 - 361:46	主播不是喜欢玩大猩猩吗	(喜欢,玩,可以)
 363:45 - 364:30	为啥后面的红壳能绕过孙子寻第一	(红龟,第一,的)
 364:37 - 364:50	好帅的漂移	(术主播,漂移,好帅)
 368:18 - 368:30		()
 370:43 - 371:33	那咋了	(不好,那,拿)
 381:30 - 382:10	那咋啦	(那,低人一等,咋啦)
 389:32 - 393:09	难怪人家能9500啊，技不如人	(了,松饼,来)

