全场最高能：252:13	爱孙来了

其他高能：
 1:34 - 3:00	孙孙晚上好	(],[,怎)
 4:10 - 4:14	找个玩喷喷的[花]	(喷喷,找个,玩)
 4:25 - 5:28	我ns玩的少啦，我想找玩手游和端游的[妙]	(想,玩,，)
 5:55 - 6:55	[比心][比心][比心]松饼我又来屏蔽你了	(比心,],[)
 7:32 - 8:27	饼饼晚上好[比心][比心][比心]	(比心,饼,])
 14:08 - 17:21	哇，登顶	(啊啊啊,！,比心)
 25:21 - 27:18	登顶 ×11	(！,灯顶,登顶)
 27:28 - 30:07	主播生日不是8月21号吗	(比心,],[)
 34:35 - 34:55	公平图来了	(图来,公平,LOSE)
 35:28 - 37:35	怎么放弃了 ，放弃的是卡比	(了,技不如人,放弃)
 37:42 - 38:02		()
 41:02 - 44:43	这下真技不如人了	(找个,班上,吧)
 52:13 - 54:49	那咋了	(士,大戾,了)
 58:39 - 61:38	不知道做什么了 打个boss吧	(哈哈哈,打工,领先)
 65:34 - 66:34	好人有好报	(好人,哈哈哈,不好)
 67:42 - 69:02	自己技不如人	(士,大戾,口技)
 69:24 - 69:37	蒙的	(666,蒙,的)
 70:11 - 71:29	低分主播是这样的没实力戾气还重[dog]	(不好,士,大戾)
 75:02 - 75:56	吼辣么大声干嘛啊宝贝	(该,哈哈哈,全)
 76:11 - 76:33	大力王	(HOW,666,🔝)
 86:53 - 89:54	你跟他抢一下  不就过了	(了,？,抢)
 91:35 - 94:02	说明技不如人	(说明,了,？)
 94:31 - 97:37	自作聪明哈哈	(哈哈哈,了,哈哈哈哈)
 97:57 - 98:56	主播能找点开心的游戏玩吗	(的,蒙,主播)
 99:57 - 102:18	马造你别给主播玩死了[委屈]	(主播,],[)




 103:07 - 104:48	你不也是日本人吗	(日本,抗日,是)
 106:17 - 106:38	流鼻涕之胜利	(狀態,別人,之)
 108:34 - 112:16	都怪你我被胖哥雅阁了	(了,胖哥,你)
 112:30 - 116:29	那咋了，胖哥是打响抗日最后一枪，主播请自重	(了,快进,，)
 116:37 - 118:25	老板都来了，主播快爆料	(送出,🚀,了)
 120:18 - 120:48	老板申请下未成年退款吧	(老板,吧,退款)
 121:07 - 121:40	主播切割哔哩了	(哔哩,了,主播)
 133:38 - 133:52	那咋了	(咋,看看,那)
 135:10 - 135:21	林爷爷这辈子吃的苦	(苦,林,这辈子)
 135:24 - 136:50	大主播不提前回个消息让人家想歪了	(可儿,一张,了)
 142:29 - 145:44	主播拉黑世界第一了吗，要是他晚上开播怎么办	(了,冷暴力,，)
 163:09 - 163:31	技不如人了	(HOW,哈哈哈哈,哈哈哈)
 164:54 - 167:12	大戾士开始了	(你,因为,英语老师)
 169:42 - 170:19	话说马造的红龟和绿龟有什么区别，我到现在还不知道	(马里奥,的,受惊)
 173:29 - 175:34	那咋了	(士,大戾,咋)
 175:44 - 177:57	你还能管粉丝头像了	(。,走马灯,你)
 179:58 - 180:04	走马灯	(走马灯)
 180:25 - 180:37	主播好坏	(。,走马灯,好坏)
 180:48 - 182:58	为什么马灯上分都是互相让肉的呢，，是不是你戾气太重了	(了,的,你)
 183:02 - 184:42	为什么灯哥上分都是别人主动让肉的呢，是不是你戾气太重，没有人脉	(了,咋,那)
 184:57 - 186:07	主播你要是不爆料我就卖电脑	(了,找到,电脑)
 190:35 - 190:54	那咋了	(那,咋,了)
 195:00 - 195:44	这路易死了	(这,了,])




 196:57 - 197:17	主播好坏	(。,哈哈哈,哈哈哈哈)
 197:30 - 197:39	有你啥事呢 小丑	(还,好,我)
