全场最高能：278:37	不许你给别人买啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊

其他高能：
 2:50 - 4:28	上了就走马灯	(],[,比心)
 4:29 - 5:11	饼饼早[哇]	(饼,呢,方块)
 9:50 - 10:51	主播你有没有帮水友上分的活动	(主播,？,怎么)
 12:10 - 14:06	我一般都是半夜醒了看（不过大概率醒不了	(走马灯,醒,加)
 16:17 - 16:24	因为我不善	(不善,因为,我)
 17:31 - 20:26	up什么时候走马灯	(啊啊啊,早,走马灯)
 21:40 - 26:22	主播天眼好了	(了,？,去)
 38:47 - 38:54		()
 42:58 - 45:47	马里奥失误了一个点，本来比你快一点	(进门,比心,马里奥)
 49:23 - 49:49	力气逐渐变大	(auztmex,抓猫,随机)
 51:17 - 53:18	我技不如人	(？,局,父子)
 53:31 - 53:37	拄拐的赢了	(拐,拄,赢)
 57:03 - 58:04	音符怎么钻过去的	(钻过去,音符,卡)
 60:29 - 62:29	6000慢点怎么了，又没牛给她堵	(target6000,6000,请)
 63:31 - 66:15	你不是自己人	(士,大戾,])
 66:30 - 66:32	还花呗	(还花,呗,可以)
 66:51 - 67:44	fayday fay~fay~嘿嘿	(嘿嘿,fay,~)
 71:42 - 72:52	雅阁了	(雅阁,呗,好人)
 74:11 - 75:40	纪晓岚啊	(马里奥,?,纪晓岚)
 77:03 - 77:53	开吧	(开,吧,启动)
 78:09 - 78:45	主播怎么3打1也不如白胖啊	(也,啊,孙孙快)
 79:47 - 81:23	主播能拉黑一下这个马里奥吗，他恶心我了	(走马灯,马里奥,是)
 90:14 - 91:19	我是妹妹	(妹妹,是,男)
 95:33 - 97:31	沒有isun輸得一塌糊塗	(？,么,的)




 97:44 - 98:09	半小时白玩	(白玩,分真难,升)
 98:12 - 98:34	么么	(？,么,》)
 99:41 - 100:12	白早过	(什么,不會害,這車)
 101:36 - 102:40	不等	(等,不,叫)
 102:46 - 103:48	那咋了	(很多,了,金河田)
 105:40 - 107:23	-30x13	(30,-,胖哥)
 107:43 - 108:12	古法银币	(法,古,滑稽)
 110:19 - 112:51	确实流鼻涕	(不好,哈哈哈,了)
 117:25 - 121:12	主播自己运气不好不能不让别人运气好啊[dog]	(？,大乱斗,了)
 124:21 - 125:13	主播，请问我是流鼻涕玩家吗	(？,高玩,魔丸)
 127:16 - 128:00	主播，你也是高玩[牛]	(主播,玩,打晕)
 129:56 - 130:12	几天没见分这么高了	(分,不太像,麦克风)
 131:40 - 132:33	蓝色流星	(？,?,瑕疵)
 135:18 - 136:09	7200 开	(7200,女主播,不要)
 138:34 - 138:41		(666)
 138:54 - 139:06	今天游戏理解怎么这么高	(儿,可能,高)
 143:17 - 144:23	[dog]技不如人	(技不如人,大笑,坐)
 145:20 - 147:36	主播要去给胖哥过生日了吗	(？,了,去)
 149:35 - 150:57	loser赢了	(哈哈哈,loser,哈哈)
 152:24 - 153:19	流鼻涕的赢了	(流鼻涕,的,赢)
 153:45 - 154:39	社保是吧	(大笑,],[)
 161:17 - 162:59	请自重	(走马灯,自重,自己)
 164:19 - 164:35	7100睡觉	(！,睡觉,哇)
 172:57 - 173:07		(教书,北大,不当)
 173:19 - 173:27	合影不亏	(合影,流星,一条)
 179:18 - 179:30	每天都遇到的还来抢肉	(都,每天,最近)




 180:10 - 181:10	技不如韩国人	(不如,技,金河田)
 186:52 - 187:09	蒙的	(蒙,的,开)
 190:16 - 191:37	别走啊[大哭]	(大哭,],[)
 192:16 - 194:10	这下真技不如人了	(技术,技不如人,哈哈哈)
 195:34 - 196:27	不是自己人，顶他	(顶,她,走马灯)
 197:41 - 199:19	胖胖的毛毛虫	(哈哈哈,士,大戾)
 200:36 - 201:35	热就找风寻	(风寻,舰长,就)
 207:49 - 208:22	平假就留了	(士,大戾,mdml)
 208:36 - 208:37		()
 213:02 - 213:22	这图死不起，直接洒汤，真拖平局了	(图,洒,不起)
 214:22 - 214:25		()
 223:11 - 223:16		(进林克,时间,了)
 224:54 - 225:10	运气也是技术的一部分	(一部分,运气,技术)
 229:16 - 232:51	技不如人了	(技不如人,了,⚡)
 235:22 - 235:40	这人牛逼啊	(jbrr,三,这人)
 235:44 - 235:47	大家觉得超级小桀怎么样	(两次,怎么样,小桀)
 236:44 - 237:24	这车不会害了我吧	(了,不会,吧)
 237:39 - 239:25	两头爱孙把别人堵着	(cs,？,等)
 241:04 - 245:47	真技不如人	(了,技不如人,你)
 256:44 - 256:50	不举	(技高一筹,举,HOW)
 259:18 - 261:46	之前没看胖哥，看了才会你只能看着你胖哥赢加纳	(赢,胖哥,读图)
 264:46 - 264:50		()
 265:37 - 265:42		()
 266:32 - 267:23	好x4	(氧气瓶,好,！)
 267:42 - 268:49	主播被攥出尿了	(攥,了,出)
 270:37 - 271:38	就喜欢这种图，给个孬	(喜欢,图,嘲讽)




 271:42 - 271:47	胡言乱语	(鱼海,胡言乱语,为什么)
 274:31 - 274:50	蒙的x7	(路易,的,蒙)
 275:07 - 275:22	带节奏是个梗	(节奏,纯良,梗)
 276:05 - 277:24	+1x2	(+,1,士)
 277:42 - 279:41	不许你给别人买啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,𒀱,啊)
 282:34 - 284:44	主播主播我是新来的，卖电脑是什么呀	(卖,切割,电脑)
 287:24 - 288:59	主播疯了	(士,大戾,了)
 289:07 - 289:30	给一奔奔，给一库巴，我真tm草了	(玩,杀,，)
 291:36 - 292:27	我是女的	(是,女,我)
 302:07 - 303:11	我开的，主播等会-50了	(奔,主播,了)
 303:37 - 304:23	那咋了	(咋,那,了)
 313:26 - 314:53	嘲讽b有骨气不喝汤	(？,了,喝)
 316:39 - 316:48	应该没有	(7199,target7199,失败)
 317:18 - 318:26	你能给我讲讲你是怎么带着飞机头似的吗	(讲讲,哈哈哈,知道)
 318:57 - 319:02	ztmex	(哈哈哈哈,咋,ztmex)
 327:21 - 327:58	老板大气	(么,老板,比心)
 329:11 - 329:49	主播今年还能看到你吗	(啊啊啊,一天,猪播)
 349:54 - 350:16	这种不杀第一的图太棒了[摊手][傲娇][dog]	(士,大戾,厉害)
 350:45 - 351:01	主播今天有牛车环节吗	(你,不用,环节)
 352:37 - 353:30	说不定人家KR也是被你恶心到了才抢的肉	(哇,不留,比)
 359:04 - 360:31	说明你要回去了	(坤,说明,了)
 361:50 - 363:21	最后吗	(😅,],[)
 363:55 - 365:27	+4-10	(不会,吧,-)




 368:17 - 370:16	我刚来就加纳了[委屈]	(加纳,],[)

