全场最高能：353:54	晚点吃蘑菇就好了

其他高能：
 1:27 - 5:05	早啊啊啊啊	(啊啊啊,],[)
 13:40 - 14:51	主播被从雅阁放出来了吗	(了,比心,])
 15:09 - 15:18	老师好	(老师,好)
 23:21 - 23:43	哇，登顶	(！,💡,顶)
 24:16 - 25:21	主播献身去了	(主播,了,走马灯)
 27:04 - 28:25	主bo洋次郎回归了，快和他甜蜜双排[爱]	(牛哇,x8000,懒懒)
 31:10 - 31:31	我rm说妙不可言	(妙不可言,rm,娃)
 31:56 - 32:04	这里是林克直播间吗	(）,（,讨论)
 32:31 - 32:38	送奶油泡芙去了	(芙,泡,奶油)
 33:56 - 41:41	连续灯顶	(灯顶,走马灯,了)
 43:35 - 44:43	技不如人x15	(人性,图,技不如人)
 47:09 - 48:37	什么哈尔滨 主播不是去广西了吗	(走马灯,了,孙子)
 51:31 - 52:36	他想等你死了 吃肉	(？,么,鱼)
 54:08 - 56:10	技不如人x8	(士,大戾,好)
 58:16 - 59:36	你认错主播了主播分币没赚还被认错多伤心啊	(赚,分币,自重)
 59:44 - 60:14	洋次郎快来狙击	(赢过,图里,这张)
 62:04 - 63:13	打的一手好工	(哈哈哈,了,哈哈哈哈)
 67:54 - 67:56		()
 75:22 - 76:04	建议之后加点表情包[花]	(睡觉,分,的)
 76:13 - 77:25	技不如人 戾气太重	(技不如人,士,气)
 78:59 - 80:19	技技不如人	(哈哈哈,哈哈哈哈,聪明)
 88:11 - 89:26	技不如人x5	(技不如人,士,大戾)
 93:23 - 94:21	技技不如人	(⁄,技不如人,白送)
 97:08 - 98:33	你开了	(卡,开,你)
 100:28 - 101:23	这孙子叫我哥，辈分不乱了吗	(哈哈哈,吧,九折)




 102:44 - 104:41	合影不亏	(三缺,不了,孙)
 112:54 - 113:22	sc:开了就赢不了，主播好菜	(不了,开,赢)
 120:51 - 121:01		()
 125:51 - 126:09	你没卡砖头那一下就畅通无阻了	(畅通无阻,砖头,没卡)
 126:46 - 126:59	不如6000	(6000,不如,孬)
 127:58 - 130:44	对的，主播给胖哥送蛋糕了	(了,主播,库巴)
 135:26 - 136:28	哈哈哈哈准	(哈哈哈,通畅,大笑)
 139:22 - 141:02	我是这样的，不知道为什么	(？,了,的)
 141:31 - 143:22	人家给你顶的	(你,不,了)
 146:27 - 146:53	为啥阿b和抖都在发言	(吗,绝经,盗汗)
 152:40 - 153:27	好久没看，又开始玩多人了吗	(一起,？,流鼻涕)
 153:31 - 153:40	刹车不会刹	(啄,菜鸡互,刹)
 153:50 - 154:01	走马灯	(走马灯)
 154:59 - 155:12	找个班上吧	(技不如人,白给,班上)
 160:07 - 160:31	这种图真该全扬了	(蒙,不说,全扬)
 160:47 - 161:11	也就赢赢运气图了	(运气,你,赢)
 166:06 - 166:41	双标[dog]	(双标,必赢,马里奥)
 166:50 - 167:25	一开始你不是慢了吗	(开始,一,不是)
 173:21 - 175:14	这车不会害了你吧	(？,车,！)
 177:02 - 178:20	马车吧，起码马车你还能多玩会，这个你技术比不过，运气也不行	(ztmex,，,])
 180:22 - 180:42	走马灯	(走马灯,自重)
 181:10 - 182:17	请自重	(士,大戾,气)
 182:22 - 182:26	对抗不如锤头鲨	(鲨,锤头,对抗)
 184:09 - 184:32	好图	(大笑,],[)
 184:34 - 185:11	路易：他还得谢谢我	(状态,谢谢,不吃)




 190:39 - 191:38	破案了，主播才是牛，怪不得爱牛ip属地在北京	(走马灯,，,是)
 194:18 - 194:24		()
 194:32 - 194:54	孙子隔天上看	(作者,请,公平)
 198:47 - 199:55	卡比赢了	(士,大戾,ztmex)
 200:24 - 202:22	好图	(大戾,士,大笑)
 204:40 - 205:05	主播又要纪晓岚了	(∠,走马灯,＿)
 205:24 - 205:30	爱孙一般的	(一般,爱孙,走马灯)
 209:52 - 211:50	那咋了	(了,老鼠,咋)
 212:31 - 212:54	气球拉戾赛	(气球,拉戾,赛)
 221:11 - 222:02	好快的磕头	(磕头,新人,是)
 224:31 - 225:17	你是怎么办到的	(该,的,6)
 231:23 - 231:45	最右边	(右边,蒙,中)
 231:55 - 233:15	说明牛车开的太晚了得早点开	(蒙,的,了)
 237:42 - 237:53		()
 239:09 - 239:39	isun大气	(isun,好人,同行)
 241:11 - 243:14	那做的人卖给谁，游客吗	(],[,啊啊啊)
 246:25 - 246:31	主播你把它放了吧，让它帮你卡别人	(它,后门,502)
 248:17 - 250:29	这点够主播吃一顿的吗	(傻子,不如,大笑)
 251:24 - 252:27	老鼠的繁殖速度很强，你看到一个基本上家里已经有一窝了	(一窝,杰瑞,，)
 254:00 - 256:18	那主播你能把它雅阁了吗	(它,紫蝴蝶,你)
 274:45 - 276:31	主播能不能上一个八千[花]	(走马灯,吗,])
 276:43 - 276:51	主播你都打半个月了 怎么还在7200	(半个,食人花,证)
