全场最高能：63:54	害人精啊

其他高能：
 1:36 - 2:04	早上好[比心][比心][比心]	(早上好,比心,])
 4:12 - 4:33	爱您啾咪	(咪,啾,您)
 4:57 - 5:01		(by,standing,is)
 7:23 - 8:18	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,早)
 10:22 - 12:15	哇，灯顶	(灯顶,走马灯,!)
 14:39 - 15:18	次郎提出了双排请求	(提出,请求,双排)
 17:42 - 20:21	我一般都在舰长群交流[花]	(奔,早上好,比心)
 23:04 - 25:12	胖奔奔的时候还不是想搞黄忠 从白奔奔出世就是忠哥了	(奔,了,面试)
 28:52 - 30:43	技不如人 ×33	(技不如人,LOSE,?)
 30:58 - 31:10		()
 34:49 - 35:48	去完成白胖大人给他的任务 好得到多人许可证	(胖哥,给,去)
 39:24 - 42:00	哇，灯顶	(灯顶,666,！)
 44:22 - 48:03	主播你是卖电脑的那个垫垫脚吗	(？,走马灯,听不见)
 48:24 - 48:58	啊 似的是你啊	(ztmex,啊,冲过去)
 49:08 - 49:09		(骂骂咧咧,一打,刚刚)
 49:26 - 49:37	ZTM菜	(破烂,ZTM,厂)
 49:39 - 49:50		()
 53:46 - 55:39	主播前几天去续费多人许可证了	(去,了,主播)
 56:41 - 56:49	烂分也吃	(烂分,吃,也)
 57:17 - 59:19	狙到了	(了,狙到,技不如人)
 60:18 - 60:21		()
 60:32 - 60:53	高手不需要中间棋	(技不如人,棋,中间)
 63:09 - 66:13	害人精啊	(？,哈哈哈,了)
 73:52 - 74:15	这就是你要的7000吗	(？,666,紫蝴蝶)
 79:32 - 79:44	主播别拉黑我，我是人脉，我帮你上分	(我,人脉,，)




 80:25 - 81:04	爱牛和fengxun	(走马灯,之主,影流)
 82:37 - 84:01	这下真的技不如人了	(聪明,哈哈哈,技)
 87:59 - 88:23	名字里有白的赢了	(名字,白白的,鸭)
 90:15 - 90:36	大聪明又来吃主播的分了	(聪明,大,又)
 90:46 - 91:30	小粉好垫	(不好,）,（)
 92:12 - 95:12	不是你的问题 破b主播好几天没开播	(了,，,睡觉)
 103:09 - 103:55	我只给主播打[花]	(花,我,])
 104:04 - 104:36	下次去找你当面点	(大哭,],[)
 104:58 - 105:54	凭人家拿了状态你不拿	(凭,你,挤)
 108:23 - 109:10	路易气死了	(比,了,坏)
 110:02 - 111:18	当你没看见第四根管子时 你就应该钻第三根管子了	(zdsm,士,大戾)
 111:23 - 112:28	这是真技不如人	(技不如人,哈哈哈,了)
 112:36 - 112:57	白名教你技术	(你,群是,名教)
 113:43 - 114:36	好送	(技不如人,м,哈哈哈)
 116:27 - 118:30	提前技不如人	(技不如人,白送,了)
 120:38 - 121:06	能不能不逗我笑	(技不如人,笑,jbrr)
 129:47 - 130:04	运气图运气图输 公平图公平图输	(图输,运气,公平)
 136:34 - 136:47	你要干啥[花]	(干,啥,要)
 139:34 - 139:57	9z	(時候,9z,什麼)
 141:40 - 141:57	放弃也加分吗	(加分,放弃,掉)
 143:56 - 146:08	是不是技不如人	(了,哈哈哈哈,你)
 153:01 - 154:48	蓝色流星	(士,大戾,了)
 158:37 - 158:44	不是有钥匙吗	(钥匙,喝汤,不是)
 161:31 - 162:30	这世界上多的是卡而不自知的人	(卡,他,ztmex)




 165:32 - 166:19	这回是真的	(",￣,？)
 169:29 - 170:22	雅阁了	(出去,试一下,逆天图)
 170:41 - 170:44	上面好像有锤子吧	(锤子,上面,好像)
 172:44 - 173:01	怎么玩多人了	(玩多人,自重,怎么)
 175:54 - 176:36	这马里奥	(马里奥,这,你)
 177:20 - 177:33	太有生活了	(生活,太有,走马灯)
 178:49 - 180:31	cq是重庆吗[dog]	(打工,cq,鲁迅)
 180:38 - 185:07	技不如人脉	(我,卡比,放)
 188:35 - 190:32	你是怎么办到的	(？,的,HOW)
 190:41 - 193:14	就不能是人家有库操作你吗	(技不如人,哈哈哈,比心)
 194:16 - 195:24	卖电脑赢了	(电脑,哈哈哈,卖)
 206:22 - 209:24	主播你能把我从黑名单里放出来吗[哇]	(走马灯,把,能)
 214:19 - 217:22	主播你能把我从黑名单里放出来吗	(你,],[)
 224:21 - 224:50	主播你可以把我放出来吗我帮你卡他	(我,吗,主播)
 227:07 - 227:47	让你跳下来了吗	(2,-,没)
 253:24 - 253:32	沉迷杀板栗了	(板栗,沉迷,杀)
 256:11 - 256:23	天天跟这几个人玩怎么上的了8000	(几个,天天,跟)
 256:33 - 257:05	水管兄弟大胜利	(三个,胜利,兄弟)
 257:33 - 259:16	反着1-1让你上不去就知道了	(么,反着,1)
 260:02 - 260:06		()
 260:53 - 261:44	遇上董小姐了	(小姐,董,了)
 261:54 - 262:23	合影不亏	(k,开头,不亏)
 263:33 - 264:09	经典老图	(把,排到,万张)
 264:17 - 264:49	孙桑，家乡的樱花开了	(家乡话,孙桑,了)




 264:56 - 265:21	其实快不了多少	(a,不慢,很快)
 267:55 - 268:35	小蓝没吃旗子	(胡言乱语,哇哈,旗子)
 274:06 - 274:22	打一百个	(为止,打到,一百个)
 275:57 - 276:01		()
 276:15 - 276:21		()
 276:54 - 278:23	狗运	(？,假仁假义,了)
 280:23 - 281:16	流鼻涕的赢了	(了,麦麦,拄着)
 281:52 - 282:49	举不如人	(孙不举,举,哈哈哈)
 292:24 - 296:34	蓝龟来了	(了,隔壁,蓝龟)
 296:45 - 296:48		()
 299:40 - 303:11	还有蓝龟	(了,胖哥,])
 304:54 - 306:20	请自重	(8,闪电,自重)
 306:30 - 306:35	雷公电母	(电母,雷公,电来)
 307:17 - 308:23	这个好像是误区吧，现在金币非线性的	(了,马灯,是)
 308:29 - 308:43	那八千枚呢	(3%,7,枚)
 309:15 - 310:10	好好好	(来,了,道具)
 312:19 - 312:50	好炸	(好,第四,好炸)
 323:29 - 323:45		()
 324:51 - 325:07	给个第一名应得的蓝龟	(应得,target8000,第一名)
 325:20 - 326:28	大猩猩吃香蕉不是很纱布吗	(大猩猩,吃,香蕉)
 327:16 - 328:14	感觉孙孙是那种剧情游戏连着玩几十个小时然后再也不碰的类型	(好,阶段,豪言壮语)
 328:36 - 328:50	塞尔达怎么办	(塞尔达,怎么办)
 329:28 - 329:39	等不到胖哥	(好,不到,等)
 333:09 - 335:15	日墙的赢了	(赢,了,的)
 336:18 - 337:10	爱牛睡觉了	(草地,有些,爱牛)
 344:08 - 346:34	这次没人撞你，纯技不如人	(编辑器,],[)




 353:13 - 354:46	我的小腹好酸好痛[大哭]	(？,],[)
 354:59 - 355:39	先好好躺着	(疼去,百,躺)
 355:52 - 356:05	[大哭][大哭][大哭]	(大哭,],[)
 358:35 - 359:19	did是人格分裂的一种	(人格分裂,一种,请求)
 360:50 - 362:35	这就是刷道具的惩罚	(！,刷,该)
 362:41 - 363:05	那咋了	(绕远,美食,一点)
 363:25 - 365:14	其实是有不会被偷走的道具的，喇叭火箭胖哥回旋镖[花]	(的,不会,被)
 365:26 - 366:12	乐[花]	(过不去,墙,跟)
 366:38 - 367:21	炮藏好了	(炮藏,不让,欺负)
 368:06 - 368:59	你跑那么快能电到谁	(？,你,电到)
 369:19 - 369:47	场上有没劈掉的闪电的话还会有人刷出闪电么	(闪电,刷出,还会)
 373:48 - 374:04	来个红龟赢了	(公式,✓,⭕)
 374:21 - 374:34		(名,20,差点)
 374:50 - 375:02		()
 375:11 - 376:41	爱牛行为	(了,骗,离异)
 376:54 - 377:04		()
 383:43 - 385:21	策略变了	(灯顶,！,？)
 385:27 - 386:27	真的假的[妙]	(妙,说,不)
 387:28 - 388:10	路上吃金币有什么用	(金币,吃,路上)
 398:50 - 399:28	又开始故意了[花]	(哈哈哈,怕,故意)
 400:47 - 403:03	好菜，看的好爽	(好,过境,蝗虫)

