全场最高能：201:51	只有主播能走马灯

其他高能：
 3:12 - 3:26	好早	(开播,孙怎早,啦)
 4:03 - 6:28	卡比的美食节	(啊啊啊,卡比,早)
 16:43 - 19:30	这是什么马里奥[花]	(],[,马里奥)
 19:53 - 19:55		()
 21:44 - 33:40	一年多不应该啊，买电脑是23年的了	(],[,，)
 33:51 - 34:10	孙怎早	(会员制,没错,捂脸)
 37:57 - 39:12	有没有可能是主播不耻上问去找白胖学习了读图能力	(？,比心,])
 42:40 - 43:01	crt抱上孩子了吗	(抱上,孩子,crt)
 54:24 - 57:12	你不也target7000了吗	(主播,了,])
 57:36 - 57:48	马里奥不吃嗟来之食	(嗟来之食,不吃,马里奥)
 59:07 - 59:59	读图能力这么强，你要上8000呀	(？,蒙,HOW)
 60:59 - 61:58	有题库	(题库,有,不如)
 62:44 - 62:50	7000开总督	(总督,开,7000)
 63:00 - 63:05		(好)
 63:16 - 64:38	已经结束了[花]	(结束,姓,了)
 65:13 - 65:18	怎么6975了[傲娇]	(6975,傲娇,怎么)
 65:28 - 65:42	Target6000	(真实,Target6000,水平)
 71:03 - 73:47	主播是洋次郎的爱牛	(次郎,是,主播)
 78:25 - 79:53	好图	(死,都,相当于)
 82:17 - 82:45	主播主播 你没玩过老任的哪些游戏	(主播,7000,最先)
 84:10 - 86:18	ztmex，蒙的	(pjbsb,不如,技)
 86:52 - 88:21	总感觉胖哥公平图没有他的🐮强	(胖哥,强,，)
 97:41 - 99:59	哈气了	(大戾,士,了)
 104:23 - 105:03	爱孙立功	(7000,了,嘴里)




 107:21 - 107:38	现在主播和灯哥都在播马造我应该看哪个	(播马造,主播,终于)
 109:18 - 110:28	卖水果不如卖电脑	(水果,卖,？)
 111:16 - 113:02	日本人再牛赢不了胖哥	(胖哥,了,为什么)
 123:47 - 124:59	他是isun	(比心,],[)
 126:24 - 127:16	谢谢老板的马灯	(亲亲,],[)
 130:21 - 132:21	7000登顶	(！,灯顶,马里奥)
 134:35 - 134:49	技不如人	(小缝,哈哈哈,技不如人)
 135:03 - 135:14	还是技不如人	(无敌,技不如人,不)
 135:33 - 137:37	纪晓岚了	(走马灯,哈哈哈,了)
 139:37 - 139:49	走马灯	(走马灯)
 140:05 - 140:08	因为马里奥被搞黄了	(马里奥,幸终,二人)
 140:13 - 140:16	双排	(走马灯,非法,组队)
 141:52 - 145:49	主播直播封面太阴暗了 能不能换个阳光的，孩子没成年见不得阴暗的	(走马灯,的,是)
 146:06 - 146:31	和ddj一桌了	(垫,6999,好)
 152:04 - 153:59	路易都帮你纪晓岚了	(卡,他,路易)
 157:41 - 158:46	#link力挺ddj	(LOSE,合影,老)
 162:42 - 163:09	自己没跳好，怪杀第一	(大戾,士,杀)
 172:12 - 173:17	激情双排	(巨大,世界,的)
 176:00 - 179:37	那咋了	(咋,了,那)
 192:43 - 203:09	只有主播能走马灯	(哈哈哈,了,好)
 209:23 - 210:08	一概没汤	(哈哈哈,好图,打工)
 214:28 - 215:10	主播看人准为什么会有热熔胶	(看人准,热熔胶,准在)
 217:00 - 217:56	懂了，白白的是好人	(发白,白白的,是)
 218:45 - 219:34	蒙的	(？,蒙,笑)




 226:49 - 226:57	这图值得一个赞	(值得,赞,这图)
 229:32 - 230:49	多人最忌讳进管子	(管子,哈哈哈,进)
 232:14 - 233:24	是 麦麦，那没事了	(技,不如,不用)
 235:03 - 236:21	好图	(？,大戾,士)
 242:18 - 242:49	重开一把	(加油,吧,技不如人)
 244:54 - 246:09	主播是挺白白胖胖的	(是,白胖,牛)
 246:50 - 247:57	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(￣,游泳,dlc)
 249:46 - 250:17	maimai是日本人	(∠,日本,人该)
 253:26 - 253:42	会不会被马里奥吃了吐死的	(吐,人留,成功)
 259:57 - 261:07	没赢的是日本人	(没赢,的,是)
 263:34 - 264:20	喜欢主播的可以走马灯支持一下哦，开牛车可进雅阁喵[比心]	(],[,那)
 266:51 - 267:36	牛車吧，今天7000是上不去了	(不,啊,流点)
 268:27 - 269:03	想让汤，结果把肉撒了	(总督,开,7000)
 270:24 - 272:20	因为你是打工皇帝	(大戾,士,因为)
 273:00 - 273:45	泄戾了	(！,走马灯,牛車)
 275:13 - 275:46	吃了可以换bgm	(雪球,bgm,猜)
 278:34 - 278:54	这图做这么多乱七八糟的东西干什么	(碎片,找红,阳间)
 283:25 - 284:00	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(甚至,种,那白)
 284:42 - 286:20	你要觉得不加分 你可以不玩 反正我玩	(，,你,我)
