全场最高能：33:12	那你-30

其他高能：
 1:15 - 2:30	主播打PK吗，我马上给你找嘉宾[傲娇]	(PK,晚上,主播)
 10:23 - 14:37	那可以去了解走马灯了	(，,不,看)
 18:38 - 22:01	这么快灯顶	(灯顶,⁄,🤮)
 22:49 - 24:27	又洗澡了	(了,洗澡,dog)
 27:25 - 28:25	天通苑那边我感觉还挺繁华的	(哈哈哈,？,哈哈哈哈)
 31:39 - 34:28	那你-30	(嘬,你,了)
 34:47 - 36:58	打退了	(了,比心,放弃)
 37:06 - 37:39	我看了那么久，我怎么不知道啊	(跑酷,我,，)
 37:57 - 37:59	被胖哥封路了	(又,眼熟,封路)
 38:12 - 38:27	被白胖堵了	(白胖,被,走马灯)
 46:22 - 46:44	老板糊涂	(走马灯,，,分会)
 49:05 - 49:29	准大一，买电脑应该找谁，求推荐	(哈哈哈哈,，,推荐)
 50:11 - 50:15		(流鼻涕)
 50:53 - 52:00	流鼻涕的输了	(？,流鼻涕,龟)
 54:57 - 55:30	主播怎么不说话了	(说话,真的,主播)
 56:12 - 57:28	楼梯战神	(楼梯,666,HOW)
 58:34 - 58:58	买个高配电脑就能看到了	(走马灯,？,高配)
 59:05 - 59:33	人脉	(自重,py,终点)
 59:38 - 59:48		(走马灯)
 65:56 - 66:02	真出生	(真,变戾,有主播)
 73:08 - 74:02	拄拐的赢了	(∠,饼,拐)
 76:28 - 76:40	pange终于原谅主播了	(pange,原谅,终于)
 76:59 - 78:08	卡比找到了	(卡比,了,和解)
 78:21 - 78:34	这不是顿卡	(顿卡,显示,刚才)
 81:13 - 82:54	小蓝是渣男，睡醒就不认人了	(走马灯,了,留)
 83:19 - 84:52	藏了	(技不如人,藏,管子)




 86:04 - 88:13	准啊	(？,准,了)
 88:42 - 89:57	小粉是isun，路易是iniu	(？,爱孙,小粉)
 90:04 - 90:08	你想刚他	(刚,想,他)
 91:56 - 92:23	全是胖胖的海南人	(胖胖的,全是,海南)
 98:50 - 99:05	主播变成心理老师了	(心理,分析,侦探)
 99:20 - 102:13	你能明白流鼻涕的想法，说明你也快流鼻涕了	(你,了,阴兵)
 105:46 - 106:09	不是三台吗	(重样,不带,理由)
 106:54 - 108:40	主播主播，可以给我们的电脑免费升级成量子计算机吗	(士,大戾,计算机)
 111:04 - 112:47	为什么地鼠是海南人	(海南,人,是)
 113:42 - 115:15	那咋了	(？,了,猫)
 121:17 - 121:43	你说的致命是致谁的命	(的,是,命)
 121:58 - 122:10	白雪歌送武判官归京	(狙到,归京,判官)
 122:52 - 123:42	我是程序员 我日常写垃圾 我觉得ai很好用	(我,是,日常)
 125:43 - 126:24	7000分合影	(！,合影,target7000)
 129:56 - 131:59	都卡没啥人家赢了，多想想自己的原因[dog]	(拉黑,主播,斤)
 135:49 - 137:29	再打下去就和卖电脑的一个分了	(我,出来,，)
 140:35 - 141:27	isun不演了	(？,isun,坏)
 142:10 - 143:16	不如大聪明	(聪明,大,不如)
 154:26 - 154:40	别骂我大聪明了	(走马灯,别骂,聪明)
 159:14 - 159:40	先进大肠，主播看来是屎到临头了	(？,好,大肠)
 161:35 - 161:51	谁耗谁啊	(谁,技不如人,耗)
 164:10 - 165:54	主播这就是你想要的7000吗	(？,第一圈,流鼻涕)
 167:28 - 168:00	8000睡觉	(爱不释手,比心,开)




 168:06 - 169:05	啊😦下7000了[吓]昨天都还7000多吧	(读图,能力,7000)
 173:48 - 174:48	电脑怪杰直播间啊	(HOW,nb,电脑)
 177:27 - 180:05	还不错，打工了，老板还给口汤喝	(谢谢,还,了)
 181:36 - 182:45	拄拐的赢了	(流鼻涕,的,竞技)
 183:16 - 183:23	锅是路易吉的	(路易吉,锅,是)
 183:44 - 183:46		()
 184:33 - 184:40	风寻了	(风寻,了)
 184:47 - 185:59	技不如人，人家8000分比你分高不是没有原因的	(技不如人,了,急)
 187:30 - 190:02	证明技不如人	(技不如人,，,这)
 190:07 - 192:33	因为主播技不如人，人家7100比你分高不是没原因的，主播急了	(技不如人,了,，)
 202:05 - 203:32	哈欠了	(了,去,的)
 207:02 - 207:56	马里奥进去要么有分，要么平局，真恶心	(要么,马里奥,，)
 208:01 - 208:06		(后面,不了,这图)
 213:08 - 215:24	主播仇人这么多 一把排四个得排几把	(走马灯,仇人,主播)
 219:47 - 220:42	小粉一堵，0失误也不行	(卡塔,9,失误)
 221:56 - 225:57	看技术的去看小杰，这里是娱乐主播	(主播,，,技术)
 226:12 - 226:31	不是7800吗	(望洋兴叹,7800,不是)
 228:44 - 230:20	主播我id是DY_XiaoJie，你可以把我放出来吗我会卡除你之外分最高的人	(我,看,的)
 230:50 - 230:53		()
 232:11 - 232:18	倒闭了	(倒闭,了)
 242:02 - 242:25	牛车呢	(热,巨灵,盐石)
 243:37 - 243:43	懂了，这小女孩白白胖胖的	(小女孩,白白胖胖,懂)
 243:57 - 243:59		()




 252:59 - 253:43	运气不错	(花钱买,分没变,两天)
 259:48 - 260:47	真给你啊	(破图,7100,你)
 262:52 - 264:29	技不如5000	(-,合影,10)
 271:54 - 272:41	好一个250	(250,一块儿,准时)
 273:25 - 275:00	反射神经不行啊主播[dog]	(神经,反射,不行)
 277:34 - 278:32	再打6天8000了	(8000,天,再)
 279:55 - 280:02	刚好4点	(4,刚好,点)
 280:57 - 282:43	7200睡觉	(666,等到,了)

