全场最高能：170:40	笑了

其他高能：
 2:47 - 6:10	早捏[比心]	(啊啊啊,比心,])
 7:38 - 7:45		()
 13:27 - 14:46	哇，灯顶	(技不如人,LOSE,4w)
 17:13 - 18:32	你这一换皮肤就开始蜂窝煤了	(方块,技不如人,死)
 19:57 - 20:11		()
 27:11 - 28:44	早上好[比心]	(比心,],[)
 31:11 - 31:24		()
 38:34 - 39:56	孙孙快点登顶换马造，写主题太别扭了	(技不如人,活动,别扭)
 40:58 - 43:46	这个活动赢了有什么奖励来着（	(孙孙,白月光,活动)
 44:15 - 46:13	这是星之卡比的联动模式吗	(卡比,],[)
 46:56 - 49:12	哇，灯顶	(灯顶,！,牛车)
 50:29 - 51:54	怎么只有7008了，技不如人[吃瓜]	(比心,],[)
 53:05 - 54:27	主播就靠走马灯吃饭	(走马灯,雅阁,灯顶)
 55:39 - 58:21	技不如人x4	(1,-,的)
 61:19 - 62:46	灯顶7000	(亲亲,],[)
 64:15 - 64:53	6字辈儿了	(6,6992,字辈儿)
 65:05 - 65:09		(亲亲,],[)
 66:13 - 66:21	7000都呆不住了	(呆,不住,使用)
 79:40 - 80:56	你要觉得卡你可以拉黑，反正我不拉	(电信,移动,我)
 81:11 - 81:34	孙孙现在日本房价多少	(日本,房价,全都)
 82:23 - 84:21	主播这游戏手机能玩吗我觉得华为不卡	(吗,可以,玩)
 89:10 - 89:57	移动怎么这么坏啊	(移动,又,怎么)
 90:03 - 90:18		(贵,移动,谁)
 90:44 - 91:53	狗熊能玩吗	(玩,狗熊,小孩)
 91:57 - 92:35	未必啊	(一卡,走马灯,啊)
 92:49 - 93:35	路易笑死了	(是,耶稣,圣经)




 93:58 - 95:38	洋次郎叫你自重	(次郎,自重,为什么)
 98:29 - 101:20	这个不好是你点的吗	(的,了,小麦)
 122:50 - 125:56	技不如人警告	(技不如人,聪明,不如)
 126:40 - 127:03	把大聪明招过来当爱孙	(我鼠,当爱孙,招)
 132:08 - 132:33	isun大气	(不进,感激,明显)
 136:54 - 137:47	鱼寻一下你	(哈哈哈,走马灯,大笑)
 138:08 - 138:17	7000睡觉	(下场,纪晓岚,睡觉)
 139:21 - 140:12	技术主播最后一名	(技不如人,一名,技术)
 143:15 - 145:15	买个新电脑就没回音了	(回音,了,的)
 152:07 - 152:34	你非要问 那就是菜呗 找点人脉	(找点,情况,千本)
 154:01 - 157:05	啥 难不成别人视角里是孙子身上有钥匙但是踩了拿不到	(？,钥匙,哈哈哈)
 158:45 - 159:27	什么年代了还拍婚纱照	(了,什么,你)
 159:29 - 162:16	妙子结婚请主播了吗	(吗,了,])
 169:59 - 171:40	笑了	(哈哈哈,哈哈哈哈,笑)
 176:18 - 176:27		()
 180:01 - 180:05	抠脚是那个抠脚吗	(脚,抠,？)
 180:07 - 180:24	这是说的什么	(狗,和,人)
