全场最高能：143:53	喜欢等汤，该

其他高能：
 6:52 - 7:15	慢点慢点	(慢点,眼花,主题)
 8:19 - 11:00	饼饼姐姐早[比心]	(比心,],[)
 11:31 - 11:48	minus 10	(10,minus,英语老师)
 12:00 - 12:51	I speak very poor english	(very,可儿,important)
 12:55 - 14:33	我得请一个陕西的老师了	(的,],[)
 15:41 - 16:37	出生小粉	(技不如人,守住,大翔队)
 17:00 - 18:09	极限合影	(合影,LOSE,the)
 22:30 - 23:45	6999睡觉	(孙,woc,fk)
 25:20 - 25:24	弔图	(弔,完,了)
 25:26 - 25:55	什么叫难度	(鼻涕,difficulty,难度)
 26:12 - 26:29	7000陪伴	(单机,陪伴,方块)
 29:44 - 30:06	马登都看不到了	(late,but,,)
 30:14 - 30:20		()
 31:13 - 31:15		()
 31:30 - 33:35	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(啊啊啊,-,送)
 34:04 - 36:55	因为技不如人	(技不如人,pjbsb,真菜)
 37:30 - 37:52	7000睡觉	(炸房,卡比,睡觉)
 38:03 - 38:19	ddj是	(卡,ddj,他)
 38:56 - 39:27	比例有个勾子的鱼丸[笑哭]	(DDJ,勾子,too)
 39:52 - 41:01	全家福合影	(赢,的,拐)
 47:54 - 49:05	自己被杀第一骂作者 自己落后就希望杀第一	(杀,️,⬆)
 49:59 - 51:02	3号不是阅兵吗，城中心那些景点估计都去不了	(孙不举,不举,举)
 51:44 - 52:23	卡卡卡	(卡,jbrr,夜宵)




 56:10 - 56:29	主播玩了几年不知道，反正我看主播玩得倒是几几年年的	(玩,几年,主播)
 57:16 - 58:09	爱孙发力了	(一眼,打,爱孙)
 58:17 - 58:34	看似主播赢了，其他2人都赢下3把了	(赢,看似,其他)
 59:18 - 59:52	好人啊	(好人,呢,这小红)
 60:07 - 60:15	多人模式能吃绿蘑菇加命吗	(∧,加命,o)
 62:16 - 63:29	苍蝇再小也是肉，拉稀了都得喝	(的,这图,都)
 63:56 - 66:12	大家别骂了，不是主播读图不行，是主播技不如人没躲开P	(哈哈哈,？,你)
 72:05 - 72:56	出生小蓝	(不好意思,坏,出生)
 84:18 - 89:13	那你是自己人吗	(走马灯,自己,人)
 91:29 - 92:56	有isun	(isun,？,像)
 93:33 - 94:39	第一名马灯都看不见了	(第一名,蓝龟,了)
 96:32 - 98:04	ddj赢了	(ddj,:,的)
 99:37 - 100:36	[dog]321	(321,路易,？)
 103:17 - 104:29	因为是isun	(isun,不如,胖哥)
 109:29 - 109:31		()
 113:54 - 117:01	ztmex[dog]	(你,拉,聪明)
 117:06 - 118:13	孙大戾士	(ztmex,举,:)
 120:38 - 121:36	你是第一名了你就得打工啊	(你,啊,就是)
 129:08 - 129:26	蒙的	(GG,回来,的)
 129:46 - 129:53	什么时候8000	(时候,8000,什么)
 130:24 - 132:19	主播签约了吗[花]	(哈哈哈,蹲,了)
 135:25 - 139:54	羡慕洋次郎我也想要胖哥的牛牛堵住我的嘴[比心]	(的,走马灯,主播)
 142:28 - 144:59	喜欢等汤，该	(],[,了)
 150:39 - 151:47	好人啊	(么,加油,吧)




 152:26 - 153:40	假仁假义[委屈]	(坏,比,故意)
 162:32 - 163:14	鲁迅被吃分还得挨骂[委屈]	(鲁迅,新年好,不乐意)
 165:35 - 166:00	主播在成都修炼过	(走马灯,原来如此,修炼)
 166:28 - 167:04	喜欢主播的话可以点根烟支持一下哦，抽中华可和主播嘴对嘴喵	(嘴,我,主播)
 167:40 - 168:41	《故事会》海南人	(海南,大笑,人)
 169:10 - 169:44	顶着井盖的官方设定是乌龟	(土拨鼠,斗于,设定)
 170:46 - 172:42	怎么开始讲走马灯了	(走马灯,主播,是)
 174:07 - 174:12	主播对阴谋诡计了如指掌	(了如指掌,阴谋诡计,wdf)
 174:24 - 175:53	多匹配到的那个自己就被车害了	(了,两天,在)
 180:16 - 182:02	可惜了	(裤子,换,主播)
 188:05 - 189:05	鱿鱼是枪乌贼，和乌贼都不是一个目	(鱿鱼,乌贼,和)
 207:48 - 208:10	直播延迟30秒都够你看天眼了	(你,ztmex,管)
 208:23 - 208:44	主播关心松饼的生活了	(:,？,1405)
 210:49 - 211:27	这主播已经被分异化了	(7,-,:)
 213:09 - 213:34	胖哥赢了	(忘,胖哥,，)
 217:59 - 220:37	xun流鼻涕了	(大戾,士,他)
 222:33 - 223:13	路易是不是坏比	(:,了,路易)
 223:46 - 223:55		()
 224:14 - 226:05	这人就是发太好了的那个吧	(了,大戾,士)
 230:28 - 230:41	主播是不是也流鼻涕	(是不是,流鼻涕,也)
 232:06 - 232:43	极限图	(极限,图,哈哈哈)
 234:21 - 235:08	狗熊好兄弟	(狗熊,气,好)
 235:29 - 235:34	胖哥也是整数，但是8000	(整数,但是,8000)




 235:42 - 235:57	6500上提督	(整数,手机,提督)
 237:36 - 239:05	技不如人 ×33	(技不如人,11,哈哈哈)
 246:23 - 246:34	可恶马里奥	(评个,可恶,之一)
 247:16 - 249:02	流鼻涕的赢了	(？,杀,流鼻涕)
 250:46 - 251:49	主播能有更多人看就行了[花]	(饼,时间,三段)
 253:35 - 253:43		()
 255:54 - 258:52	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(！,？,了)
 259:20 - 259:45	这时候知道喊松饼了	(妙不可言,:,妙)
 259:51 - 261:17	会说英语的海南人要不要	(？,的,不要)
 274:27 - 276:19	人家流鼻涕直接进就赢了，你想的多就得输[摊手][傲娇]	(奔,是,超级)
 284:42 - 286:15	局数:80胜率:47.50%%分数:6992	(钵,盆满,满)
 290:13 - 290:53	你这样子骂人会教坏小朋友的	(？,:,走马灯)
 291:02 - 291:18	主播这么强，这两天一定上了好多分吧	(分,一位,从此)
 291:32 - 291:46	没有直接关系	(关系,直接,没有)
 292:36 - 292:48	杀第一	(杀,第一)
 295:04 - 296:08	看看妙子的	(:,看看,先生)
 300:59 - 302:59	看着日本人吃这个还点头像很好吃 就像看我们农村的猪吃泔水一样	(还,的,吃)
 305:01 - 306:24	别聊美食了 我好饿	(警告,吃,:)
 308:01 - 308:43	爽嘲讽	(咋,那,了)
 308:59 - 311:45	极限汤	(太好了,了,好人)
 317:21 - 318:15	都喂到嘴里了	(？,:,”)
 323:41 - 324:37	我最爱吃烤蘑菇了，推荐给猪包[dog]	(蘑菇,？,饿)
 327:17 - 327:32	松饼是以前的学姐吗	(松饼,吗,作用)




 327:38 - 329:06	你点的雷来了	(闪电,认错,？)
 329:16 - 330:27	刚来，这是第二把还是第几把[花]	(素材,HOW,花)
 340:12 - 341:33	[爱]灯顶	(！,灯顶,？)
 350:39 - 353:29	哇登顶	(了,小学生,日本)
 359:06 - 359:08		()
 362:03 - 364:59	这就是你想要的三连灯吗	(了,三连灯,！)
 367:50 - 370:04	强图探底了	(强图,了,机)
 370:10 - 370:56	还是刹车刹的不够，单蘑菇[摊手][傲娇]	(气磊,气馁,记忆犹新)
 376:56 - 377:27	偷🐴不认	(偷,大,不认)
 379:08 - 379:13	[笑哭]	(切,不晚,哭)
 389:08 - 389:40	最没含金量的冠军	(没,666,说词)
 390:29 - 391:37	那就看看直播[花]	(嘤,飞,您)
 398:29 - 399:34	胖哥偷他	(偷,胖哥,闪电)
 400:23 - 402:08	你玩这游戏不就为了问号箱子吗	(壳,技,3000)
 402:41 - 403:00		()
 404:59 - 406:39	主播这么爱牛其实可以换一个转向快的载具	(一个,…,有)
 408:21 - 408:48	6	(6)
 410:32 - 414:56	你掉下去了啊	(哈哈哈,了,掉下去)
 415:18 - 415:29		()
 416:21 - 417:18	是被云拉回来的时候别人冲线了	(问题,的,了)
 421:10 - 421:22		()
 421:54 - 422:31	车和人有所谓吗	(心动,提升,])
 428:29 - 428:59	等会劈几下就充满电了	(豆汁,了,几下)
 441:45 - 444:56	孙子要走了[大哭]来个黑丝女粉挽留一下	(车,了,要)
 446:49 - 448:41	这车外观就比较笨拙 心理上会感觉慢	(大哭,],[)

