全场最高能：98:54	你就是技不如人

其他高能：
 5:53 - 6:29	早上好[花]	(],[,比心)
 8:37 - 9:37	晚上好孙孙 晚上好饼师傅 晚上好直播间的水友	(晚上,比心,好)
 10:54 - 11:00		()
 11:58 - 19:20	哔哩哔哩：这句话是你说的吗	(的,主播,哔哩)
 20:30 - 22:15	不然让孙老师读意林也行	(孙,懦,了)
 23:49 - 24:36	这个主题叫什么	(？,坚持,撕)
 32:26 - 34:40	哇 登顶	(啊啊啊,666,])
 36:33 - 36:35		()
 38:19 - 38:50	可能是你太肥了	(冲向,男孩子,插手)
 39:26 - 40:11	插插柄	(插,柄,主播关)
 46:14 - 47:42	我在小杰直播间走灯，在白胖直播间卖电脑，我怎么样	(合作,直播间,电脑)
 48:23 - 49:38	大戾士	(士,大戾,ztmex)
 49:44 - 50:10	6999睡觉	(喝,睡觉,孕气)
 53:18 - 54:31	蒙的	(的,运气,不错)
 55:25 - 55:33		()
 57:47 - 59:25	主播这个马里奥太烦人了，你能把他拉黑吗	(走马灯,比心,])
 61:37 - 61:39	ixiao	(ixiao)
 61:48 - 62:25	老板大气[比心]	(比心,好像,么)
 63:15 - 63:20		()
 64:07 - 66:16	那咋了	(么,♿,了)
 66:27 - 68:31	不如大聪明	(大,聪明,不如)
 68:57 - 73:41	技不如大聪明	(聪明,不如,大)
 75:05 - 75:13		()
 75:34 - 76:17	纪晓岚但是小蓝赢了	(技不如人,纪晓岚,挤)
 81:56 - 83:53	这里是爱大的直播间吗，把把给大聪明送分	(聪明,大,不卡)
 84:29 - 85:16	大戾士	(走马灯,聪一儿,聪明)
 87:56 - 90:22	大戾士	(士,大戾,大肠)




 91:23 - 91:54	狠狠的当你聪明哥的腐乳了	(聪明,掉,哥)
 93:00 - 94:08	因为你在这带节奏，为什么	(）,（,技不如人)
 94:35 - 94:38		()
 95:02 - 95:32	大聪明	(znmbex,？,风牛)
 96:16 - 99:58	你就是技不如人	(嗯,了,？)
 101:50 - 102:34	蒙的	(蒙,的,了)
 109:14 - 109:32	你去纪晓岚啊	(纪晓岚,自己,技不如人)
 114:10 - 114:56	我真的泪目了	(士,大戾,我)
 115:36 - 115:55	第一8000分	(选,6,分)
 120:39 - 122:01	技不如人，恶意差评	(哈哈哈,。,技不如人)
 127:54 - 128:04	主播地理知识真好	(回,分明,四季)
 146:29 - 146:44	技不如人	(好帅,坐,技不如人)
 148:44 - 148:54	技不如人	(不好,技不如人)
 149:00 - 150:20	大聪明真8000了 你俩是不是换机器玩呢	(可以,聪明,大)
 160:49 - 162:08	喜欢害人	(喜欢,害人,])
 162:14 - 162:52	主播力气重，是因为太压抑了	(罐,拔个,压抑)
 163:03 - 164:48	爱孙演技真好	(？,笑,孙)
