全场最高能：62:24	主播明天上午不出门是被爱牛堵了么

其他高能：
 1:46 - 1:59	早上好[比心][比心][比心]	(比心,早上好,])
 2:05 - 3:49	主播，外地人去北京推荐吃啥[花]	(],[,比心)
 10:08 - 12:19	比过了[花]	(比心,],[)
 14:07 - 18:20	哇，灯顶	(啊啊啊,灯顶,！)
 25:04 - 25:13		()
 25:37 - 25:38		()
 26:25 - 28:07	第二雅阁	(！,？,灯顶)
 28:14 - 31:41	都怪孙子不开播，让我跟你分离了一天	(我,],[)
 32:23 - 33:57	那咋了	(],[,比心)
 37:09 - 37:51	林失误	(vivo,套圈,失误)
 38:06 - 39:19	这种四人图开局俩人挤一个跑道能不能都进去	(:,一个,分)
 41:22 - 41:36	相爱相杀	(相杀,相爱,😂)
 42:13 - 43:45	闲着也是闲着讲点最新的成都小故事吧	(闲着,也,故事)
 44:03 - 44:05		()
 46:21 - 48:09	技不如人[dog]	(？,技不如人,了)
 50:14 - 51:05	爱孙流鼻涕	(卡,他,读图)
 54:10 - 57:08	主播又在带卖电脑节奏了	(该,哈哈哈,笑)
 57:53 - 64:31	主播明天上午不出门是被爱牛堵了么	(加油,主播,吧)
 65:25 - 65:50	你后退不 就好了	(技不如人,走马灯,后退)
 71:12 - 71:28	记得提前预约[花]	(？,kkkkk,记得)
 78:06 - 78:36	大戾士	(士,大戾,遗憾)
 85:23 - 87:03	大聪明赢了	(聪明,大,了)
 87:12 - 90:03	小粉堵住了吧应该是	(走马灯,了,海南)
 90:13 - 91:19	都好菜啊	(8000,拉,了)
 91:26 - 92:33	[大笑]严谨	(你,没,])
 92:42 - 94:02	大聪明永远的好大儿	(大,聪明,了)




 98:26 - 99:54	主播什么时候能赢一次大聪明啊	(聪明,大,？)
 101:27 - 101:31	孕期主播	(受惊,孕期,假仁假义)
 103:48 - 104:16	应该可以	(大笑,],[)
 107:01 - 107:31	蒙的	(纯,的,蒙)
 109:03 - 110:05	主播你觉得他烦可以拉黑	(咋,那,你)
 116:13 - 116:41	别人怎么都能按出来就你按不出来	(技不如人,按,出来)
 124:02 - 125:29	你第二不也被杀了	(了,你,聪)
 126:11 - 127:52	技不如人怪地图	(啊啊啊,了,那)
 130:13 - 130:28	技不如大聪明	(技不如人,聪一儿,哈哈)
 130:33 - 130:50	技不如超b人	(大一儿,两天,超)
 132:04 - 132:55	读图能力不如	(读图,能力,不如)
 135:32 - 136:12	蒙的	(蒙,的,？)
 139:23 - 140:21	打工后反应慢了	(技不如人,？,打工)
 141:43 - 142:06	技不如superbman	(技不如人,不如,superbman)
 142:15 - 142:22	快给人家送上红名了	(卡比,技,不如)
 144:09 - 145:01	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(？,切割,])
 146:43 - 148:03	技不如麦	(技,不如,mai)
 149:46 - 151:09	谢谢[妙]	(谢谢,假仁假义,嘲讽)
 151:22 - 151:30	怎么就爱情了	(爱情,妙不可言,ztmex)
 151:53 - 153:51	蒙的	(藏,？,B)
 157:16 - 157:45	流鼻涕的赢了	(流鼻涕,赢,的)
 157:59 - 158:27	主播刷了五年还没8000吗	(还,五年,没)
 161:25 - 162:40	死了 都你害的	(？,你,害人精)
 183:31 - 184:30	银蝴蝶	(蝴蝶,银,马里奥)




 191:44 - 192:11	[Cat2_Nyampage]	(为什么,不好,Nyampage)
 208:37 - 210:00	专杀菜B这图真恶心	(专杀,HOW,没爱牛)
 213:14 - 215:12	都把你拉黑了	(了,呢,都)
 215:25 - 215:58	麦麦都哭了	(画,13,刚才)
 217:35 - 218:53	不想排你了	(了,堕,的)
 219:29 - 219:59	堵他	(走马灯,堵,雅阁)
 221:07 - 222:17	这耀西不会害了我吧	(打团,没有,能)
 222:49 - 222:56	麦麦不在主播只能俯冲6999	(越来越低,麦麦分,俯冲)
 223:04 - 223:13		()
 223:39 - 224:13	不愧是韩国货	(韩国货,箭头,跟着)
 225:27 - 228:52	自从主播把麦麦丢下悬崖，麦麦就不喝主播的汤了	(麦麦,！,了)
 237:27 - 237:52	今天maimai怎么不太高兴的样子	(太高兴,样子,今天)
 240:08 - 242:25	USA蘑菇基本都是举炮弹	(，,USA,举)
 244:32 - 246:48	爱麦了	(走马灯,。,小粉)
 263:25 - 265:32	孙子和麦麦是情侣，没汤，两人都不想伤害，就都放弃了[妙]	(都,你,甜蜜)
 265:40 - 265:54		(99,俄罗斯,搁)
 265:59 - 267:57	为了两分这么坏	(maimai,粗声,cs)
 270:29 - 271:58	寻你来了	(寻,那,了)
 277:08 - 278:53	maimai不喝你的汤	(几个,了,人)
 280:47 - 282:12	陆毅没有被杀第一[花]	(7000,第一,红龟)
 286:05 - 288:34	主播明天能用无人机带我看月饼吗	(主播,吗,房顶)
 288:46 - 290:01	主播心里其实不想给,找个理由罢了	(不想,ztmex,给)
 290:59 - 294:21	这个赞是你点的吗	(的,看,有)




 298:00 - 298:36	主播要把自己直播间搞黄	(黄,搞,直播间)
 299:33 - 302:01	主播叽里咕噜说啥呢	(说,量子,叽里咕噜)
 302:30 - 306:02	isun VS imai	(？,甜甜,了)
 310:05 - 311:07	人菜瘾大啊	(大笑,],[)
 312:51 - 312:55	最后一秒展示一下	(？,展示,最后)
 314:33 - 316:45	富婆还需要你还花呗吗	(好意思,富婆,花)
 316:49 - 317:07	小蓝怎么没了	(合影,成功,小蓝)
 320:27 - 321:45	合影不亏	(？,合影,我)
