全场最高能：175:01	画面变化一快就掉帧，恶心死了

其他高能：
 0:15 - 2:04	孙怎早	(孙怎早,么,怎早)
 2:05 - 2:11		()
 3:56 - 4:56	主播出门轻松点了吧	(pjbsb,我要,播出)
 11:25 - 13:29	我们技不如人	(技不如人,LOSE,多久)
 17:57 - 18:13	走马灯	(走马灯)
 19:13 - 19:58	高手多	(团建,高手,今天)
 20:17 - 24:09	哇~~~~~登顶	(~,了,！)
 24:11 - 24:30		(孙哥,几点,马造)
 31:14 - 32:00	早就黄了	(LOSE,Jbrr,Jbtr)
 32:46 - 33:07		()
 33:39 - 34:30	一秒十行	(比心,],[)
 35:01 - 35:22		()
 39:35 - 40:38	晚好[比心][比心][比心]	(比心,],[)
 41:40 - 45:54	主播播了一个月多人了还在7000，是不是技不如人	(比心,],[)
 48:04 - 50:27	已经不会在找你了听不听见无所谓了	(听见,了,聪明)
 50:49 - 53:13	那你把名字改成bai不就能贏了	(了,申请,好友)
 54:17 - 54:37	蒙的	(日,无汤,超人)
 54:43 - 56:11	我用的是三折叠盖	(我用,盖,auv)
 56:40 - 56:47		(该)
 57:07 - 57:49	自重了	(合影,拒絕,硬气)
 61:43 - 62:11	白胖是孙子房管	(这样,纪晓岚,？)
 62:13 - 65:04	我去看白胖了	(了,的,读图)
 67:21 - 71:14	某音首页推的小小松饼是你吗[花]	(啊啊啊,比心,])
 71:19 - 71:30	怎么知道门开了	(门开,知道,ztmex)
 73:11 - 74:23	大聪明最孝顺的儿子	(聪一儿,聪明,大)
 76:09 - 77:43	今晚都去看白胖了	(了,，,都)




 77:45 - 78:05	要不然也不会来看直播	(陰兵,挂點,冷清)
 83:46 - 89:12	要不蹭一下热度吧，感觉你能打的不错	(你,，,游戏)
 89:20 - 89:25	大戾士	(🐴,喜欢,游戏)
 92:04 - 92:55	蓝蓝的主播 你什么时候成为懒懒的白胖	(什么,骑士,空洞)
 99:22 - 99:28		()
 100:49 - 101:42	该x18	(该,吃,好好)
 108:45 - 109:25	这种图过关条件应该改成比分，像糖豆人一样	(输赢,旗定,以摸)
 110:10 - 111:54	技不如人 ×14	(技不如人,的,2)
 117:02 - 119:10	你上不去是技不如人，还是因为没有仆从军	(我,是,主播)
 121:18 - 122:03	灯哥抗日，主播结交小日子，什么成分不用多说了吧	(懂,主播,了)
 122:23 - 123:29	主播又想吃美食了	(垢,美食,巨人)
