全场最高能：451:58	极限灯顶

其他高能：
 1:22 - 3:01	早[比心][比心][比心]	(啊啊啊,比心,])
 4:07 - 6:07	胖哥说了，我们反对他的都是罕见，我们说日语也正常[牛]	(比心,],[)
 10:57 - 11:22	VIP等你[花]	(VIP,等,花)
 11:34 - 11:40	孙老二	(技不如人,LOSE,亚军)
 19:37 - 24:51	哇，灯顶	(走马灯,了,主播)
 30:11 - 31:31	主播你为什么不打团	(为什么,50,游戏)
 33:18 - 39:01	孙是大聪明的爱牛吗[dog]	(的,蒙,聪明)
 45:33 - 46:13	大聪明迷路了	(聪明,大,了)
 46:34 - 46:42		()
 49:52 - 53:06	主播，你还能跟妙子和好吗	(日本,妙子,的)
 55:54 - 60:00	还真是，平时和你玩的都是教书的，开学了就回去上课了	(了,，,都)
 60:28 - 60:47	主播怕掉分，已经把比自己分高的都拉黑了，所以没人玩	(掉,分,了)
 61:11 - 63:26	主播已经灯顶了吗 为什么不玩多人	(不玩多,为什么,人)
 68:33 - 69:04	今天不多人了吗[dog]	(蒙德图,灯楞节,])
 71:52 - 72:24	算你过了	(],[,比心)
 81:18 - 82:02	把P放在云右边 中间空一个飞机能下来的位置 需要在龟过来的时候 炮台不挡的时候砸	(的,砸,故事)
 85:39 - 88:07	炮台横推掉下来的大脸，挤到被P拦住的刺龟上	(炮台,把,P)
 90:40 - 91:11	大脸累了	(把,天才,累)
 109:42 - 110:40	过了	(过,了,你)
 114:39 - 115:02		(尿,哐,马桶)
 122:36 - 123:04	四台车全给我掰了	(雅阁,我,车全)
 124:55 - 126:34	极限选路[dog]	(一台,极限,藏)
 130:02 - 132:17	那不就可以安排爱孙了吗	(嘬,了,牛车)




 140:49 - 141:01	语文老师上线	(语文,上线,老师)
 141:52 - 142:53	多人无敌早过了	(不错,可惜,哈哈哈)
 143:39 - 143:47		()
 143:51 - 144:05		(体位,新)
 144:20 - 145:38	金币在终点后面[花]	(晚上,],[)
 146:08 - 147:40	确实结束了	(结束,哈哈哈,了)
 153:01 - 153:05		()
 153:37 - 155:42	跟胖哥喜欢营销自己马造第一人一个道理	(主播,跟,人)
 156:46 - 160:55	主播赶紧把标题的技术主播去了，陪卖电脑的娱乐去吧	(了,的,])
 163:07 - 165:47	多来点这种肯钻研的作者作图就好了	(了,主播,玩)
 166:22 - 168:10	蒙的	(666,的,蒙)
 169:23 - 169:52	我吃过的屎也请你们尝尝	(的,尝尝,下场)
 170:04 - 170:13	寻你来了	(费劲,炕,力气)
 175:27 - 175:49	那也不能工艺图都是七夕呀[傲娇]	(哈哈哈哈,也,七夕)
 176:21 - 176:42	切割碗就像切割饼饼一样轻松	(饼,切割,套牢)
 177:49 - 178:04	藏B	(B,藏)
 188:52 - 189:00	换美食来早爆料了[哇]	(了,吗,醒来)
 189:12 - 191:37	主播怎么不打多人了	(666,互动,了)
 191:57 - 192:18	还是多人有直播效果 开团看着有点犯困	(一圈,犯困,楼梯)
 199:13 - 199:44		(？)
 199:48 - 200:05	灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷灯冷	(冷灯,跳上去,青结)
 201:20 - 201:48	蒙的	(鸡块,掌握,极快)
 204:01 - 205:54	怎么不欧耶乐[哇]	(oh,~,no)
 209:25 - 211:05	吃我的	(pjbsb,了,好久没)




 222:08 - 224:45	走灯bot提醒你 该走灯了 请跟我拿起ns 走上那么一走	(666,喝水,提醒)
 228:15 - 229:23	别装了，直接开牛车	(牛车,比心,])
 231:23 - 232:21	主播，你的松饼还在使用吗	(你,喝,松饼)
 233:24 - 234:00	果然是读图能力	(能力,读图,果然)
 234:05 - 234:30	那只看初代吧，初代发售都四十年了	(初代,四十年,发售)
 237:38 - 237:57		()
 240:00 - 241:52	技不如人了	(了,技不如人,牛车)
 252:04 - 253:30	难道主播说的是千本樱吗	(是,不亏,鼓)
