全场最高能：108:21	好结局

其他高能：
 4:44 - 6:55	蒙的	(喵,群,进)
 9:30 - 9:40	耿直的小蓝	(耿直,小,蓝)
 11:25 - 12:24	等下就第二带钥匙卡住后面所有人，保送第一	(就,这,住)
 14:27 - 15:41	上面封死了	(],[,哇)
 17:03 - 18:08	但有人不重来啊[花]	(啊,重置,cs)
 20:28 - 22:47	鲁迅这是美容了吗	(吗,给,鲁迅)
 24:28 - 27:50	主播宜人之力把这游戏搞得没人玩了	(可以,主播,亲亲)
 28:35 - 30:07	这就是我们bili 分币不刷但是情绪价值给足了[比心]	(了,现在,])
 31:12 - 32:09	主播我把他卡在墙角如何[哇][哇][哇][哇]	(哇,],[)
 34:21 - 34:34	好	(不好,好)
 34:40 - 34:56		(仇,nano,和)
 38:33 - 39:33	是真鲁迅 这个点还在狙击主播的肯定是鲁迅	(是,鲁迅,这个)
 45:54 - 46:07		()
 53:00 - 53:14		()
 54:51 - 57:38	自重太重飞不起来啦	(了,？,飞机)
 58:51 - 60:01	乐[哇]	(了,气死,主播)
 61:45 - 63:47	这个人把主播打怕了所以拉黑了[dog]	(黑,拉,了)
 67:43 - 70:32	我怎么不知道[花]	(？,吗,了)
 74:34 - 78:34	距离没拉太远，你终点前用火箭，到一半不就晋级了[花]	(火箭,了,闹麻)
 81:59 - 82:09	前三马灯都看不见了	(王朝,瓦里奥,三)
 85:08 - 85:35	红寻	(红寻,龟壳,技不如人)
 85:49 - 87:42	主播的意思是我胖哥因为是菜逼所以才上的8000吗	(比心,],[)
 95:59 - 97:49	瀑布没劈下来，被三体打下来了	(下来,了,好好)
 99:25 - 100:32	鲁迅打的	(？,鲁迅,有爱孙)




 107:24 - 109:16	好结局	(哈哈哈,太,安全)
 113:02 - 114:12	这游戏不是落后才赢吗	(哇,],[)
 115:47 - 117:49	人家不是看你用金的直接准备劈了吗	(劈,了,白)
 127:47 - 128:52	不拼是赢不了的	(不了,了,的)
 136:54 - 139:35	把i孙寻了	(技不如人,了,委屈)
 141:25 - 143:39	好吃爱吃	(fw,？,厉害)
 151:53 - 154:02	哇 燈頂	(？,666,了)
 155:32 - 156:35	主播现实人不错，抢着替别人吃蓝龟	(—,蓝龟,没)
 162:11 - 164:48	毕竟只是对登顶的那一个人技不如人	(的,是,了)
 166:02 - 168:06	现在好了，技不如20人	(],[,爱)
 173:28 - 175:28	壁灯不如高松灯	(士,大戾,了)
 182:32 - 185:39	被bot针对了	(bot,],[)
 185:47 - 187:19	领跑还是可以的，你吃到三体的概率变低了	(的,你,，)
 191:39 - 192:31	蘑菇补个速不就继续打了	(LOSE,别人,你)
 195:31 - 198:34	天天被切割，我是你也去胖哥那	(你,],[)
 206:58 - 209:44	主播沉默了 都怪你们	(观众,主播,了)
 213:58 - 217:05	大戾士	(士,大戾,])
 217:10 - 219:39	楼下早点铺还有15分钟点好豆腐 这局看完我下楼可以精准吃到今天的第一碗老豆腐	(bot,吃,了)
 222:24 - 224:21	爱物没了	(了,？,bot)
 224:57 - 226:17	ztmex[大哭]	(3000,分,！)

