全场最高能：50:46	技不如人了嘛

其他高能：
 0:43 - 2:50	居然没倒闭	(啊啊啊,比心,])
 4:47 - 6:04	哎哟，你怎么才来啊	(比心,˘,ღ)
 17:07 - 17:58	收到了好友申请	(？,申请,收到)
 19:28 - 21:19	教他走马灯	(，,岁,今年)
 23:55 - 24:00	pjb瞎子主播看不见音符	(音符,瞎子,pjb)
 24:19 - 24:35	每次卡都有你	(卡,有,你)
 25:00 - 25:13	那还比什么，直接给你发奖杯得了	(奖杯,发,说不定)
 25:25 - 25:44	666	(666)
 28:08 - 28:16		()
 28:31 - 32:26	技不如惠惠普	(],[,惠普)
 34:17 - 34:55	这拉扯	(立马,拉扯,退)
 35:18 - 35:39	今天就让主播登顶	(就让,7100,想想)
 39:13 - 40:44	大戾丸	(丸,大戾,是)
 41:08 - 41:24	那咋啦	(咋啦,那,士)
 41:38 - 42:41	小蓝是好人啊，你是不是记错了	(是,你,，)
 45:17 - 47:31	天花板是堵死的 你见过吗	(比心,],[)
 49:50 - 55:47	技不如人了嘛	(了,吧,加油)
 59:26 - 61:56	好，孕妻不错（曹操脸）	(漂亮,也,吗)
 62:19 - 62:25	灯哥赚不到米会不会从抗曰变米青曰	(曰,》,不进)
 62:56 - 63:10	下场赢了	(技不如人,下场,赢)
 65:20 - 67:38	三排，路人都给打退了	(三排,走马灯,龟壳)
 74:02 - 75:39	下一局还没开你就赢了内定是吧	(了,就,给)
 88:01 - 88:06	雅阁	(哈哈哈,哈哈哈哈,雅阁)
 89:36 - 92:35	我怎么就25级了	(了,我,观看)
 92:53 - 93:20	不能受伤还吃状态是吧	(吧,吃花,伤)
 106:34 - 107:07	路易怎么还没到	(路易,没到,过不来)




 108:33 - 109:40	哀家长头发了[花]	(666,头发,路易)
 113:24 - 115:09	不打了，我们偷	(比心,],[)
 115:37 - 115:41	鲁迅等主播等得头发都长了	(等,长,头发)
 118:30 - 120:30	就这么死的	(走马灯,？,大笑)
 121:40 - 122:48	这飞机害了你	(？,飞机,了)
 125:54 - 126:08	就让第一等】	(】,第一等,就让)
 126:19 - 127:53	可惜了	(楼梯,差点,可惜)
 127:59 - 128:06	LOSE	(卟,LOSE,吧)
 128:20 - 128:37	今晚司马图真多	(图真多,司马,今晚)
 129:07 - 129:24	这就是你想要的六字辈吗	(几,星期,纯路)
 129:27 - 129:40	蒙的	(雅阁,蒙,的)
 129:44 - 131:07	把麦麦关雅阁了	(雅阁,日语,主播)
 131:36 - 132:50	那咋了，你还要管作者的生活	(了,技不如人,我)
 134:03 - 135:34	你拿钥匙的时候不就看到了[手机]	(是,你,的)
 143:45 - 145:44	接的好	(三打,打,鲁迅)
 149:12 - 150:34	小蓝是imai	(哈哈哈,嗨,？)
 158:46 - 160:23	每次卡都有你 应该是你开的	(卡,你,每次)
 160:55 - 160:59	要不开一会都地主	(小红卡,地主,不开)
 161:32 - 161:51	开的真是收放自如	(一个,，,开)
 162:05 - 162:10	像小粉	(像,小粉,开)
 168:08 - 168:11	送	(送)
 173:08 - 173:15	又是这个B	(进开,史,B)
 173:49 - 176:10	你把我放出来了	(出来,我,放)
 177:56 - 180:29	斗地主 启动	(？,不了,的)
 182:31 - 184:00	你再装B 等会卡死你	(8000,的,分)
 187:26 - 187:33		(走马灯)




 190:18 - 191:03	主播也想和粉丝朋友们一起灯顶吗	(想,朋友,粉丝)
 191:12 - 191:18	把主播拉下水	(拉下水,把,主播)
 191:21 - 192:10	那咋了	(什么样,有,咋)
 192:28 - 193:07	我知道了，下次玩牛车就专门囤大蘑菇寻你	(短,囤大,下次)
 200:02 - 201:55	再过一个月，我也能21级了[花]	(你,了,级)
 202:17 - 205:29	主播不是住四合院的吗	(吗,，,了)
 205:58 - 206:03		()
 206:20 - 206:23		()
 206:27 - 206:43		(第几,杀,你)
 214:49 - 215:09	合影不亏	(合影,饼,强行)
 215:45 - 216:10	改规则了	(规则,改,走马灯)
 216:15 - 216:23		()
 216:29 - 217:24	一睡醒就看到孙哈气	(哈气,不好,好)
 218:31 - 218:45		()
 221:06 - 221:53	主播是不是看了白胖直播，学到了技术也学到了心态	(了,学到,主播)
 231:17 - 232:17	哇，灯顶	(！,666,灯顶)

