全场最高能：12:39	雅阁了

其他高能：
 3:27 - 5:58	主播能帮我代打吗我给你开会员	(],[,比心)
 6:39 - 6:56	早[比心][比心][比心]	(比心,],[)
 7:19 - 8:06	看了昨天任天堂直面会吗 感觉要倒闭了	(昨天,了,，)
 8:46 - 8:49	bubuline锐评帮水友上分的行为	(帮水友,锐评,行为)
 9:09 - 9:20	主播我现在4000能帮我上8000吗（	(我,cong,4000)
 9:37 - 9:55		()
 10:26 - 10:54	方块节目呢[委屈]	(大哭,],[)
 11:03 - 11:13	停卡的	(卡,爱,])
 12:21 - 13:57	雅阁了	(了,！,？)
 21:18 - 21:33	开局的几秒就能看到怎么选也不错了	(选,中途,几秒)
 24:44 - 25:01	对抗不如pangga	(哈哈哈,pangga,对抗)
 25:44 - 27:48	那咋了	(士,大戾,咋)
 31:24 - 32:27	都记错了[花]	(图,？,的)
 39:02 - 41:38	直播间是越来越好了	(了,sc,红色)
 42:18 - 42:47	太抽象了这图	(卡,雅阁,他)
 45:11 - 45:59	蒙的	(？,的,蒙)
 47:25 - 49:22	有的人拿了第一只能被嘲讽含金量不如[dog]	(人,第一,用)
 49:59 - 51:31	把我从监狱放出来，我叫黑龙江人	(把,我,，)
 54:10 - 54:16		(狙主播,惠,惠普)
 54:56 - 55:27	他是卖电脑的节奏和马造有毛关系	(毛,相片,是)
 55:37 - 56:07	能引别的马造主播来这直播间把直播间搞黄的节奏就可以带	(傲娇,直播间,自己)
 56:46 - 58:33	那主播的直播间怎么还没倒闭	(3,的,了)
 59:59 - 62:54	那咋了	(咋,那,了)
 63:01 - 63:15	小粉：诶诶诶诶ZTMEX	(诶,ZTMEX,小粉)




 66:31 - 67:04	含金量拉满的P	(？,走马灯,么)
 67:23 - 67:50	主播这个小蓝太烦人了，你能把他拉黑吗	(太烦人,继续,还点)
 69:43 - 71:10	流鼻涕[傲娇]	(？,isun,惠)
 72:30 - 73:01	主播跟isun切割了	(切割,isun,你)
 84:02 - 84:16	开了的赢了	(了,开,赢)
 87:56 - 88:17	我猜他放弃了考研去日本追梦了	(了,去,牛)
 90:39 - 93:29	但是你能8000吗，怎么主播又开始做梦了	(8000,了,你)
 94:09 - 95:20	这你敢等啊	(等,假仁假义,伪善)
 99:58 - 104:13	主播的意思是把杰哥引过来亲自卖电脑	(电脑,的,卖)
 109:43 - 110:39	那他一会卡一会不卡就算走马灯	(卡,他,不)
 111:43 - 112:28	那咋了，加油吧	(那,加油,了)
 121:26 - 122:36	这就是你想上的7000	(上,7000,你)
 124:02 - 124:57	吃火锅的时候放在对角线上了	(对角线,的,转)
 125:08 - 125:17	孙子烟嗓	(嗓,烟,睡觉)
 129:28 - 130:03	爆了	(爆,7000,上)
 133:11 - 133:51	不黑屏吗	(✅,黑屏,不)
 136:14 - 136:57	嘲讽b教学	(b,嘲讽,投掷)
 143:35 - 145:40	主播我有个1000分的号你要去炸鱼吗	(？,不,了)
 151:07 - 152:29	主播是要把大聪明吃的分给吐出来么	(？,聪明,大)
 152:51 - 152:53	啥鸟声	(鸟声,啥)
 165:30 - 165:49	不如灯哥	(不如,灯哥,祝您)
 170:00 - 171:49	嘲讽逼	(嘲讽,b,聪明)
 173:17 - 176:11	480秒说是	(主播,480,你)
 176:21 - 176:30	是不是孙子自己电脑太卡了	(了,太卡,服务器)




 179:27 - 180:04	能开到八千那是国际第一咯	(回执,领取,造谣)
 182:52 - 185:14	雅阁紫砂了你随多少	(？,雅阁,听)
 187:09 - 189:07	真正技不如人	(技不如人,细节,LOSE)
 191:09 - 192:38	又是技不如人	(技不如人,，,咋)
 192:46 - 193:45	那咋了[哇]	(孬,了,咋)
 196:17 - 197:58	让你下分胖哥也不能上分啊 这是什么精神	(啊,胖哥,？)
 200:26 - 202:02	因为你带我胖老师的节奏	(因为,了,你)
 202:31 - 203:08	小兰说，马里奥开了卡我	(马里奥,卡,说)
 203:20 - 203:28	小蓝就是曾经的你[花]	(开,洞口,你)
 206:59 - 207:07	被读穿了	(非要,绷,穿)
 207:18 - 207:21	喜欢垫	(垫,喜欢)
 216:23 - 218:50	主播我一千多分，你可以去炸鱼帮我打上5000吗	(我,主播,吗)
 219:55 - 221:44	嘲讽比主播	(嘲讽,聪明,b)
 224:33 - 225:38	这不是技不如人	(技不如人,打工,笑)
 227:22 - 228:19	流鼻涕的没汤喝	(三缺一,汤,哈哈哈)
 235:39 - 236:28	待会人家得狂犬病了	(？,了,么)
 237:07 - 237:17	这图好像得等很久	(久,好像,很)
 242:37 - 243:05	主播刚刚是承认了吗[撇嘴]	(植原,不姓,啦)
 243:29 - 244:58	主播想和maimai上8000了	(？,和,甜甜)
 247:18 - 248:46	哈气了	(好图,哈哈哈,士)
 251:55 - 253:14	雅阁了	(了,知道,之)
 255:31 - 255:51	主播喜欢吃西贝吗	(欢乐,西贝,四个)
 258:32 - 259:47	喝水bot提醒你该喝水了[比心]	(bot,喝水,了)




 260:14 - 261:42	提纲小助手提醒您现在提纲10下，提玩扣1	(了,？,提纲)
 262:17 - 262:19		()
 268:10 - 268:45	这图是不是很老了	(飞上去,车子,式)
 270:58 - 271:08	是用金河田电源炸的吗	(是,炸房,50)
 271:18 - 271:47	有人的金河田炸了	(了,金河田,退出)
 279:33 - 280:04	大戾士	(士,大戾,哈哈哈)
 283:23 - 283:27		()
 288:04 - 289:54	主播怎么把大聪明的号拿来了，是想让大聪明掉到5000分以后好别排到自己吗	(的,fun,饼)
 291:58 - 292:13	大聪明的号是不是被挂日本贴吧了 别人看一眼就跑了	(一眼,贴,休息)
 294:40 - 294:50		()
 296:24 - 298:15	不是说maimai赢了比自己赢还高兴吗[比心]	(了,],[)
 299:35 - 301:06	上把你把他扔了[花]	(赢,扔,？)
 301:26 - 302:28	蛇又繁殖，又要做gal，又要发快递，又要这那的[大哭]	(又,要,])
 302:54 - 303:14	我缺的牛车这块谁给补啊	(我缺,补,这块)
 305:05 - 307:00	切了主播的老北京豆汁就出不来了	(豆汁,北京,士)
 307:41 - 310:00	麦麦赢了，就是你赢了	(大海,了,胖大海)
 310:51 - 311:13	急急国王	(国王,急急)
 315:19 - 316:22	小蓝喂到嘴里了[撇嘴]	(喂,到,演技)
 319:03 - 320:30	主播不会把大聪明的分掉没了吧	(？,木门,分掉)
 324:10 - 324:31	暗示你该开牛车了 得加油	(牛车,加点油,号代)
 326:12 - 327:29	“别人家的牛都卡别人 我这都来卡我还抢肉”	(卡,タ,カ)
 328:45 - 328:49		()
 335:33 - 336:37	人家都有牛牛，你怎么没有牛牛	(牛,你,牛牛)




 338:39 - 339:14	主播为什么公平图也赢不了啊	(公平,也,啊)
 344:33 - 344:50	糖豆人	(糖豆,人)
 345:03 - 347:00	大聪明求了主播一个月[花]	(聪明,大,甜蜜)
 348:20 - 348:25		()
 348:54 - 349:41	我要睡觉了，主播别大喊大叫	(牛车,太阳升,立)
 349:48 - 350:10	什么样的主播，就有什么样的观众[爱][比心]	(什么样,的,頂)
 350:31 - 350:32		()
 353:51 - 353:59	那咋了	(咋,那,了)
 358:10 - 358:17		()
 358:47 - 358:49		()
 359:07 - 359:21		()
 370:15 - 370:39	有状态都能输	(能输,],[)
 376:20 - 380:35	我之前也才12-13，可能bili改版了吧	(],[,了)
 380:56 - 381:45	别崩到我了	(了,别崩到,哈哈)
 381:54 - 382:16	过年让放金河田	(过年,大奔,奔)
 384:38 - 385:32	数格子都不会了	(加油,吧,格子)
