全场最高能：25:26	灯顶x27

其他高能：
 2:38 - 3:37	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,早)
 5:02 - 5:24	怎么不fay了	(fay,怎么,不)
 9:08 - 9:10		()
 9:34 - 9:45	那不差辈分了吗	(？,了,辈分)
 10:04 - 12:43	林克这年纪得叫叔叔了，还在哥哥	(],[,比心)
 13:50 - 14:38	胖哥来早过了	(过,麦早,💡)
 15:24 - 17:02	那咋了	(了,那,咋)
 20:09 - 20:51	这张图生动形象地展示了走马灯的艰难历程	(过,走马灯,，)
 20:55 - 21:58	急了	(了,急,早过)
 22:17 - 22:30	坏了，技术退步	(退步,坏,技术)
 22:32 - 23:53	煮波昨天不玩多人了吗	(了,弹幕,改版)
 24:52 - 29:21	灯顶x27	(找个,班上,吧)
 29:28 - 29:32		(同事,技,不如)
 29:46 - 29:54	技不如桀	(7100,总督,桀)
 32:11 - 34:00	都让你爽了还点不好，煮播是m	(你,聪明,，)
 34:17 - 35:08	隔壁半年都8000了	(8000,了,半年)
 35:21 - 35:59	每次都能死的奇奇怪怪的，孙孙太有实力了	(死,的,最菜)
 41:09 - 41:16	因为主播技不如人	(因为,技不如人,主播)
 41:28 - 41:46	那我赢了	(？,了,赢)
 41:54 - 42:09	羡慕库巴	(库巴,后视镜,巴)
 43:20 - 44:07	空中飞舞	(惊喜,技不如人,准)
 49:29 - 49:35		(
,狸狸,浪子)
 52:33 - 52:55	不如桀过分了	(桀,…,不如)
 60:47 - 61:15	能力越大 责任越大	(越大,没上,责任)
 76:52 - 77:15	浪费掉分时间	(对手,打退,浪费)




 82:54 - 86:22	胖哥的雅阁已经满了	(那,了,])
 86:33 - 90:31	纯路人，我去投奔胖哥没事吗	(！,那,咋)
 92:53 - 92:58	4号线是吧	(号线,4,吧)
 95:11 - 96:06	昌平我只知道一六一中学和昌平二中	(昌平,我,和)
 96:18 - 96:31	那时候，孙孙还很瘦	(更穷,很瘦,东城区)
 97:20 - 98:06	现在那地方倒闭重开了[花]	(ztmex,ztmexx30,接龙)
 106:09 - 107:26	不吃的都死了	(不吃,忌讳,最)
 108:59 - 110:16	我几年前见过一个跟主播声音很像的人但人家是7500分	(大戾,士,找)
 111:30 - 114:08	大戾士	(大戾,士,走马灯)
 115:36 - 117:44	最后一秒卡了	(了,大肠,一秒)
 128:30 - 129:57	不是说不等汤吗	(保佑,你,针对)
 133:25 - 134:03	什么时候牛车	(winner,the,')
 134:06 - 134:12	小蓝是爱孙	(小蓝是,還堵,怎麼)
 134:28 - 134:36	爱牛是吧	(爱牛,吧,是)
 134:53 - 135:15	那不进你黑名单	(别的,BuBuline,那不进)
 136:52 - 137:06	主播对自己的选路技术不自信	(自信,选路,垃圾)
 139:19 - 139:46	那咋啦	(一个,确认,咋啦)
 140:18 - 140:42	死锁了	(斗地主,死锁,咋个)
 140:44 - 141:02	这游戏是在浪费生命吗	(走马灯,卡着,生命)
 146:34 - 147:18	又有新故事了吗	(故事,了,全给)
 147:42 - 147:54		()
 150:21 - 150:41	掌握了之后就干这事啊	(？,这事,掌握)
 150:47 - 151:09	难怪主播戾气天天这么重，原来接地线了	(听不懂,主播,接地线)
 153:50 - 157:33	人跑了三圈	(？,跑,了)




 160:28 - 161:08	藏B	(打头阵,6800,别)
 164:01 - 165:52	赢了	(赢,了,不好)
 172:38 - 172:54	草[花]	(赖杀,记性,草)
 174:34 - 175:47	好垫	(垫,到,垫脚)
 180:36 - 181:30	就非得	(比心,走马灯,])
 184:56 - 185:25	你看我说啥了，我就说了你别打工	(打工,ztmex,说)
 188:59 - 189:34	什么好图，捞图	(捞,好图,图)
 191:34 - 191:53	这直播间就没比我观看时长更多的[花]	(粉忠,除了,更)
 193:56 - 194:02	甚至没有音乐	(幾點,甚至,音乐)
 197:13 - 197:24	666	(九折,666)
 199:16 - 200:01	8000永远是8000，什么叫多少分	(8000,永远,666)
 201:41 - 202:15	我说我掉5300了[大哭]	(5300,掉,他)
 202:48 - 204:10	主播记住卖一个亿的时候，不要忘了我们	(∠,卖,主播)
 204:28 - 205:06	6900睡觉	(他,5300,马造)
 205:30 - 206:22	煮波和大霉比甜蜜双排	(，,行,他会)
 211:41 - 212:47	怎么一直在送分[dog]	(霉,技,不如)
 216:53 - 218:44	霉比聪明左右护法，主播什么时候上7000啊	(？,了,的)
 225:59 - 226:08		()
 231:15 - 231:24	第一也没被杀啊	(杀,第一,被)
 232:10 - 232:40	走马灯	(丝滑,比心,走马灯)
 234:46 - 235:36	哈哈哈哈哈哈哈哈哈哈或或或或	(或,哈哈哈,哈哈哈哈)
 242:15 - 243:16	越打分越低了，主播打的什么劲啊	(公平,主播,，)
 249:32 - 250:31	这图多人过不了所以主播在当爱牛堵门[花]	(多人过,不了,这图)




 251:49 - 252:48	去看了没意义啊，有条件过不了[花]	(终点,],[)
 253:56 - 254:15		()
 254:48 - 255:04		()
 256:10 - 257:43	这都能偷	(？,ヤ,イ)
 261:27 - 263:02	7400了	(],[,比心)
 264:54 - 266:45	你可不要胡bb了	(了,几包,轻)
 267:53 - 270:55	杀benben技不如人了吧	(技不如人,昨天,])
 271:06 - 272:13	老板大气[比心][比心][比心]	(比心,],[)
 276:36 - 277:15	主播7400的名字是什么意思	(两年,前,还好)
 278:37 - 280:09	1比2了	(2,三胜,五局)
 281:00 - 283:07	有isun[dog]	(他,了,哇)
 284:06 - 286:42	感动马造，得了肺痨还一直直播	(了,，,都)
