全场最高能：75:33	主播开天眼，这就是主播想上的6800吗

其他高能：
 2:47 - 4:00	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,比心,])
 4:30 - 5:05	不愧是智者孙孙	(题库,鸡霸,智者)
 5:50 - 6:03		()
 10:07 - 11:30	主播还能回得去7798吗	(回得去,主播,吗)
 12:45 - 13:55	那咋了	(白,谁,那)
 16:04 - 19:01	纪晓岚了	(了,那,白名)
 23:31 - 24:53	那咋了	(咋,了,那)
 32:36 - 33:56	小蓝逼的	(逼,小蓝,的)
 34:26 - 34:47	主播操作太黑了，不够白	(太黑,不够,白)
 38:42 - 40:44	看不懂么字了	(么,幺,亲亲)
 50:52 - 53:40	比主播快就是赢了	(是,8000,不愧)
 54:16 - 56:09	不愧是6800的	(的,你,那)
 59:39 - 61:16	胖哥看着你屏幕8000了吗	(你,吗,不会)
 61:29 - 61:44	是不是你给主播sound	(别来,我大号,7250)
 62:04 - 62:17	这又是第几死的啊	(第几,死,又)
 64:56 - 65:22	不是第一没有含金量啊	(有个,熊,太好了)
 65:41 - 66:20	大力士回来了	(回来,大戾,士)
 68:40 - 70:40	感觉不如状态不好，技术下滑[dog]	(大戾,士,互动)
 72:58 - 73:58	三个胖胖走马灯	(三个,和尚,有)
 74:18 - 74:27	待着吧	(待,着,吧)
 75:01 - 77:31	主播开天眼，这就是主播想上的6800吗	(了,天眼,松饼)
 81:59 - 83:41	主播你能把这个kazelink拉黑一下吗	(路易,走马灯,三打)
 87:47 - 89:03	技不如人[笑哭]	(加油,吧,聪明)
 89:18 - 89:41	主包铁血爱聪  想帮他上7k	(爱聪,铁血,后悔)




 90:16 - 92:16	主播赢了	(了,赢,主播)
 92:25 - 92:42	那咋了	(他,是,BUBULINE)
 95:23 - 96:07	主播我相信你  一定可以战胜bubuline的	(？,bubuline,这么)
 96:31 - 96:40	这个小蓝怎么恶意给主播送分啊	(立判,高下,恶意)
 99:26 - 100:28	饼子晚上好	(加油,吧,嘬)
 120:52 - 122:38	主播好菜...我去看白胖了...	(了,正确,变形)
 129:08 - 130:14	这车不会害了你吧	(哈哈哈,dog,恭喜)
 132:35 - 133:30	技不如同事	(同事,技,不如)
 134:52 - 135:08	好图	(＃,・,))
 135:42 - 139:31	戾氣好重...我去看佛系的白胖了[撇嘴]	(大戾,士,！)
 142:39 - 145:21	再打一小时主播6700了，再打几天就技不如桀了	(],[,亲亲)
 146:09 - 147:50	技不如人石锤	(技不如人,公平,图)
 148:53 - 151:30	卖电脑的来了看一眼就知道信仰	(大戾,士,了)
 153:02 - 154:15	[比心]	(了,比心,今天)
 155:36 - 156:21	读图和技都看齐电脑了	(了,],[)
 159:04 - 159:22	大聪明睡了	(？,6838,睡)
 161:33 - 163:10	卖电脑的赢了	(电脑,了,卖)
 170:42 - 171:46	那主播你到底有没有小粉的本子	(有没有,本子,的)
 172:48 - 174:30	有本子的赢了	(了,的,本子)
 174:54 - 176:20	看了孙子的牛车后推了我好多个九千多分的视频	(牛车,了,的)
 184:53 - 185:17	输掉了	(技不如人,哈哈哈哈,凭)
 185:20 - 185:30	操作变形导致的	(懂,没看,导致)
 185:36 - 187:48	真倒闭了	(大戾,士,，)




 194:57 - 196:27	技不如人 ×14	(技不如人,失误,你)
 207:14 - 207:21		()
 207:53 - 208:22	你杀了麦麦	(你,麦麦,假仁假义)
 209:01 - 209:14	怎么6800了[手机]	(手机,孙子,真)
 216:44 - 216:54	一天掉一百分 在玩一个月就是新号了	(新号,一个月,一百分)
 217:07 - 218:28	鲁迅让了	(凭,鲁迅,什么)
 218:36 - 219:02	爱牛还没开门就放弃了	(没,了,好久不见)
 219:10 - 219:40	那主播估计是被糊嘴里了	(那主播,是,分太低)
 225:16 - 226:51	倒闭了	(倒闭,了,卡)
 231:10 - 232:01	我看他这么多年就没成功过[花]	(成功,过,看)
 243:50 - 244:59	哈哈哈哈哈、	(哈哈哈,思维,我)
 246:35 - 246:47	孙不举	(举人,孙不举,孬)
 248:08 - 250:00	那主播以前7800是有8000分水平	(8000,水平,胖哥)
 252:30 - 253:14	读图不如麦麦	(麦麦,读图,不如)
 255:39 - 256:35	还有个圆帽啊	(帽子,还有,个)
 263:57 - 264:58	鲁迅灯一把	(主播,可爱,几吨)
 265:42 - 266:54	我看好多用奇诺比可的是有什么原因吗	(快,这个,的)
 269:22 - 270:22	承认吧，你岁数大了，反映不如以前了	(カ,タ,你)
 270:28 - 270:32		()
 270:37 - 271:28	魔法师改变体型吗，还有没有别的效果	(漂移,打断,变身)
 272:46 - 273:23	这就是拿美食的下场	(大戾,士,znmex)
 274:09 - 275:18	5人局肯定进不了前4,	(∠,5,了)
 275:45 - 277:40	故意当第三是么	(大戾,士,操作)
 279:51 - 279:54	怎么流鼻涕了都	(流鼻涕,怎么,都)




 284:32 - 285:54	5个活人灯顶，有个P的含金量	(灯顶,666,！)
 286:29 - 286:30		()
 287:31 - 287:35	主播不行换台电脑吧	(换台,不行,电脑)
 289:02 - 291:48	已经卡的听不到你说什么了	(卡,他,上传)
 291:55 - 292:04	隔壁小区还有上传一些自己拍的风景视频被限制的	(风景,一些,小区)
 303:13 - 303:49	电来	(！,电来,电)
 306:29 - 307:26	好菜 不如胖哥	(会,不如,都)
 308:59 - 309:14	依旧bot局	(能,BB,霉霉)
 310:48 - 310:58		()
 312:00 - 312:42	大戾士	(大戾,士,是)
 313:01 - 313:24	飞好高	(我,高兴,飞好)
 313:41 - 313:48	0分	(0,分,啊)
 314:06 - 314:18	舒服了	(舒服,了)
 314:30 - 315:03	Bo子铺一进来全是戾气	(领先,铺,子)
 316:33 - 318:31	快开 不然又要被555寻了	(555,LOSE,哈哈哈)
 325:34 - 326:58	那咋了	(胖哥,了,你)
 327:49 - 328:40	来个三体呀	(666,灯顶,！)
 332:26 - 332:40	被加分机制打压了	(机制,加分,呗)
 332:58 - 333:10		()
 335:22 - 335:44	感觉松饼姐是个很神奇的人	(神奇,姐是,感觉)
 341:30 - 345:08	主播已经半年没播喷了，上次是3月份，马灯还没过来	(喷,就,了)
 350:47 - 352:13	还闪电呢，人都到终点了	(闪电,了,LOSE)
 354:36 - 356:23	这不是被偷了吗	(？,偷,蘑菇)
 370:33 - 373:33	蓝闪套餐喜欢吗[比心][花]	(⚡,滋,了)
 378:58 - 379:31		()
 381:01 - 383:00	就fayday	(LOSE,保镖,强)




 383:18 - 383:48		(天亮,要,到)
 389:40 - 391:39	好好反思一下你淘汰的原因	(],[,比心)
 396:25 - 397:24	你那金蘑菇也不是好道来的	(叫,该,蘑菇)
 399:28 - 402:39	四个人为啥会刷蓝龟啊，这道具池	(～,哈哈哈哈,蓝龟)
 402:58 - 405:05	最后这个应该是存的 四个人拿蓝龟太破坏公平了	(应该,蓝龟,是)
 407:34 - 408:22	大笨笨	(奔,笨笨,你行)
 411:09 - 411:29	蓝龟呢救一下啊	(救,蓝龟,一下)
 411:42 - 412:42	我是爱⚡ 我来寻你了	(的,是,誒)
 412:50 - 413:16	快白天了别做梦了	(开走,联登,💡)
 418:02 - 419:10	倒闭了	(举报,p,6)
 419:23 - 419:31	粉色软件裤裆最松	(松,裤裆,软件)
 420:04 - 420:39	不是封那个提示.好像是强行下播了	(突然,提示,强行)
 421:59 - 424:32	身体健康[比心][比心][比心]	(！,三连,])

