全场最高能：121:47	主播下播能轮播走马灯视频吗

其他高能：
 1:34 - 2:14	早[比心][比心][比心]	(啊啊啊,早,比心)
 5:53 - 6:11	有的人已经8000了，而主播还在6000挣扎	(有,挣扎,而主播)
 6:16 - 6:40	主播有十个手指怎么也输了啊	(手指,十个,树)
 7:29 - 9:09	几天不看主播都6800了，快不如卖电脑的了	(比心,],[)
 12:10 - 15:20	变形了	(？,变形,了)
 19:54 - 20:11		()
 20:16 - 21:48	流鼻涕的死了	(了,的,么)
 24:50 - 26:50	你记错了是74751	(比心,],[)
 28:47 - 29:34	极限合影	(合影,极限,比心)
 30:03 - 31:09	胖哥抗日8000，主播库库给日本人送分6000，高下立判了	(公平,要么,，)
 43:30 - 46:02	好好好	(？,问号,了)
 46:53 - 46:55		()
 48:45 - 50:21	你是第一个出的	(？,的,黑幕)
 50:51 - 51:33	好图	(挨个,加,target)
 55:19 - 56:13	玩这么多年把马造各路大小玩家如数家珍[妙]	(],[,比心)
 61:43 - 63:35	开了不是帮你放慢时间更宽卡帧	(哈哈哈,哒,你)
 64:10 - 68:34	这么好的汤你咋不喝	(戴,了,喜欢)
 68:38 - 68:45	再玩就6500了跟小杰一个分了	(6500,小杰,再)
 69:16 - 69:36	开起来卡他 个10分钟	(走马灯,レ,孙孙开)
 69:57 - 70:13	妙啊	(妙,],[)
 71:26 - 72:10	喂到嘴里了	(了,嘲讽,喂)
 85:57 - 86:58	主包在前面跑，海南人把三个对手打退了	(看,体验,越)
 92:30 - 95:15	670个走马灯	(走马灯,么,是)
 97:50 - 97:56	主播是日本人什么意思	(中文,？,意思)




 99:19 - 102:29	主播我能进你的监狱看看吗	(],[,了)
 102:36 - 103:05	一路点过去的，那咋了	(自重,一万,一路)
 103:30 - 105:52	所以你到底还是得怪任天堂不管事儿，任天堂要管事儿的，他这种主播早就封号了	(的,雅阁,主播)
 107:02 - 107:17	主播跟哔哩切割了	(急,哔哩,切割)
 107:42 - 111:14	你放啊	(放,的,你)
 114:27 - 116:43	918走马灯是吧主播真有你的	(纪晓岚,？,走马灯)
 117:26 - 118:00	你去纪晓岚啊	(纪晓岚,去,走马灯)
 118:28 - 123:44	主播下播能轮播走马灯视频吗	(カ,タ,了)
 126:30 - 127:56	白胖是一个很纯粹的玩家，他根本不在乎分数	(么,白胖,])
 135:52 - 136:38	这游戏没有聊天功能，你是咋理解他的意思的	(imai,喂,嘴里)
 156:39 - 158:10	你赢了不都说的运气	(了,怪不得,的)
 159:27 - 161:24	好图[花]	(信,不,你)
 161:47 - 162:05	主播没有被通缉吗，那我去看胖哥了[哇][哇]	(英雄,抗日,胖哥)
 162:23 - 162:41	是isun	(7300,是,4399)
 162:45 - 162:57	你看看人家7300的技术和素质	(素质,技术,看看)
 168:27 - 169:40	imai行为	(imai,],[)
 174:44 - 176:06	我玩过初代但是我碰到斧头的时候我和库巴一起掉下去了怎么办	(口技,者,有善)
 176:23 - 177:30	那库巴为什么不用斧头比桥砍了不让你过来	(你,which,guess)
 181:57 - 182:09	不愧是7300	(哈哈哈,一块,變形)
 186:14 - 186:50	技不如雪儿	(不如,°,雪)
 193:30 - 194:36	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(吃瓜,],[)




 197:31 - 197:34	爷孙局	(爷孙,局)
 215:07 - 216:19	游戏逻辑的tick应该是固定的，就是每秒跑多少次逻辑判断固定的	(的,固定,逻辑)
 222:18 - 223:27	d灯顶	(666,蒙,大哭)
 226:02 - 226:37	蘑菇大王	(流行,三蹦子,电影明星)
 233:44 - 234:25	都十几名了  还想咋滴	(金,火箭,多大)
 234:36 - 235:00	晚安[比心]	(比心,],[)
 244:04 - 245:00	后边还在打架，没了	(灯,了,！)
 246:02 - 246:25		(Lakitu)
 246:35 - 247:40	不同的车还有性能差别吗，不就是不同的外观	(羽毛,性能,不同)
 249:17 - 250:48	可以躲蓝龟，你上了10000分就能躲了	(躲,羽毛,蓝龟)
 254:57 - 256:36	提前开乐[哇]	(？,！,打)
 263:32 - 266:15	人家555在哔哩说话好几天了，自己不看弹幕活B该	(士,大戾,了)
 266:24 - 266:40	牙次必bot	(必暴,牙自,呼呼)
 267:55 - 267:57		()
 274:38 - 275:02	孙老二	(技不如人,LOSE,什么游戏)
 277:14 - 279:02	但大金刚的译名倒是在变[花]	(但,花,大金刚)
 283:40 - 284:14	我乐意你管得着吗	(你,我,开开)
 286:48 - 289:29	蓝龟要来寻你了	(666,？,你)
 293:51 - 294:00	你不追他能跑吗	(追,跑,能)
 294:20 - 296:17	主播对粉丝态度好恶劣...我去看宠粉的小桀了...	(了,制裁,...)
 298:34 - 299:46	坏了	(蒙,的,！)
 301:30 - 302:06	因为你被切割了[花]	(被,花,了)
 302:08 - 302:15		()
 302:22 - 303:28	我指的是他自己拿到闪电	(闪电,吃,是)




 303:33 - 303:50	等下就开雷	(就,开雷,没见)
 303:53 - 304:27	好雷	(留,喜欢,好)
 305:27 - 305:54	主播好像一位北京公孙姓的路人	(看吧,15,路)
 310:28 - 314:20	鲁迅是我的好朋友，不许你这么说他	(？,的,蒙)
 318:11 - 319:07	文盲孙孙	(存在,爆头,语文)
 319:39 - 319:49	文化程度不如panga	(程度,文化,panga)
 322:00 - 326:17	主播你这直播间里全是分b不爆的劣质粉丝是有原因的	(你,了,])
 333:32 - 337:30	真技不如人	(了,],[)
 337:53 - 339:07	主播号封了，我是他小号，给我刷	(],[,机会)
 339:08 - 339:18	mun是什么	(mun,mua,什么)
 348:47 - 350:21	蒙的	(的,蒙,?)
 358:39 - 360:24	你昨晚也是这么说的[哇]	(了,说,海南)
 361:41 - 362:21	这把有isun	(尾气,吸,金妙子)
 366:43 - 367:41	又开始卡了	(卡卡,卡,了)
 367:42 - 367:49	每天一卡	(一卡,拔,网线)
 368:33 - 371:08	主播沉浸在自己的艺术里了	(卡卡,了,卡)

