全场最高能：121:00	进罐子失误了

其他高能：
 1:07 - 1:33	哟 来了.	(啊啊啊,！,.)
 1:39 - 1:42		()
 3:41 - 8:12	网易就好了	(比心,],[)
 8:40 - 8:42		()
 19:09 - 20:12	老板大气	(么,了,技不如人)
 21:49 - 23:40	今天都是方块了	(],[,比心)
 26:40 - 28:49	饼饼姐姐早上好喵[比心]	(比心,],[)
 29:03 - 29:19		()
 31:03 - 32:18	主播我能睁眼了吗	(了,哈哈哈,委屈)
 38:18 - 40:22	睡一觉就好了	(么,了,钓)
 42:15 - 43:01	大戾士	(大分,白白,暗示)
 43:37 - 43:49	你什么时候上来啊	(pc,上来,差点)
 43:59 - 44:44	直播准备倒闭一年	(委屈,],[)
 45:30 - 46:03	搭个炮0击杀[哇]	(击杀,搭个,炮)
 49:11 - 51:35	技不如人x50	(该,技不如人,了)
 52:06 - 52:19	这把鱼多	(鱼,多,把)
 58:26 - 59:55	技不如人 ×22	(技不如人,喜欢,雅阁)
 60:04 - 60:07		()
 68:50 - 69:06	super cell maker	(飞舞,野蜂,maker)
 69:52 - 75:35	哇 灯顶	(！,isun,灯顶)
 75:51 - 75:57	这样做图	(做图,这样,？)
 76:36 - 77:55	8000开皇帝	(8000,开,什么)
 78:02 - 78:36	6900开走	(6900,💡,🚶)
 81:37 - 83:10	等的不是你	(等,感化,不是)
 84:47 - 86:13	杰哥就信仰了	(信仰,你,了)
 87:02 - 87:10		()
 87:36 - 89:51	惠普电脑吗	(666,那,咋)
 90:15 - 96:30	好，运气不错	(了,那,的)




 97:07 - 98:26	那我问你  这把他又留了  怎么说	(留,把,这)
 99:18 - 100:53	那咋了	(那,了,咋)
 101:57 - 104:30	有状态你也死了	(了,有,的)
 108:30 - 108:59	因为美图饿了吗可以提供	(],[,比心)
 110:52 - 111:39	人小蓝不也一样卡	(技,不如,也)
 111:54 - 112:38	不如胖哥，会卡	(不如,胖哥,不卡)
 113:33 - 113:59	读图能力不行	(哈哈哈,能力,读图)
 116:55 - 117:36	我小时候玩超级玛丽，我就觉得这里面的蘑菇肯定很有营养，潘长江吃了都直接变姚明了	(我,肯定,倒)
 119:02 - 119:58	我小时候玩的超级玛丽之后，我以为花儿是真的可以吃的，我就把家里养的仙人掌生吃了	(吃,，,了)
 120:37 - 122:32	进罐子失误了	(失误,了,，)
 124:04 - 124:17	咋medal热议厄本那	(厄本,热议,medal)
 127:11 - 127:21	技不如人	(技不如人)
 127:29 - 128:16	笑死了	(？,了,啦)
 137:54 - 139:33	那咋了	(了,咋,那)
 139:50 - 139:56	全是公平圖 胖哥就不用愛牛了	(愛牛,圖,全是)
 142:20 - 142:32	留汤和爱牛有什么区别	(区别,留汤,爱)
 143:02 - 143:11	早[花]	(],[,比心)
 147:07 - 147:38	技不如狗熊	(士,大戾,dog)
 149:05 - 149:57	雅阁了	(雅阁,哈哈哈哈,技不如人)
 157:36 - 158:22	唉 还是maimai好	(哈哈哈,死,士)
 162:17 - 163:07	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(天眼,],[)
 181:10 - 182:05	黑名单里人太多了	(走马灯,请,又)
 184:59 - 185:20		()




 188:00 - 190:40	+1还不满足[傲娇]	(+,你,1)
 190:51 - 193:46	主播怎么都不给麦麦留汤了	(走马灯,了,自己)
 196:19 - 197:13	双手离开键盘的意思	(键盘,离开,双手)
 197:26 - 197:36	3打1	(target6900,3,1)
 201:57 - 203:05	小粉上来了怎么不能喝	(了,小粉,板)
 205:24 - 206:14	保送了	(麦麦,保送,骂)
 207:08 - 207:26	主播最爱的选路图	(最爱,选路,图)
 211:58 - 214:26	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(就是,，,主播)
 215:57 - 216:17	狗熊好人	(好人,狗熊)
 224:33 - 224:46		()
 230:47 - 232:33	西贝说自己战绩可查	(西贝,查,战绩)
 233:45 - 234:47	主播是i库巴	(技不如人,LOSE,库巴)
 242:39 - 243:21	他明天有事	(下,登,有事)
 244:45 - 246:25	经典千本樱要来了	(抽千本,樱,了)
 247:24 - 251:18	你就fayday给我	(你,我,可惜)
 253:15 - 254:53	就应该按有闪电的方法打啊	(了,znmbex,55555)
 257:04 - 257:58	我錯了主播 別封我 我讓你上八千	(你,上,要)
 263:27 - 263:56	有isun扔蓝龟	(蓝龟,扔,isun)
 264:26 - 264:41	再来一把	(一把,再,蒙)
 268:45 - 269:50	今天是520，我陪伴主播大航海的第520天	(520,的,我)
 273:42 - 275:09	谁留闪电到决赛	(？,决赛,闪电)
 275:18 - 275:30	这个终点羽毛无敌	(羽毛,jbrr,无敌)
 285:19 - 287:28	流鼻涕的赢了	(？,了,赢)
 289:17 - 291:00	大局观[妙]	(],[,大局观)




 292:34 - 293:17	电脑打的 一共就五个人，四个在前面	(bot,打,在)
 293:58 - 294:31	主播骂bot了	(自重,骂,bot)
 296:52 - 299:17	这个被蓝龟打的人叫Majo，这不就是昨天蓝不拉叽刷道具给自己刷到第八那个吗	(打,，,的)
 299:28 - 303:53	松饼是胖哥	(松饼,是,])
 307:42 - 309:42	睡一觉就好了	(了,555,好)

