全场最高能：64:17	灯顶吗

其他高能：
 0:30 - 1:58	孙怎早	(比心,],[)
 7:17 - 11:05	今天我在一个马造小主播说可以走马灯不，他说得罪不起不能走[花]	(技不如人,],[)
 14:39 - 14:45		()
 14:59 - 15:44	早啊饼饼	(],[,比心)
 23:33 - 25:25	一溃千里，再起不能[捂脸]	(哈哈哈,LOSE,不能)
 25:31 - 25:37		(10w,一人,结账)
 25:48 - 26:06	超级小桀的日常 进入了直播间	(福袋,小桀,超级)
 26:21 - 26:25		(味儿,那个,才)
 26:55 - 27:12	暴暴牙Z 进入了直播间	(Z,暴牙,暴)
 28:51 - 29:22	拿自己打窝呢	(速速,打窝,x68)
 34:32 - 36:07	主播是bot吗，技不如人类	(贪,bot,，)
 41:59 - 42:32	今晚确实难，都打不死	(难,今晚,确实)
 42:35 - 43:19		(啊啊啊,饼,啊)
 44:43 - 45:56	刚来，技不如人了	(技不如人,还,LOSE)
 47:05 - 48:44	这游戏的爱牛都是冲着杀了主播来的	(杀,都,不)
 51:19 - 53:43	一来就看到登顶	(哇,666,登顶)
 59:45 - 61:03	今天晚上都是砖块了	(🐂,砖块,今天)
 63:05 - 66:59	灯顶吗	(！,？,灯顶)
 69:12 - 69:50	就fayday	(*,2,fayday)
 70:02 - 70:22	回来了都回来了	(回来,大戾,士)
 71:32 - 71:34		()
 71:55 - 74:28	想想就好了总不能好事全让你占了	(加,月,前)
 75:35 - 76:44	主播能解释下 马尿为什么1-1能输吗	(1,⭕,远点)
 77:14 - 78:43	牛车被主播打压了	(牛车,走马灯,ン)
 79:30 - 79:41	蒙的	(吓人,蒙,的)
 83:03 - 83:10	再看看	(反,第一个,🤮)




 84:23 - 86:11	就fayday	(那,咋,领先)
 88:02 - 89:05	主播漏会员了	(大笑,流鼻涕,])
 90:04 - 91:39	那咋了	(了,咋,那)
 93:37 - 94:53	马里奥跟路易基打起来了	(在,正在,他们)
 95:35 - 97:58	好垫	(你,了,垫)
 98:01 - 98:06	哈哈哈哈好	(哈哈哈哈,好)
 100:46 - 102:12	使劲[花]	(大戾,士,戾)
 113:41 - 118:50	最喜欢公平图了	(公平,了,图)
 126:37 - 128:59	倒闭了	(？,了,大戾)

