全场最高能：35:23	这个赞是你点的吗

其他高能：
 2:52 - 4:47	他8000 你不炸了	(了,8000,谁)
 9:07 - 10:24	狗熊都打不过 就会天天碰瓷胖哥爆点黑料了	(狗熊,打,熊)
 16:38 - 16:50	直接把房炸了	(-,古话,有句)
 16:53 - 17:04	才-18吗	(18,-,耶)
 18:44 - 21:51	就fayday	(笑,跟,孙)
 23:25 - 23:33	斑羚飞渡	(γ,α,ᐅ)
 26:11 - 27:03	哇，马灯	(比心,],[)
 27:06 - 28:03	不是倒闭了，是都把你拉黑了	(了,倒闭,7384)
 28:55 - 29:52	不愧是7384	(7384,不愧,比心)
 31:16 - 32:33	一个家庭会员就够了[花]7头牛	(会员,一个,士)
 33:41 - 33:47		()
 33:52 - 36:23	这个赞是你点的吗	(？,你,赞)
 50:59 - 53:07	假仁假义x48	(哈哈,],[)
 55:49 - 56:47	我自认是主播的男性 朋友	(走马灯,朋友,主播)
 57:58 - 58:10	大戾士	(极限,5555,司马昭之心)
 58:57 - 59:10	等不及用闪电电你了	(加纳,超,等不及)
 60:15 - 60:43	为什么滚的是路易不是主播，因为坐不动主播	(主播,是,黑洞)
 62:04 - 62:17	這就是路易	(雅阁,HOW,就是)
 66:20 - 67:37	主播是日语老师	(最速,い,日语)
 67:55 - 68:19	这是出来了	(出来,日本,人)
 70:52 - 72:38	+1机器人	(+,1,优酷)
 74:07 - 74:20	什么时候pjbsb	(巨长,推车,队友)
 79:35 - 79:40	嗤烂分	(嗤,烂,分)
 94:35 - 96:41	你这让我想起了肉眼识别二氧化碳的活圣人	(],[,比如)
 101:07 - 101:19	脸红是没有乙醛脱氢酶	(容易,更,脸红)




 111:14 - 114:58	主播可厉害了[哇]	(主播,了,哟)
 120:11 - 121:21	你是纪晓岚	(？,色盲,了)
 126:35 - 129:45	dr是戒指	(是,大哭,dr)
 135:33 - 136:14	路易：ztmex	(找到,该,卡比)
 136:52 - 136:59		()
 137:13 - 137:15		()
 138:27 - 141:11	嘴脸[dog]	(？,的,])
 145:38 - 146:55	胖哥都5个号8000了	(走马灯,8000,马里奥)
 147:17 - 147:34	得钛金马灯	(这能,钛,金)
 147:41 - 149:43	白胖一次就过了	(了,一次,过)
 150:01 - 152:02	“几条命就过了”“太让我失望了”“这图能过	(了,过,”)
 152:29 - 154:34	投降了，不如胖哥	(！,了,胖哥)
 155:52 - 157:45	主播可以找两头牛，然后一人两牛去日本玩	(可以,日本,两头)
 169:54 - 170:16	这叫开走、你只能看着你team shell进多人，加纳	(你,shell,team)
 171:06 - 171:34	这种图都是海南人给你垫到终点的	(垫,终点,换)
 172:31 - 173:32	蒙的	(666,蒙,的)
 183:13 - 186:50	maimai咋了	(了,？,再)
 189:04 - 189:10		()
 189:14 - 189:18		(道具,一名,最后)
 189:55 - 190:11	都是主播的大局观	(救,大局观,一下)
 193:15 - 193:19	喇叭怎么用掉了	(闪电,呢,馋猫)
 195:23 - 197:16	这也是主播的计划之中吗[哇]	(的,喇叭,？)
 203:53 - 204:00	胖哥考虑	(考虑,胖哥)
 207:25 - 208:01	蒙的	(666,坏,完)
 218:38 - 221:31	蒙的	(的,？,])




 224:32 - 225:05	我吃的[哇]	(猛如虎,一顿,])
 225:44 - 226:56	一直囤着蓝龟/闪电不用的话，下一个应该会来得特别快	(闪电,着,主播)
 228:01 - 231:46	三连登了[花]	(了,？,！)
 236:34 - 237:43	用蓝龟	(蓝龟,！,自己)
 238:38 - 240:11	还是胖哥厉害[哇]	(！,胖哥,好)
 240:25 - 242:36	9000体验卡	(了,！,666)
 242:51 - 243:06		()
 250:34 - 251:18	五连登失败[花]	(了,9000,五连登)
 269:24 - 274:27	受情伤影响，生活作息有点不规律了，闲着也是闲着不如找点事干[委屈]	(],[,，)
 274:35 - 275:01	这种东西网上搜搜不就知道了	(搜,港版,网上)
 275:11 - 275:21		()

