全场最高能：146:07	isun演的太假了

其他高能：
 2:06 - 3:23	牛车都上八千了为什么马灯还没上八千，是技不如人吗	(了,牛车,怎么)
 3:52 - 4:54	主播是怕后半夜bot来寻你吗	(吗,一万,主播)
 5:01 - 5:04		()
 8:05 - 10:34	主播怎么在开牛车是从凌晨播到晚上了吗	(比心,],[)
 11:28 - 11:45	车不行别怪路不平	(别怪,不平,路)
 17:34 - 18:38	来看我最喜欢的力气主播老牛拉车了	(主播,吃,蘑菇)
 19:30 - 21:53	刚来，怎么今天这么早就牛车，是因为马造技不如人心态爆炸不玩了吗	(技不如人,了,已经)
 24:04 - 26:30	好x6	(了,结束,？)
 29:35 - 31:01	确实结束了技不如人	(技不如人,结束,了)
 36:31 - 36:45	主播为什么不吃道具	(不吃,喇叭,大)
 37:10 - 38:34	可惜了	(？,运气,HOW)
 39:02 - 39:14	周末全是牛车吗	(爱孙红龟,周末,全是)
 39:18 - 40:28	“第一不要了”，你也抢不到啊	(士,大戾,戾)
 41:47 - 42:33	panga来了	(来,い,panga)
 47:42 - 50:18	主播好久不玩宝可梦了，是打不过阿尔宙斯吗	(],[,比心)
 51:09 - 51:55	主播target8000了吗	(罢工,有,就)
 53:00 - 54:35	这图被闪电劈了走右边好，判定低排名实际靠前可以拿好道具	(可惜,劈,好)
 54:40 - 54:50		(帅气,来,胖哥)
 57:44 - 58:37	受不了了，这直播间怎么这么多人黑胖哥	(哥,黑胖,受不了)
 58:49 - 60:22	受不了了，这直播间这么多黑胖哥的	(，,忘,了)
 60:30 - 60:35	百分之五十	(百分之五十)
 62:24 - 65:43	主播开了 每次卡都有他	(卡,了,主播)
 68:00 - 68:06	主播的鼻子很灵[花]	(很灵,鼻子,花)




 71:59 - 72:06		()
 73:40 - 75:20	技不如人，就指望道具抬一手	(ztmex,LOSE,最后)
 75:24 - 75:31		()
 75:52 - 76:57	强图	(瀑布,强,庐山)
 80:31 - 83:07	提前技不如人	(你,了,，)
 89:04 - 90:41	戾气来了	(哈哈哈,了,大笑)
 91:31 - 92:04	怎么有个cxk	(cxk,赛,拉戾)
 94:32 - 96:18	要是在臭水沟被电就好了	(了,],[)
 99:11 - 99:46	你在干嘛呢，为啥不用panga躲闪电[dog]	(喜欢,缺钱,不帮)
 102:35 - 103:48	电+龟该来了	(该,士,大戾)
