全场最高能：196:18	技不如人，该说什么

其他高能：
 1:11 - 2:23	饼饼早唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉唉啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,唉,饼)
 5:38 - 8:14	煮波死了我还搞黄谁的直播间	(比心,],[)
 11:28 - 12:17	那主播的无敌怎么不开	(杀,怎么,开)
 18:13 - 18:19		(嘲讽,b,小粉)
 20:32 - 21:55	陕西雅阁做的图，简称西雅图	(],[,图)
 25:13 - 25:42	遇见好人了	(好人,u,6666)
 26:20 - 26:41	走马灯	(走马灯)
 28:37 - 28:45	大戾士	(士,大戾)
 28:53 - 29:54	你不是选对了吗[dog]谁让你掉下来的	(士,大戾,你)
 31:34 - 33:18	昨天没播是制造台风去了，主播太坏了	(了,因为,，)
 36:26 - 37:09	晓岚极限喝汤	(喝汤,极限,晓岚)
 38:29 - 39:24	每次卡都有主播 主播关了吧	(每次,坏,了)
 45:54 - 46:00		(白胖,不如)
 50:03 - 50:15		()
 50:32 - 50:40	好在哪	(一会,太好了,小心)
 51:44 - 53:42	變形主播技不如人	(漂亮,别怪,不行)
 55:24 - 56:32	蒙的	(的,fayday,蒙)
 65:52 - 67:36	主播你是不是操作变形了	(导游,黑,带)
 68:04 - 69:49	小粉：我狠狠地搞了这个路易一把	(冲刺,请,技不如人)
 70:05 - 71:51	但是你技不如人	(7400,技不如人,不愧)
 72:06 - 73:23	大戾士	(史进,哈哈哈,士)
 73:34 - 77:50	他开了你也不拉黑，不就是因为你知道是自己开的吗	(了,，,的)
 78:08 - 80:36	主播主播，走马灯是什么	(走马灯,],[)
 82:51 - 85:32	因为主播技不如人啦[哇]	(？,了,路易)




 88:33 - 90:10	因为你技不如人	(你,？,了)
 92:06 - 92:13	走马灯	(走马灯)
 92:46 - 92:57	找个状态用无敌时间不就过去了	(的,！,时间)
 94:38 - 94:42		()
 96:28 - 96:34		()
 96:44 - 96:56	合影不亏	(合影,汤,有)
 99:47 - 101:49	好垫	(的,你,这)
 103:20 - 103:36	搞你的是爱牛，和人家又没关系，搞他的是你的爱孙，你占理吗	(搞,，,你)
 105:05 - 105:17	蒙的	(蒙,差点,的)
