全场最高能：58:30	好图

其他高能：
 1:41 - 2:23	孙怎早	(一天,比心,])
 5:50 - 6:21	兰兰早上好[妙]	(选择,豪,自尽)
 6:56 - 6:59	倒闭了	(倒闭,了)
 7:24 - 7:54	昨天的舰长还在吗	(生日,昨天,吗)
 9:45 - 11:36	台风寻	(风寻,主播,台风)
 12:51 - 13:32	日本人都拉黑你了	(黑,拉,了)
 13:34 - 13:43	那你能先把爱孙拉黑一下吗	(孙拉黑,没想到,排)
 15:03 - 15:40	林失误	(失误,林,0)
 19:44 - 19:49	林失误	(粉忠,林,失误)
 20:04 - 21:28	主播的大号8000分了吗	(了,辛苦,是)
 25:02 - 27:08	對不起，又看了一下是路易炸的，主播是小紅	(-,],[)
 27:49 - 28:38	雅阁欢迎您	(大笑,雅阁,合影)
 31:47 - 31:54	好图	(ztmex,哈哈哈哈,题库)
 38:07 - 40:40	主播已经切割哔哩了[委屈]	(],[,比心)
 42:41 - 47:47	再发 技不如人的，封了	(啊啊啊,],[)
 48:01 - 50:29	不是技不如人	(技不如人,了,小粉)
 50:41 - 51:11	白胖阴德有几头牛那么多，你有吗	(你,阴德,饼)
 57:48 - 59:51	好图	(哈哈哈,哈哈哈哈,哈哈)
 65:33 - 65:41	不會使用拉黑功能	(出来,把,pange)
 70:53 - 71:48	好图	(哈哈哈,哈哈哈哈,不是)
 75:55 - 76:31	杀第一	(切,不吃,杀)
 76:44 - 76:52	不吃又要怪杀第一 都给你懂完了	(不吃,杀,都)
 77:51 - 79:20	好图	(！,fayday,就)
 79:22 - 79:26		(做个,夹,切片)
 82:06 - 82:38	ztmex，smzz，fayday	(？,ztmex,爱牛)
 89:18 - 89:32	倒闭守恒	(网络,守恒,问题)




 90:31 - 92:30	主播技不如人打不过就拉黑	(钢铁,太好了,了)
 102:06 - 102:37	杰哥来了早过了	(？,?,了)
 103:21 - 104:09	要不人家卖的是电脑，你卖的是采集卡呢	(卖,倒闭,是)
 106:35 - 109:30	凭什么这种图你就马里奥了	(必赢,了,哈哈哈)
 110:55 - 111:49	蒙的	(蒙,的,？)
 113:45 - 113:59	操作变形	(变形,操作,HOW)
 115:14 - 115:59	直接睡觉，松饼姐姐晚安[花]	(],[,比心)
 119:58 - 120:44	好像只有一个道有	(？,士,大戾)
 121:22 - 124:13	他在刷视频，浪费的只是你的时间，快过了吧	(一秒,他,最后)
 124:30 - 126:24	那你这个就是小号了	(了,小号,8000)
 127:47 - 128:51	切，刚才人家吃你好几局分了，以为大家没看见是吧	(●,・,逼)
 137:36 - 139:34	好柿子干得好	(哈哈哈,好,对)
 139:38 - 139:54	天天跟白字同台竞技，还打不过，难怪一辈子被胖哥踩在脚下	(，,都,脚下)
 140:36 - 141:20	竹子啊	(牛车,竹子,倒闭)
 142:53 - 144:24	名字不告诉了	(？,了,666)
 145:29 - 145:33	一千连胜就到8000了	(1,一千,null)
 145:49 - 145:54		(牛车,哇,])
 148:17 - 148:22	[手机]	(1,:,2)
 148:58 - 149:12	倒闭了 拉车	(了,倒闭,自定义)
 149:27 - 149:49	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(了,主播,寻龟)
 150:12 - 151:10	我小时候打康乐棋，同学就说我是高手不带我玩[委屈]	(鱿,我,55555)
