全场最高能：131:47	主播太正能量了 送三个队友到终点自己不上去

其他高能：
 3:21 - 4:54	被同一只鬼杀死2次	(啊啊啊,次,饼)
 9:19 - 9:26		()
 10:03 - 10:19	馬燈節都連續狂歡兩個月了你才問	(才問,月,兩個)
 10:45 - 11:59	白胖早8000了 主播7000卡2年了吧	(了,走马灯,喂)
 12:15 - 12:23	pangga大人不记孙子过	(不记,大人,pangga)
 12:43 - 16:22	主播，豆汁儿到底什么味儿	(豆汁,儿,鸡蛋)
 16:34 - 16:57	我去北京吃了涮肉，料碗的確不錯	(四合院,確不錯,料碗)
 20:42 - 21:37	fayday是什么意思	(？,it,s)
 21:46 - 24:00	好睡	(你,了,比心)
 24:02 - 24:35	[妙][妙]	(妙,还,uber)
 26:02 - 27:23	那咋了	(fayday,多练,鱼)
 30:39 - 32:00	不愧是6999	(坏,路易,jiayouba)
 33:49 - 34:39	蒙的	(！,饼,孙)
 38:43 - 40:28	孙子联合isun打压耀西	(汪,fayday,汪汪)
 42:22 - 42:49	主播今天屁股还好吗	(啊啊啊,屁股,还好)
 42:55 - 43:07	活路说是	(活路,絕望,希望)
 43:29 - 45:33	技不如人[花]	(第一,杀,昨天)
 47:27 - 48:34	技不如人，睡觉	(睡觉,鱿,技不如人)
 48:58 - 51:22	一来就看见准	(电脑,不如,了)
 53:19 - 54:02	fayday杀第一	(蒙,的,?)
 57:22 - 58:26	要饭碗打工还是厉害	(噔,8,+)
 59:59 - 62:35	主播为什么panga从零开始打的小号都7000了你还是7000	(],[,狗熊)
 67:46 - 70:05	技不如人x13	(比心,],[)
 70:39 - 70:46		()




 72:39 - 75:02	因为你技不如人	(你,技不如人,狗熊)
 77:17 - 80:08	主播，你什么时候放黑屋里的人啊，今晚会放吗	(了,倒闭,出来)
 80:54 - 81:30	为什么人家能世界第一	(走马灯,为什么,能)
 82:30 - 82:51	喝高汤	(喝高湯,专业,车尾灯)
 83:01 - 83:06	手什么	(？,什么,衰神)
 83:40 - 85:30	太好了[dog]	(太好了,了,那)
 90:43 - 91:01	大戾士	(大戾,士,信仰)
 91:07 - 91:17	9fayday	(沟,my,it)
 92:55 - 93:04	雅阁	(雅阁,大戾,士)
 100:34 - 100:37	尿怪尿	(尿,尿怪)
 102:20 - 102:30	小库巴:我是不是奔奔	(奔,我,回答)
 102:36 - 102:40	作者没给奔奔，主播不高兴吗	(奔,高兴,作者)
 102:47 - 102:55	自重	(比心,],[)
 103:02 - 103:48	主播是不是玩不起，遇到8000就拔线	(8000,U,主播)
 104:00 - 104:12	那咋了，你是不是羡慕嫉妒恨	(嫉妒,是不是,咋)
 109:03 - 109:45	技不如人，读图不如白胖，操作变形，戾气太重	(好,技不如人,，)
 110:55 - 111:56	3个人都守不住，技不如人	(技不如人,不如,狗熊)
 115:25 - 116:29	马里奥出来把孙孙举了抢肉	(大哭,],[)
 116:41 - 117:20	这么好的名最白的真的不多了	(真的,的,？)
 118:03 - 119:26	别人摸旗子会不会让你加分少一点[捂脸]	(骂,别人,])
 119:54 - 120:27	别人用无敌时间摸旗有什么加成吗[哇]	(该,多掉,分低)
 123:05 - 124:39	胖哥来怪就找胖哥去了	(嘲讽,加油,找)
 127:23 - 128:46	主播疯了	(对,主播,不尬)




 129:07 - 130:05	主播多骂点 我也要出来了	(走马灯,能量,，)
 131:01 - 134:21	主播太正能量了 送三个队友到终点自己不上去	(！,主播,能量)
 134:28 - 135:47	第一件事走马灯，第二件事卖电脑	(主播,快乐,，)
 141:54 - 142:16	折磨卷轴	(就别,卷轴,折磨)
 144:22 - 144:27	奇怪也是严父	(相信,严父,感觉)
 144:42 - 145:02	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(比心,只是,])
 158:52 - 159:40	主播嘴干净点说不定就有好运了	(大戾,士,好运)
 166:11 - 166:44	主播你技术不如我之前看的kazelink啊，他都7800了	(啊,主播,连胜)
 166:52 - 167:22	主播你技术不如之前我看的懒懒的白胖呀，他都8000了	(主播,之前,好)
 169:41 - 170:43	太有生活了 这图	(孙不举,之,好图)
 173:54 - 174:48	不如狗熊	(],[,不如)
 176:26 - 177:12	路易逼的	(比心,],[)
 178:50 - 178:56	害人终害己了	(终害己,害人,了)
 182:23 - 183:20	等扣一局10分睡觉了💤	(睡觉,自重,了)
 187:37 - 190:12	那个说输10分睡觉，可以睡了	(！,落落,，)
 194:59 - 195:30	被秀了	(还,了,晃)
 200:15 - 201:34	好图	(走马灯,哈哈哈哈,了)
 204:37 - 204:44	大戾士	(无汤,日,世界)
 205:13 - 205:28	饼儿，我已经好几天没听到法拉利的故事了	(法拉利,饼儿,几天)
 209:39 - 211:04	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(？,了,666)
 212:19 - 213:42	技不如狗熊	(不如,，,技)
 217:36 - 217:55	一直死一会你就玩脱了	(死,脱,一会)




 218:03 - 218:35	你就别复活了，搞得跟真的一样	(复活,搞,跟)
 219:35 - 220:36	不如开团 好无聊	(过,时间,好)
 221:21 - 222:20	凭什么 因为你在这带节奏	(凭,节奏,带)
 222:34 - 222:36		()
 222:44 - 223:01	艾斯比的	(艾斯比,的)
 225:01 - 225:13	666	(666)
 229:11 - 230:36	技不如人找借口	(技不如人,了,找)
 233:28 - 234:26	又拿自动图糊弄你爹	(666,！,6900)
 234:28 - 235:19	6900 灯顶了	(！,走马灯,就)
 239:32 - 240:50	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(？,可以,坚持)
 241:08 - 243:19	素质主播关注了	(b,嘲讽,素质)
 246:50 - 247:33	自重吧	(自重,？,你)
 248:40 - 249:07	戾气太重	(太重,气,戾)
 249:50 - 249:53		()
 250:18 - 250:20		()
 254:46 - 255:18	为什么不计算戾气重量	(那轻,重量,计算)
 257:38 - 258:26	都来了	(哈哈哈,来,好)
