全场最高能：239:37	第二你还开上香槟了

其他高能：
 6:41 - 9:24	[dog]打工人翻身了	(啊啊啊,],[)
 9:32 - 10:47	饼早[比心]	(比心,],[)
 10:51 - 11:24	那坏了，我眉笔[委屈]	(那坏,眉笔,就行了)
 11:30 - 11:36		(一种,品牌,金河田)
 11:49 - 12:26	没有方块时间，好耶	(历史,视频,看过)
 14:36 - 14:40	蒙的[花]	(击败,大,还有)
 15:37 - 15:50	坏了真是新人	(新人,真是,坏)
 16:16 - 18:37	我就“金河田”和“热熔胶”不知道什么意思了，是时候找个机会恶补一下了	(热熔胶,啊啊啊,])
 20:10 - 21:02	主播可以介绍一下四个角色的技能吗	(太紧,逼,小蓝)
 21:21 - 22:59	榜一姐姐在回消息[花]	(],[,比心)
 29:12 - 30:19	我看日本那边直播几乎都是秒匹	(比心,],[)
 31:49 - 32:32	雅阁x45	(雅阁,哈哈哈哈,技不如人)
 34:24 - 35:31	你实力比我强 我开点科技平衡一下水平怎么	(可惜,，,你)
 37:14 - 38:04	主播我是isun怎么屠杀爱牛	(不能,怎么,timing)
 39:31 - 40:33	这图可以的	(！,这图,终点)
 41:27 - 42:57	究极折磨	(玩,折磨,这图)
 46:37 - 48:14	你明明可以用无敌时间过	(你,无敌,时间)
 49:14 - 49:21	沙市爱牛	(沙市,爱牛)
 49:34 - 49:47	马里奥干嘛呢	(蒙,的,马里奥)
 50:02 - 51:21	这回有库也赢不了了[dog]	(了,],[)
 57:08 - 57:31	蒙的	(好,现在,今天)
 57:41 - 59:24	松饼外接了gpt和ds，就是这么智能	(？,松饼,这么)
 60:19 - 61:23	飞机好走位	(？,哈哈哈,666)
 62:44 - 63:33	吴迪：唉	(无敌,吴迪,不过)




 64:05 - 66:17	好图	(？,了,流鼻涕)
 67:35 - 67:56	流鼻涕了	(流鼻涕,讀圖,几点)
 68:09 - 68:15	读图能力太差了，没有题库就选不对	(就,选不对,太差)
 71:40 - 72:05	嘲讽bx28	(嘲讽,加油,吧)
 74:27 - 76:05	红名都把你拉黑了吧	(了,红名,黑)
 76:24 - 80:19	joe fayday shady	(了,胖哥,上)
 84:43 - 87:23	1-1永远技不如人	(1,主播,了)
 91:46 - 92:22	好顶	(好,吧,合作)
 101:37 - 101:57	谁让你纪晓岚的	(纪晓岚,让,谁)
 109:48 - 111:21	你的ztmex呢	(好,哈哈哈哈,了)
 114:43 - 116:49	主播戾气好重，我去看卖电脑了	(了,主播,白化)
 118:17 - 120:09	流鼻涕了	(谢谢,了,实力)
 126:42 - 127:13	taxi了	(-,taxi,名)
 132:37 - 135:53	那咋了	(了,],[)
 141:46 - 142:05	鼻涕流麻的赢了	(？,x11,流麻)
 143:53 - 144:06	坏比	(比,坏,不装)
 145:26 - 145:46	md	(md,哈哈哈,？)
 146:02 - 148:05	和雅阁关系好和解了是这样的	(哈哈哈,开,的)
 148:13 - 148:44	主播还是不会用无敌时间摸旗子	(难怪,主播,先过)
 149:56 - 150:23	带头套不出	(藏,B,撬锁)
 154:05 - 154:12	平局放弃的会扣分吗	(扣分,平局,放弃)
 157:20 - 157:58	不是 请到这边来	(以德报怨,cfb,这边)
 158:23 - 158:48	上下颠倒左右不颠倒吧	(颠倒,上下颠倒,左右)
 160:51 - 160:59	fayday了	(未必,太好了,谢谢)
 164:02 - 164:54	kill说是	(kill,说,一秒)




 167:36 - 167:45	今天有牛车环节吗	(环节,牛车,今天)
 168:12 - 168:28	玩蜡笔小新咋了	(咋,蜡笔小新,玩)
 168:38 - 168:54		(比心,],[)
 175:11 - 176:49	不过这倒是真的技高一筹了	(？,骨气,媳妇)
 178:19 - 179:53	主播跟八千之间起码差了三个牛牛的差距	(走马灯,卡,了)
 181:48 - 182:24	玩明白的人先打工	(？,先,打工)
 183:43 - 185:30	这就是7000分的实力吗，把对手都打服气了	(把,对手,了)
 188:56 - 188:58		()
 190:41 - 192:50	主播主播我家公司也倒闭了你能借我八千块钱应急吗[大哭]	(八千,我,主播)
 194:33 - 195:45	路易天才一眼通关	(天才,哈哈哈,走马灯)
 195:49 - 195:52	大戾士	(士,大戾)
 200:33 - 201:57	小粉也不给你留汤了以后	(马灯,不,号)
 202:07 - 202:18	今天这个点了马灯都没倒闭啊	(添柴,点,倒闭)
 205:52 - 206:10	话说最近怎么没看到maimai	(isun,紫蝴蝶,话)
 206:25 - 206:29		()
 207:34 - 210:23	马里奥必赢图最公平了，每个人都有1/4当马里奥	(公平,大哭,])
 212:21 - 214:46	啊，有了你不是女的	(女,？,你)
 216:39 - 220:32	技不如人啊	(？,技不如人,主播)
 222:01 - 223:31	摆烂了	(？,哇,])
 228:58 - 229:38	按道具键加快刷新道具速度是按一下就有用还是按的越快刷的越快	(按,越,道具)
 229:48 - 229:58	这下信了吧	(不信,哈哈哈,这下信)
 235:48 - 235:50		()
 238:44 - 241:20	第二你还开上香槟了	(？,第二,你)
 249:36 - 250:38	小松鼠就是四饼	(！,666,马灯)




 257:29 - 258:16	不同车怎么还有差别的	(食物,鱿,怎么)
 259:09 - 260:57	好好好	(看不清,鱿,啦)
 268:10 - 270:48	孙孙 在这么装 我让爱牛狙击你了	(了,那,吗)
 276:13 - 277:14	等你第一就来了	(凭,了,等)
 278:56 - 280:27	我发现了啊，技不如人	(因为,了,8807)
 283:35 - 285:27	人家战队 人缘好	(战队,人家,好)
 289:05 - 289:08		(难道说,666)
 289:21 - 291:29	哇 灯顶[哇]	(！,哇,因为)
 293:18 - 293:32	好结局	(好,哈哈哈哈,哈哈哈)
 293:51 - 294:57	主播直接摔到了屠宰场的流水线上，进去的时候是牛，出来就是肉眼里脊和牛肚了	(扶,站不起来,，)
 300:05 - 300:32	大戾士	(Bota,人家,笑)
 301:44 - 301:46		()
 314:13 - 314:18		()
 315:25 - 315:33		()
 322:37 - 325:04	来了	(了,变形,操作)

