全场最高能：169:46	这0.05s差距在哪

其他高能：
 1:57 - 2:21	中秋快乐	(中秋,快乐,！)
 2:29 - 2:40	松饼姐姐中秋快乐	(比心,饼,快乐)
 3:49 - 5:01	孙中秋不讲个限定故事吗	(比心,？,])
 9:11 - 10:27	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,早)
 12:22 - 12:38	好人	(？,技不如人,打工)
 14:53 - 15:24	走马灯	(走马灯)
 15:52 - 15:58	这是噶了	(噶,这,是)
 18:34 - 18:43		()
 18:56 - 24:53	主播不用玩了说是	(了,],[)
 25:03 - 25:25	明年就给主播做奶油月饼[花]	(齁,明年,奶油)
 27:09 - 27:33	蒙的	(的,蒙,孟德)
 36:04 - 42:09	主播也是吃上🥮了	(],[,亲亲)
 43:11 - 43:45	主播主播我想换个八千块钱的电脑需要花多少钱啊[傲娇]	(钱,多少,主播)
 44:48 - 46:08	宋哥在外面早赢8000局了	(了,宋哥,哈哈哈)
 48:55 - 49:06	饿啊	(加油,吧,饿)
 49:18 - 54:17	日本人都把你拉黑了	(了,你,是)
 60:53 - 62:55	哔哩被主播打压了，大伙该卖电脑了	(了,那,咋)
 64:29 - 64:53	路易是l诶	(走马灯,能输,用户名)
 65:42 - 65:49	堵路了	(isun,堵路,喂)
 65:58 - 67:37	哇这个守门牛啊，把马里奥都卡的没汤了	(了,喂,嘴里)
 70:57 - 71:45	通通我的	(？,的,我)
 72:33 - 73:57	上了8000要点赞	(走马灯,上,了)
 78:11 - 78:23	蒙的	(蒙,的,跟)
 78:27 - 78:49	孙大笑	(嘿嘿,孙,发笑)
 83:08 - 84:05	就这	(的,流鼻涕,？)




 84:11 - 84:26	装不会骗人进来	(骗人,进来,装)
 87:01 - 87:12		()
 87:30 - 87:35	风寻林克不是在日本当职员呢吗[哇]	(吗,职员,风寻林克)
 107:25 - 107:35	都是设计好的呀	(设计,好,呀)
 108:02 - 110:24	雅阁了	(雅阁,只,蒙)
 112:40 - 113:43	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(蒙,的,蓄戾)
 113:51 - 115:34	雅阁了	(雅阁,了,爱)
 119:50 - 120:10	喜欢吗	(哈,哈哈哈,哈哈)
 130:59 - 131:19	这幽灵白白胖胖的	(叮咚,破产,幽灵)
 133:09 - 133:40	溜边主播	(666,孙怎秀,溜边)
 145:49 - 146:04	不用	(不用)
 148:19 - 148:32	不如你胖哥	(不如,胖哥,你)
