全场最高能：134:56	好好好

其他高能：
 6:27 - 7:45	不好就对了	(上,需要,羡慕)
 8:42 - 9:47	就要灭松饼	(？,蒙,举人)
 12:19 - 15:05	你认错饼饼了[花]	(啊啊啊,饼,])
 21:58 - 22:08		()
 22:20 - 23:38	isun直接退了	(isun,了,哇)
 26:00 - 28:36	那你能帮我要一份他的金河田签名款吗[花]	(藏,你,关系)
 34:07 - 34:19	还有这层关系	(这层,关系,还有)
 34:58 - 36:23	为什么这把只加1	(比心,登顶,])
 43:37 - 44:50	怎么不玩极难了	(吼吼,哈哈哈,味儿)
 45:48 - 46:00	任天堂精选	(精选,任天堂)
 48:05 - 48:42	都玩俩月多人了	(hk,问号,安排)
 51:05 - 51:10		(？)
 51:25 - 51:45	主播就爱玩这种恰烂分的	(主播,爱玩,恰烂分)
 52:15 - 52:26	炸鱼这一块	(善良,废,炸鱼)
 52:45 - 54:30	这个时间拍到的都是4k吗，学会了	(的,。,?)
 54:41 - 54:52	也就是胖哥太强了，上8000被挂马灯上，要是胖哥跟主播一样菜就不会被挂了	(上,挂,就是)
 56:30 - 57:11	演员下班了就别勉强玩多人了，主播	(不佛系,很难,主播)
 59:08 - 59:47	读图不行	(。,读图,不行)
 60:14 - 60:59	技不如人[哇]	(大笑,],[)
 61:43 - 62:09	早安鬆餅	(餅,鬆,早安)
 63:20 - 66:21	说明技不如人	(技不如人,举,了)
 68:24 - 68:36	哟，演员来了，怪不得排这么长时间	(长时间,，,怪不得)
 68:42 - 70:22	主播也就只能超超这种了	(。,也,小蓝)
 76:32 - 76:40		()
 76:48 - 76:50	炸弹丢外面	(外面,准备,炸弹)




 78:46 - 79:13	你能说一句劳资蜀道山吗[哇]	(],[,秦腔)
 80:34 - 80:39	又想把对手打退啦	(对手,打退,啦)
 82:21 - 82:30	粉忠有点矛盾[花]别问了	(别问,矛盾,粉忠)
 89:56 - 90:12	说说还当真	(说,当真,还)
 97:34 - 99:03	嗨呀好生气	(技,好,麦)
 99:10 - 100:14	技不如麥	(技,麦麦,不如)
 101:25 - 101:42	你为什么不在播马造的时间播马车	(？,不在播,你)
 104:10 - 104:31	大流特流	(特流,大流,理解)
 104:59 - 105:08	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(喜欢,踢,墙)
 105:31 - 105:39		(哪去,狗熊,了)
 109:02 - 109:26	叽里咕噜说什么呢	(说,什么,呢)
 111:43 - 112:26	有isun	(isun,这小蓝,牛马)
 118:23 - 118:35		()
 119:41 - 120:27	开了	(？,开,了)
 120:43 - 120:49		(？)
 124:58 - 125:57	笑死，自己带的弹簧	(弹簧,带,大戾)
 126:37 - 126:52	当老板	(史进,当,老板)
 128:35 - 128:44	谁赢的谁来	(谁,睡觉,7000)
 129:20 - 130:37	极限合影	(不如,受辱,不堪)
 133:06 - 133:13	666	(666)
 133:15 - 135:58	好好好	(了,的,哈哈哈哈)
 139:10 - 141:06	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(大戾,士,哈哈哈)
 143:30 - 143:32	我超麦麦喂汤	(超麦麦,委屈,喂)
 144:22 - 146:13	哈气了	(哈气,了,—)
 151:29 - 152:58	必须孬，这图看着都折磨	(？,的,蒙)




 154:28 - 156:37	主播可以开始数了吗[哇]	(了,主播,数)
 157:42 - 158:39	蒙的	(的,不如,蒙)
 158:50 - 159:09	我来当[哇]	(风险,选图,我来)
 161:58 - 162:08	蒙的	(蒙,的,666)
 164:24 - 164:38	不能踩龟壳跳吗	(技不如人,龟壳,跳)
 164:57 - 166:07	你想p呢，上去等车不就过了，人家钻管子都过了	(坐车,啊,！)
 179:41 - 180:34	对抗不行，主播多看看白胖直播吧	(咋,那,了)
 186:12 - 186:36	好kill	(kill,好,！)
 187:37 - 190:07	绝世好图	(你,？,暗恋)
 190:35 - 190:43	乐[花]	(一中,高崎,导游)
 192:17 - 193:20	你看小粉来了再走是干嘛	(糟糕,好图,小粉)
 194:33 - 195:41	多人如果8000分了继续赢还会再加分吗	(吗,主播,尖)
 207:23 - 207:28	那咋了	(杀,，,咋)
 207:38 - 208:45	主播连他和mai的孩子名字都想好了	(豆汁,mai,了)
 213:13 - 213:29	参观颁奖动画	(麦,技,不如)
 215:51 - 216:57	这不是水友吗maimai	(maimai,麦麦,了)
 217:06 - 217:46	好几天前就没有了	(好,第四,嘻嘻)
 218:46 - 220:29	maimai是胖哥	(是,胖哥,不如)
 221:47 - 222:52	一起合影吧	(合影,吧,一起)
 223:49 - 224:58	又红名了	(红,马里奥,了)
 229:01 - 229:59	没人帮他踩p时间到了	(差点,p,踩)
 230:35 - 231:25	就fayday	(大戾,士,那)
 231:48 - 231:57	为什么不落后，是没有大局观吗[dog]	(大局观,落后,没有)
 243:56 - 244:44	这图的视频甚至都好几年了	(maimai,骂,视频)




 245:12 - 245:15		()
 246:47 - 246:56	丝滑[哇]	(丝滑,哇,666)
 250:29 - 251:28	复习一下，看看[捂脸]	(了,？,feiday)
 253:01 - 254:59	你能把maimai垫到，垫到终点Bo	(哈哈哈,哈哈哈哈,了)
 255:08 - 255:18	不敢开口说话怕哭腔了	(开口,哭腔,说话)
 258:09 - 258:44	我现在上号帮你上分	(号,上分,帮)
 259:01 - 259:26	这图单人都能算困难	(头晕,深呼吸,困难)
 260:00 - 261:26	你在干嘛	(？,你,¿)
 264:57 - 266:06	不好意思 ×51	(不好意思,了,流鼻涕)
 268:48 - 270:07	你还想留汤	(？,还,留)
 275:24 - 276:08	坏比小蓝	(逼,走马灯,牛)
 278:04 - 278:36	这是专治第一的公平图	(专治,第一,的)
 279:31 - 280:33	真的感觉有一股人妻味[傲娇]	(味,怎么,一股)
 281:34 - 282:37	看看人家胖哥，都打得过爱牛，你打不过麦麦你还有理了[花]	(你,，,])
 283:35 - 284:44	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进pjbsb群喵[比心]	(pjbsb,欸,哎)
 288:02 - 291:28	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进Fayday群喵[比心]	(？,了,哈哈哈)
 294:11 - 295:03	问题是主包技不如人[花]	(p,技术,你)
 295:39 - 297:02	你空踩p过去之后踩空气吗	(合作,一起,p)
 298:22 - 298:29	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(牛车,今天,没有)
 299:23 - 300:33	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进打工群喵[比心]	(卡,他,走马灯)




 302:35 - 303:35	喜欢主播的话可以走马灯支持一下哦，开舰长可进天眼群喵[比心]	(还,开,天眼)
 303:55 - 304:53	喜欢主播的话可以走马灯支持一下哦，开舰长可进垃圾群喵[比心]	(走马灯,比心,])
 306:34 - 308:10	我就一眼没看弹幕就开始卖电脑了，请弹幕自重	(卖,人设,的)
 312:00 - 312:19	反手还要把砖给你踩了	(反手,砖,还要)
 315:18 - 315:30	还有白白胖胖	(还有,白白胖胖,，)
