全场最高能：262:36	你转弯的时候不要踩那道坎啊，你跃一下根本就没法转了[花]

其他高能：
 7:00 - 7:58	读图不如卖电脑的	(啊啊啊,走马灯,饼)
 8:06 - 9:47	主播早	(],[,比心)
 10:28 - 11:07	雅阁了	(人性,雅阁,图)
 11:22 - 12:16	小红是isun把，人脉上分	(isun,],[)
 12:24 - 12:31	钢铁侠	(侠,钢铁,！)
 12:32 - 12:43	主播要蠕回7000了吗	(蠕回,善良,太)
 12:58 - 15:00	倒闭是不是也是技不如人	(钢铁,osunsun,侠)
 15:51 - 17:11	爱孙流鼻涕	(哈哈哈哈,马里奥,isun)
 21:12 - 21:23		(不行,能力,读图)
 21:59 - 24:08	早早早[妙]	(啊啊啊,],[)
 24:42 - 25:16	2023呢，救一下呀	(偷笑,],[)
 25:29 - 26:05	还是喜欢技术主播没有gg那个时候 唉	(委屈,],[)
 27:43 - 28:05	蒙的	(666,蒙,擦)
 29:08 - 29:56	雅阁了	(读图,雅阁,活着)
 31:19 - 32:57	这游戏怎么变成这样了	(委屈,],[)
 34:22 - 35:00	没东西接着，你不掉下去了吗	(呢,吃,什么)
 38:57 - 39:51	黑化了	(无汤,日,我)
 40:31 - 41:44	狗运	(蒙,的,？)
 43:44 - 44:45	不受这气了 牛车吧	(wer,难受,比心)
 49:42 - 50:17	隔壁有个明天要军训半个月的[花]	(军训,呢,嘲讽)
 54:43 - 55:14	玩过一次 还这么慢 真技不如人了	(技不如人,慢,比心)
 56:33 - 57:21	link ez	(赞,图会点,机制)
 58:43 - 59:18	技不如人[花]	(花,士,大戾)
 61:54 - 62:29	可这不搞个劲爆尾杀，作者太善良了	(不,等,喔)




 62:41 - 62:43	人家都被白胖请来的牛黑化了能等吗	(悠麻志人,请来,黑化)
 64:41 - 64:48	小粉还回来吃饭吗	(回来,吃饭,还)
 65:15 - 65:28	不如被胖哥打退的	(三缺,孙,特流)
 76:59 - 79:14	铁isun	(isun,],[)
 80:10 - 81:27	流鼻涕了	(了,连胜,_)
 95:02 - 95:35	小粉：还不是我赢	(小粉,nb,鬆)
 97:08 - 98:56	读图能力不如	(能力,读图,不如)
 100:57 - 102:07	这把要不是杀第一 你输了	(，,开盘,杀)
 104:26 - 106:50	主播把我放出来，我是人脉	(出来,我,放)
 107:07 - 107:13		()
 108:17 - 109:16	居然是+3	(+,3,九折)
 109:47 - 109:52		()
 114:45 - 118:00	主播也就剩戾氣值能壓人一頭了	(士,大戾,了)
 123:07 - 124:00	好结局	(HOW,该,…)
 124:10 - 125:28	这马里奥一和你排就赢	(技不如人,赢,1)
 126:39 - 128:05	人家maimai好不容易上点分全给你吃了[大哭]	(了,maimai,的)
 129:31 - 133:48	不喜欢主播可以送白胖粉丝牌有机会进雅阁[比心]	(失误,],[)
 139:53 - 142:16	对哦，现在怎么不嘬了[dog]	(了,，,鱿)
 147:45 - 148:07	读图不如胖哥	(湯師父,亏,礼貌)
 148:15 - 148:45	卡比找到了	(了,找到,卡比)
 149:08 - 149:31	多人许可证到期了，请找胖哥续费	(牛车,了,到期)
 156:47 - 158:41	你怎么不用无敌时间摸旗子	(时间,无敌,你)
 159:44 - 161:03	第一马灯都看不见了，还在这互害呢	(笑,马,，)
 163:52 - 164:34	主播主播 去以六月息是什么[哇]	(主播,是,王致和)




 170:40 - 172:04	主播戾气太重 我去看白胖了	(加油,吧,主播)
 173:52 - 174:52	那咋了	(那,咋,了)
 179:37 - 181:40	到时候胖哥送的是NS2，肯定回来卡你	(ns,技不如人,，)
 187:27 - 190:31	如果你是主播要好的朋友 你不用开会员也能进	(是,？,吗)
 193:27 - 194:28	孙孙🥰你的裤子里是汗😮还是袅呢🤗我的天啊😍是袅啊🤪全都是袅啊🥳	(袅,你,啊)
 201:04 - 201:15	小粉流鼻涕	(HOW,流鼻涕,小粉)
 202:28 - 203:15	流鼻涕了	(流鼻涕,技,不如)
 208:27 - 208:58	啥时候出新马造，你就转型和主播竞争[dog]	(],[,花)
 214:34 - 217:27	点了个好垃圾的外卖[傲娇]	(？,甜甜,])
 217:39 - 218:48	这东西很难做的难吃吧，不好吃的话，那你可太幸运了[dog][dog][dog]	(dog,赢,])
 220:47 - 222:01	主播你可以把这个哦麦麦拉黑一下吗	(8000,imai,情人)
 222:47 - 223:18	主播也就赢赢这种图了	(？,赢,了)
 225:03 - 226:34	妙子有吃过主播的烧鸟吗[哇]	(烧,鸟,吃)
 227:30 - 227:52	这图可阴间了	(没用,阴间,忌讳)
 228:37 - 230:05	就那个是汗还是袅的弹幕被举报了，直接低俗封禁一天	(开始,了,走马灯)
 230:51 - 235:18	切割了	(了,主播,切割)
 242:50 - 243:11	你明明可以开出界躲蓝龟	(你,士,大戾)
 246:09 - 246:19	是爱牛吗	(HOW,爱,牛)
