全场最高能：53:06	倒闭了

其他高能：
 1:52 - 2:13	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,饼,啊)
 8:47 - 13:33	孙孙你害苦我了，昨天看你直播被引去看了走马灯，对角线，觉都没睡，还上了一天班	(了,，,你)
 21:55 - 23:19	好  以后开播就牛车	(技不如人,了,好)
 29:38 - 30:27	技不如人x3	(技不如人,fayday,打)
 37:08 - 37:25	舒服了	(舒服,花,[)
 38:01 - 38:27	孙连末	(?,孙连末,流鼻涕)
 38:46 - 38:54	321打雷	(？,呃,isun)
 40:41 - 43:32	因为你技不如人	(了,技不如人,流鼻涕)
 44:02 - 47:38	让你数不就白劈了吗	(了,[,])
 52:05 - 54:48	倒闭了	(？,。,技不如人)
 62:05 - 62:08		()
 62:36 - 62:55	出了名的快，至于吃不吃龟壳，流不流鼻涕，那你别管	(，,流鼻涕,是)
 66:44 - 67:42	烂尾结局	(！,了,烂尾)
 70:38 - 71:02	糊涂啊	(⚡,糊涂,么)
 71:04 - 71:29	被打压回来了[哇]	(技不如人,燈底,心乱)
 80:55 - 83:12	你现在还不如用小uu的时候分高，好嘛，这车是debuff	(你,9000,胖哥)
 91:30 - 92:29	孙孙这么喜欢奶牛是有什么理由吗	(是,概率,[)
 93:25 - 94:57	该[哇]	(该,哇,[)
 99:59 - 101:01	那咋了	(了,好,该)
 103:28 - 105:00	卡比找到了	(了,卡比,主播)
 115:19 - 115:31	好	(好,？)
 115:39 - 116:50	胖哥刚刚获得了实验幼儿园的小红花，你能吗	(了,都,开心)
 119:04 - 121:05	技术太差了 不如胖哥	(了,鱿,？)




 128:47 - 131:04	主播为什么找爱孙都输了，人家白胖找爱牛就能上8000，是不是技不如人	(kazelink,技,大圣)
 139:15 - 142:09	主播心态真好，一句话都不说	(瀑布,望,庐山)
 142:47 - 143:01	真人打不过所以排bot了	(排,一定,所以)
 145:48 - 145:58	那不至于，我真技不如人[花]	(不至于,真,打压)
 150:57 - 152:06	又被打压了	(好,打压,蜂寻)
 161:19 - 162:58	绝世好电	(好,喜欢,忌讳)
 167:01 - 168:47	主播要是你的声卡坏了建议送到小杰那里去修一下	(哈哧,修,走马灯)
 172:05 - 172:52	主播在等蓝爹	(要么,蓝龟,名次)
 173:16 - 173:27	主播今日对第一袖手旁观	(蓝电,麦坏,电胖)
 173:35 - 174:29	好多爱牛	(第,+,爱牛)
 174:56 - 175:27	好，最后一名发力了	(咯,来,好)
 177:40 - 179:53	进了决赛就能灯顶	(灯顶,！,了)
 182:18 - 183:04	大蘑菇	(蘑菇,大,三)
 187:38 - 188:38	好好好	(好,寻,胖哥)
 189:28 - 191:52	哇 灯顶	(！,了,？)
 194:18 - 194:48	那叫资源分配懂吗	(那,资源分配,全看)
 199:10 - 199:48	大戾士	(好,就行,只要)
 205:25 - 205:26		(秒,开个,10)
 205:37 - 206:31	那咋了	(妄想症,被害,咋)
 206:42 - 206:55	道理都懂,爱不释手	(道理,,,懂)
 210:10 - 210:55	赢了	(赢,LOSE,了)
 216:12 - 217:31	今天心情有好点吗	([,],比心)
 218:34 - 218:44		()
 219:11 - 219:42	我还以为声带落雅阁里了呢，主要是这也没到孙孙睡觉的点呀，他不白天睡的吗[傲娇]	(的,红,没到)




 220:14 - 222:43	别想好说是[花]	(道具,北京,吃)
 223:30 - 224:44	孙孙我可以喝你老北京鸡肉卷里流出来的豆汁儿吗	(出来,，,吗)
 225:33 - 225:44		()
 225:53 - 225:58		()
 226:18 - 227:56	能解答我知道问题吗[哇]	(回头,[,])
 230:21 - 232:28	第一没什么好道具，偷第二是对的	(未来,冠军,好)
 234:53 - 235:33	主播主播柳田樱能吃腐乳了[哇]	(手柄,[,])
 237:33 - 237:51	主播什么时候学的用无敌时间躲蓝龟	(采集卡,学,的)
 241:06 - 241:46	蒙的	(666,蒙,的)
 251:47 - 253:47	好香蕉	(哈哈哈,好,哇)
 262:08 - 263:52	你只能看着胖哥马灯，加纳	(最后,耻辱,一局)
 271:47 - 272:30	笑死我了	(？,了,笑)
 273:53 - 275:01	丸辣要拜拜了	(！,666,白白)

