全场最高能：281:18	主播你开的这是棺材吗

其他高能：
 1:09 - 2:03	这么早	(早,？,这么)
 2:32 - 2:42	牛怎早	(孙怎早,晚饭时间,第一回)
 3:04 - 4:13	今天播这么早不过是我的任务罢了	(早,这么,今天)
 6:40 - 7:36	输了没互动，大概率女主播代播[妙]	(],[,比心)
 9:17 - 9:21		()
 9:40 - 10:05	下午好	(比心,下午,么)
 10:06 - 10:19		()
 10:38 - 10:54	孙怎早	(张嘴,诶,早播)
 14:39 - 15:00	细节减速换人	(换人,减速,️)
 17:31 - 19:19	是不是昨天跟胖哥申请多人许可证被捅嗓子了	(技不如人,LOSE,比心)
 28:02 - 29:36	哇，灯顶	(？,！,灯顶)
 33:16 - 34:08	大戾士	(大戾,士,咋)
 36:47 - 38:59	今天好早	(啊啊啊,今天,有)
 44:37 - 46:15	今天怎么这么早播，你有什么头绪吗	(？,，,轰轰)
 47:01 - 48:56	很明显的技不如人	(技不如人,了,鱿)
 53:34 - 54:18	不敢看每次被打了用无敌道具	(用,打,了)
 57:44 - 59:25	好结局	(舒服,大戾,士)
 60:37 - 61:36	卧槽真海南人来了	(了,真,iniu)
 62:15 - 62:21	可惜了	(差点,可惜,了)
 63:37 - 65:07	你看，爱牛	(哈哈哈,爱牛,伴娘)
 66:15 - 66:54	好电	(你,的,老末)
 67:17 - 67:29	LOSE	(LOSE)
 70:20 - 70:55	最近排到很多本地双人玩家	(tm,？,自重)
 71:37 - 72:18	爱不惜手	(生活,管蓝龟,还要)
 78:30 - 78:32		()
 79:35 - 81:34	白胖的娃已经会玩马里奥了[比心]说不定再过几年就来堵主播了[比心]	(？,了,])
 81:49 - 82:48	可惜了	(！,灯顶,可惜)




 84:31 - 85:05	还有卖电脑杀手	(走马灯,],[)
 85:21 - 85:26	任天堂这发育不完全的赛车游戏一点也不公平	(不,公平,赛车)
 89:13 - 89:59	那咋了	(蘑菇,咋,那)
 95:00 - 95:15		()
 96:54 - 97:22	其实是我雇的人发力了[花]	(蒙,了,的)
 100:03 - 102:07	这是不是技不如人	(？,了,HOW)
 110:50 - 111:19	舒服了	(舒服,瀑布,了)
 120:18 - 120:33	哪有爱牛	(哪有,爱,牛)
 121:07 - 124:08	胖哥	(胖哥,了,你)
