全场最高能：151:29	+1血赚

其他高能：
 1:49 - 1:54	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊[花]	(啊啊啊,饼,早)
 6:11 - 6:57	卡比是主包	(卡比,真言,某)
 7:28 - 9:18	坐进这车就跟进了雅阁似的	(],[,走马灯)
 11:27 - 12:04	打工大王	(打工,大王,bot)
 15:05 - 15:26	那咋了	(咋,那,了)
 17:21 - 19:04	主播已经不姓植原了	(比心,],[)
 19:50 - 20:19	合作图	(比心,],[)
 21:22 - 26:33	因为我去当伴娘了[花]	(我,],[)
 29:47 - 30:09	遥遥落后	(遥遥,人脉,忠哥)
 37:03 - 37:18	6969睡觉睡觉	(睡觉,6969)
 37:45 - 39:08	我是新观众，请问什么是马造灯友会	(是,灯友会,马造)
 44:17 - 44:33	可惜	(可惜,准)
 46:03 - 47:09	最后小粉赢了	(哈哈哈,技不如人,了)
 49:57 - 50:40	人家等你半天了	(加油,吧,你)
 53:47 - 54:54	有isun	(嘴里,喂,到)
 55:07 - 55:28		()
 56:03 - 56:23	小粉说总是最菜的赢	(喷,激情,总是)
 61:14 - 63:27	榜三咋了	(了,],[)
 63:46 - 65:33	这P害了你	(？,害,p)
 66:45 - 67:06	你认错主播了	(我,黄远点,只会)
 67:14 - 69:11	怪不得被胖哥讨伐，原来主播是柜子	(抽,的,大嘴巴)
 72:57 - 73:07		()
 73:37 - 75:04	主播，你看那个宝石海星了吗	(？,花,了)
 76:56 - 77:19	乐[花]	(士,大戾,花)
 79:05 - 81:34	榜一胖哥来了	(],[,呢)
 84:04 - 84:30	他们没拉黑你就已经不错了	(比心,],[)




 85:13 - 85:37	主播怎么不嘬礼物	(嘬,看不起,全都)
 85:44 - 87:07	买电脑的来了	(了,],[)
 87:29 - 90:33	群贤毕至 少长咸集	(了,杰哥,亲亲)
 92:42 - 95:20	主播看看bili的榜一是谁	(合影,那,咋)
 98:25 - 101:08	美食来了	(了,哈哈哈,，)
 101:17 - 102:23	该[dog]	(该,哈哈哈,了)
 104:49 - 105:01	极限[花]	(极限,？,蒙)
 109:48 - 110:32	高朋满座吗	(欢迎,高朋满座,群贤毕至)
 112:51 - 112:56	疯狂失误，但是还是第一	(疯狂,但是,放弃)
 115:17 - 115:28	盆满钵满	(？,全名,蹦迪)
 118:02 - 119:03	花呗来了	(么,],[)
 119:28 - 119:34	合影少1人	(少,合影,1)
 124:49 - 126:09	大主播了[花]	(],[,大主播)
 128:36 - 128:57	弄个小米电车头像，改名这车会害了我吗[dog]	(了,电车,小米)
 136:08 - 137:57	金河田也来了	(了,金河田,来)
 138:06 - 138:35	哇，真的会爆炸	(？,爆炸,真的)
 141:59 - 142:21	卖电脑的也来了	(走马灯,电视,66666)
 142:33 - 142:59	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(∠,饼子,主播)
 147:49 - 149:55	好长	(哈哈哈,哈哈哈哈,？)
 150:03 - 154:08	+1血赚	(+,了,的)
 159:24 - 159:37	男的你不喜欢	(男,的,喜欢)
 160:47 - 160:52	我可以叫我员工穿给你看	(我,回馈,员工)
 161:35 - 163:21	你手机里还有谁的罪证，别藏了	(了,！,的)
 164:28 - 164:46	主播就要灭一笑了	(就要,技不如人,灭小杰)




 165:13 - 166:15	主播和同事之间的友谊going down	(going,？,])
 176:49 - 177:26	笑死我了	(蒙,死,666)
 178:43 - 179:26	白白的拜拜呀	(拜拜,成都,熊)
 184:59 - 185:12	大戾士	(slm,贵,你好)
 185:30 - 185:38	可以尝尝我们家的白菜炒板栗[dog]	(板栗,炒,白菜)
 185:47 - 185:56	全聚德那里贵了，想想自己有没有努力	(比心,],[)
 186:03 - 187:51	四季民福的烤鸭有蜡烛，全聚德等一会儿鸭子就凉了就不好吃了	(],[,傲娇)
 202:43 - 203:31	主播还有松饼在后面捅刀子呢[哇]	(主播,给,宣战)
 207:03 - 208:09	那咋了	(那,了,路)
 209:04 - 210:27	确实有的地方杀第一，你在前头的话就被杀了[dog]	(杀,想,士)
 212:55 - 213:14	汤都没啦	(汤,LOSE,没)
 217:29 - 218:29	雅阁了	(？,钥匙,条件)
 218:52 - 218:55		(为难,平局,有没有)
 219:28 - 219:34	HOW	(HOW,666)
 221:16 - 221:48	蚌埠住了	(飞下去,粉色,代)
 228:56 - 229:38	也就打打公平图了[傲娇]	(嚼,大狗大狗,打打)
 231:41 - 231:52		()
 231:58 - 232:00		()
 232:04 - 232:07		()
 232:31 - 232:43	[屁股鸟_达咩]	(咩,屁股,达)
 234:52 - 236:52	那咋了 你还想登顶	(图,白胖,还)
 238:51 - 239:36	倒闭了你播给我看	(嘲讽,b,不好意思)
 240:03 - 242:22	路易是卡在里面了	(路易,卡,倒闭)
 249:21 - 249:29	干啥呢	(生,孩子,干)
 250:06 - 251:32	牛车来了	(牛车,雅阁,比心)




 252:27 - 253:16	今天是我和主播加好友的第464天[花]	(明天,？,za)
 255:10 - 255:54	来点三体就知道错了	(鱿,？,蓝龟)
 256:17 - 256:35	马上ztmex	(不换,金币,马上)
 259:53 - 261:02	这才是落后吃道具，该有的样子，不然人人都落后了	(LOSE,五圈,火箭)
 265:41 - 266:42	没了	(节奏,没,吗)
 273:42 - 274:47	蓝的cd也该转好了	(蓝,也,吗)
 275:37 - 278:09	这就受不了了[哇]	(？,！,666)
 278:21 - 278:25		()
 286:52 - 287:02	该	(该)
 287:46 - 288:45	叽里咕噜说什么呢	(，,老任,要啸)
 298:38 - 300:15	你看人家白胖妈都没了还能上8000，你就是技不如人	(走,走马灯,了)
 302:37 - 303:17	刚吃了神装就来大电	(joe,aya,aiyou)
 304:19 - 305:56	别退，再坚持19分钟原神崩铁绝区零的每日就刷新了	(自重,哈哈哈,哈哈)
 307:22 - 307:24		()
 307:32 - 308:09	人家有蓝龟预报，技不如人	(士,大戾,技不如人)
 308:40 - 308:46	没有修炼过见闻色霸气导致的	(霸气,色,见闻)
 311:06 - 312:24	明天就删游戏了	(明天,了,哈哈哈)
 312:32 - 313:08	喜欢用爱牛	(用爱牛,原谅,马灯)
 313:28 - 313:50	笑死我了	(哈哈哈哈,哈哈哈,同道中人)
 315:47 - 316:26	胖哥来了就都不打胖哥，你反思为什么	(该,胖哥,命苦)
 322:53 - 323:45	蘑菇大王陨落了	(蘑菇,太,了)
 326:59 - 327:01		()
 331:07 - 331:52	北京戾气象大学	(ex,蒙错,蒙对)
 336:50 - 338:39	狗管理怎么不给我禁言了	(禁言,亮,牌子)




 339:06 - 339:23		()
 339:49 - 340:12	准备打雷	(水王,先,之前)
 341:56 - 343:59	说了第四名剧本	(大笑,LOSE,剧本)
 344:06 - 345:16	这把能回到8500吗	(这,吗,同样)
 345:43 - 350:02	孙孙，我刚看完了你的“去以六月息者也”以及相关“拓展阅读”，现在狠狠emo了[大哭]	(了,你,看着)
 357:09 - 357:57	真打了你又不高兴[dog]	(你,的,了)
 358:54 - 359:32	蓝龟该来	(该,joe,蓝龟)
 368:40 - 370:01	技不如胖[哇]	(！,666,鱿)
 373:27 - 374:54	就用你这标题了	(这,？,！)
 375:16 - 375:22	是不是不是总代	(总代,是不是,不是)
 376:21 - 379:15	爱牛第一了	(你,好弱,粉丝)
 384:53 - 385:26	乐	(安慰,连滚带爬,哪)
 393:02 - 395:38	好好好 不灯不下播	(？,主播,蓝龟)
 399:53 - 400:14	笑跟孙	(跟,孙,笑)
 400:48 - 402:41	前四还有个bot，胜之不武[哇]	(！,666,？)
 409:40 - 409:56		()
 410:04 - 413:13	运气真好	(了,瀑布,庐山)
 417:13 - 417:23		()
 417:47 - 419:25	胖哥就问你服不服	(胖哥,皮卡,士)
 419:30 - 420:48	死了都要i	(死,怎么,了)
 421:01 - 421:06	三体不好了	(三体,不好,了)
 421:12 - 423:45	主播的肺痨什么时候能好	(好,你,了)
 424:35 - 425:05	爱孙车队	(车队,爱牛队,爱孙)
 431:41 - 432:42	那咋啦	(不,那,第三第四)
 442:05 - 442:07		()
 448:06 - 449:48	就是差一两帧才叫预报啊，不然你张嘴就来那你不成胖哥了	(才,你,第一)




 451:36 - 453:11	坏了	(666,坏,蓝龟)

