全场最高能：83:38	不给你永封不错了

其他高能：
 1:21 - 2:52	早[比心]	(比心,早,])
 3:42 - 4:42	今天就玩这个吗	(啊啊啊,饼,士)
 7:31 - 11:48	主播表示通了剧情就不想再玩了，还pvp呢	(比心,],[)
 15:05 - 15:11	这么酷	(酷,这么)
 16:06 - 16:08		()
 22:23 - 23:17	我一直不知道大食花脑子在哪里	(比心,],[)
 26:53 - 28:20	早捏	(咋,比心,那)
 28:33 - 30:47	孙孙真的很喜欢迷你冰	(饿,了,冰)
 34:05 - 34:20	可以扔两次球	(孙梅,两次,扔)
 36:14 - 39:24	平时天天不积德走马灯黑胖哥，遭报应了吧	(，,抓,扔)
 40:59 - 43:02	它在第六世代前的属性为钢属性，自第六世代起的属性为钢属性和妖精属性	(属性,驼,喷火)
 43:42 - 44:56	乐[花]	(一金,了,你)
 47:42 - 48:01	俩爱牛都能让你死	(后果,倒,俩)
 50:40 - 51:55	把主播優化了	(蛇,优化,了)
 57:12 - 57:31	主播爱吃	(吃,会害,冰激凌)
 58:34 - 59:48	我没事，主播只要玩好自己的游戏，把快乐分享给大家就好了[比心]	(主播,了,漏灯)
 62:02 - 62:17	眼里只有图鉴	(妙妙,眼里,妙不可言)
 63:03 - 63:20	好结局	(结局,好)
 67:07 - 67:19	这要是能飞	(最少,能飞,时)
 68:17 - 69:54	我就好奇前作都有攀爬，跳跃，飞行，这一代为了探讨宝可梦城市化生活所以摒弃了那些	(了,坐骑,有)
 70:20 - 70:32		()
 71:31 - 72:44	下雨去河边有黏黏宝	(有,该,球)
 82:23 - 86:37	不给你永封不错了	(],[,了)
 87:09 - 88:53	大嘴娃：那咋了	(了,她,改成)




 90:26 - 90:40	还是黑白地图吗还是gba时代的地图好玩	(地图,还是,时代)
 93:44 - 95:36	这么多钱你要还花呗吗	(搜,的,])
 98:45 - 99:42	主播的大针蜂还怎么还用着毒针，你的毒击呢	(的,你,就)
 114:13 - 114:24	主包留着这钱等吃利息呢[傲娇]	(利息,留,主包)
 114:27 - 114:54	真赚钱吧任天堂	(400,吧,赚钱)
 118:51 - 120:09	主播这样的话已经可以借我200办马灯砍伐证吧[哇]	(],[,，)
 121:57 - 122:13	太惨了 没见过这么劳模的鸟	(活,死,了)
 122:51 - 123:22	鸟的技能全是自伤的	(自伤,的,全是)
 130:17 - 133:24	好克制	(？,斗,打)
 134:18 - 134:45	50级还魅惑之声呢	(岩斗,>,岩水)
 137:39 - 137:42		()
 145:06 - 147:51	能不能给你大菊花学个妖精技能	(菊花,大,妖精)
 150:45 - 152:40	你刚刚切错了看的大针蜂，根本没看菊花	(菊花,你,，)
 154:52 - 155:36	这个对战是不是比谁手快	(死球,按慢,手快)
 158:06 - 158:15	电光一闪现在是神技能	(突突,AK,起个)
 159:52 - 160:23	皮神这游戏里有吗	(我,有,皮神)
 161:26 - 161:28		()
 161:44 - 161:47	你的宝可梦真可怜[傲娇]	(真可怜,傲娇,宝可梦)
