全场最高能：34:28	都告诉你开局作者通道 人家都看到弹幕了

其他高能：
 0:53 - 1:09	饼饼早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,早,饼)
 1:37 - 1:58	早捏[比心][比心][比心]	(啊啊啊,比心,])
 2:38 - 2:52	劳模	(劳模,走马灯)
 3:57 - 4:25	好耶，今天正常播了[比心]	(],[,通关)
 12:22 - 14:22	爱熊来送分了	(？,HOW,爱熊)
 18:07 - 20:03	喜欢主播的可以点个免费的关注，就不怕刷不到了，每晚开播[喝彩]	(，,了,好)
 20:19 - 20:51	今天中午不都还在玩吗	(吗,加速器,掉线)
 21:57 - 22:25	大戾士	(士,大戾,时不时)
 23:44 - 24:18	汤友会的人都退役了吗	(走马灯,都,了)
 33:29 - 38:16	都告诉你开局作者通道 人家都看到弹幕了	(士,大戾,了)
 38:38 - 38:47	没必要，我本身就是半片方便主播的[花]	(还怪,半片,必要)
 39:45 - 40:53	主播的意思是不可能一直盯着弹幕 这确实很合理 可是但凡瞄一眼就看到了	(主播,很,弹幕)
 43:01 - 43:40	炮弹也有猫耳	(猫,好图,有)
 50:06 - 51:11	鲁迅开了	(开,了,炸)
 53:05 - 54:34	堵门，还抢你妈，都卡住了	(士,大戾,])
 55:14 - 55:21		()
 55:25 - 56:02	你们都误解主播了，主播的意思是只看付费弹幕	(技不如人,弹幕,意思)
 58:46 - 60:21	题库呗	(士,大戾,的)
 60:30 - 60:36	需要买电脑的帮忙吗	(不弄,帮忙,需要)
 60:47 - 61:14	买了新电脑就能看到的	(],[,了)
 67:47 - 69:22	主播吃虾仁去了	(了,去,主播)
 78:33 - 79:58	主播吃到鸡米花了	(了,？,吃)




 82:27 - 83:04	他们都死了是因为没看观众的弹幕	(是因为,都,了)
 86:05 - 87:10	马里奥：ztmex	(ztmex,打工,马里奥)
 90:29 - 92:00	我就说了一句：摸着良心，你是不是蹭灯哥热度	(了,技,不如)
 92:47 - 92:54	这是德云社的直播间吗	(名不虚传,德云社,北京)
 93:18 - 93:56	因为你不看弹幕，为什么	(卡塔,弹幕,])
 94:52 - 94:59	小粉多可爱[花]	(],[,送福袋)
 95:04 - 95:14	每一局都针对你哈哈哈哈	(每,针对,一局)
 96:24 - 97:27	发现主播一直在关注坏的一面，但是自己好的一面都不关注	(士,大戾,一面)
 105:12 - 105:50	那咋了[dog]你还要管粉丝的生活	(],[,的)
 106:55 - 107:38	技不如狗熊	(狗熊,技不如人,技)
 114:26 - 116:37	maimai察觉到了你的意思[花]	(maimai,是,你)
 116:58 - 117:10	主播的前女友是柜子	(柜熊,closet,of)
 118:26 - 119:54	凭这叫马里奥制造，凭什么	(凭,马里奥,制造)
 123:50 - 123:54	好人是没好报的	(硬气,报,好人)
 124:20 - 124:42	卖电脑人不好但是免费	(！,啦,太牛)
 125:48 - 126:38	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(对战,za,~)
 133:27 - 134:26	那就牛车	(吧,牛车,喷)
 137:19 - 137:51	给路易做嫁衣了	(非得,垫,送)
 139:08 - 140:43	主播怎么戾气这么重，公平图都孬[dog]	(终点,公平,蒙)
 143:04 - 143:15	我就知道昨天连播期间我睡了两觉	(我,两觉,期间)
 143:38 - 146:46	睡一觉就好了	(汤圆,],[)




 151:17 - 152:23	孙孙我今天穿了水手服和15d白丝 想看吗	(了,想,白丝)
 152:31 - 153:01	待会加纳了[哈欠]	(准,待,第三)
 153:50 - 155:15	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(咋,那,了)
 159:52 - 160:58	流鼻涕的赢了	(的,流鼻涕,了)
 163:06 - 164:04	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(后半夜,方块,俄罗斯)
 166:22 - 171:16	等宝冠军开了，你们不玩za别后悔	(了,za,的)
 171:19 - 171:44	光听不能野外抓精灵我就没啥兴趣了	(破防,za,兴趣)
 172:15 - 173:17	孙孙我今天穿了灰丝哦，快点下播吧	(走马灯,^,？)
 173:49 - 174:02	所以我不玩原神不就得了	(不,对称,这图)
 192:29 - 192:58	早[比心][比心]	(比心,],[)
 194:10 - 196:19	如果走马灯卖电脑被主播禁言了，你能帮我解开吗	(乔伊,你,])
 204:02 - 204:46	可以还多少次花哪了	(的,是,次花)
 204:54 - 205:07	你的蓝色暴鲤龙应该是闪光吧，和别人不一样	(呗,蓝色,讲讲)
 210:57 - 211:48	这不万年老z的那个么	(扎克,万年,z)
 211:55 - 212:26	9级拿出来是送的吗	(9,送,级)
 212:37 - 213:13	顶级折磨	(折磨,小妖精,磨人)
 215:22 - 216:16	主播一登顶她就拉着主播做任务	(暖,一,这)
 217:48 - 220:13	真正的裙子就只有2家店卖，而且是安全裤，比裙子还长，这样子的，或者是裙子加打底裤	(，,裙子,的)
 222:04 - 222:15	地图左列看看任务列表呗	(不配,列表,左列)
 222:54 - 222:58	联机就把你神奇宝贝抢了逃之夭夭了	(逃之夭夭,抢,联机)




 223:08 - 225:25	都被你劝不买了谁和你联机啊	(你,？,买)
 225:31 - 226:12	鬼斯通都看见你了	(看见,很大,都)
 226:33 - 227:35	不看你直播就差点有了	(主播,行,有)
 230:27 - 230:47	你平常游玩的时候别一种神奇宝贝只抓一只	(有耿鬼,游玩,快满了)
 230:52 - 231:18	看着就异常	(蛇,刷档,异常)
 231:19 - 231:37	你得用特工打他	(得,打,他)
 236:00 - 236:18	我感觉这作阿尔宙斯更难藏着摸过去了	(难藏,不上,过去)
 237:49 - 237:55	翻译一下，孙想加大药量	(药量,加大,孙想)
 238:01 - 238:40	喜欢主播可以走马灯卖电脑支持主播哦[哇]开通直播间搞黄可以进胖哥群[比心]	(金河田,],[)
 241:57 - 242:49	喜欢主播可以走马灯卖电脑支持主播哦[哇]开通直播间搞黄可以进胖哥群[比心]	(主播,的,])
 253:00 - 253:12	艾哲尼亚斯	(尼亚斯,艾哲)
 253:32 - 253:39	哇，还有七色鹿	(七色,鹿,还有)
 255:01 - 258:01	已经复活了啊	(啊,了,复活)
 265:56 - 265:59	XY神怎么区别的	(晶化,钛,比如说)
 266:07 - 267:06	主播还用着40威力的碎岩，真是初心不负啊[花]	(碎岩,啊,用)
 267:12 - 267:16		()
 270:13 - 270:18		()
 270:56 - 271:04	晚好[比心][比心][比心]	(比心,],[)
 271:21 - 271:50	正义七打一	(打,七,正义)
 271:53 - 272:18	不能搞个火系mega	(药王,火系,搞个)
 273:30 - 275:18	555555主播被良子吃了[大哭]	(好,了,])
 280:18 - 280:36	超能克对面	(超能克,对面)
 292:57 - 293:54	就喜欢站在毒里面打	(…,毒,打)




 294:40 - 294:51		()
 295:33 - 296:50	这鸟人两腿中间是啥	(坤,中间,这鸟)
 297:30 - 298:01	走马灯	(走马灯)
 300:18 - 303:31	会飞的没有飞行属性你觉得合理吗	(了,失业,你)
 303:57 - 306:53	不怕 但是秒了	(不怕,。,了)
 308:28 - 310:12	打退了	(啦,打退,了)
 324:20 - 328:07	前面版本也这样麻烦只是这个给你焊丝了	(了,你,抓)
 334:39 - 335:22	那咋了	(那,咋,了)
 335:45 - 338:05	有的人，不仅被骗了钱，还浪费了生命	(的,吗,抓)
 338:28 - 340:36	放home不就好了	(了,就,box8)
 340:53 - 341:06		(哪里,高级,球)
 341:37 - 343:41	抓了一个	(抓,了,成本)
 344:40 - 345:24	那他为什么不直接设计成扔不到不消耗呢	(不,思维,日式)
 345:37 - 347:46	这游戏10个闪光上限，但出了就不会消失[哇]	(8,消失,这)
 351:27 - 351:29	我刚看了个视频	(我刚,视频,个)
 351:36 - 352:34	挂几个小时总会有不少闪光，盆满钵满	(闪光,刷,总会)
 352:49 - 355:12	开始明抢了是吧	(是,火箭队,了)
 355:25 - 355:29		()
 357:34 - 357:41	全图同时最多存在10个	(10,次,保存)
 359:22 - 359:57	你来这第一区，感觉是烧烤店老板来进货了	(看见,想,抓)
 365:33 - 365:48	主播这鲤鱼王多少钱一斤	(总有一天,一斤,钱)
 366:14 - 367:10	我当时有事走了二十五分钟左右	(我,了,应激)
 374:00 - 374:39	不像	(AZ,™,️)
 381:08 - 381:49	美纳斯不给mega服了	(服,美纳斯,mega)




 385:09 - 385:50	天亮了，梦醒了	(天亮,梦醒,了)
 387:47 - 388:21	主播主播，牛牛能喝牛奶吗[哇]	(喝牛奶,牛牛能,主播)
 389:36 - 390:16	你是没玩过怪猎刷护石吧	(崛起,怪猎,猎刷护石)
 393:07 - 395:22	你还没有大地力的技能机么	(大地,可以,自带)
 395:28 - 395:42		(蹲,这辈子,NPC)
 395:56 - 397:04	应该是，昨天孙子播了那么久	(饼,久,15)
 398:58 - 399:39	打工不易，孙孙叹气	(home,叹气,没开)
 400:33 - 400:47		()
 401:27 - 401:50		()
 403:07 - 404:42	不需要每次都吃茅厕里的	(需要,都,茅厕)
 406:55 - 407:19	又是没车，没有被戾气惊醒的一天	(惊醒,没车,一天)

