全场最高能：120:57	还真让他蒙了[哇]

其他高能：
 11:35 - 14:48	有这时间放点走马灯视频啊	(啊啊啊,],[)
 15:49 - 18:04	主播 你能把我举过终点吗	(我,吗,你)
 19:39 - 23:30	胖哥你手里捏的小黄鸭是卖电脑的吗	(],[,比心)
 24:22 - 26:54	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(走马灯,🚀,跳)
 26:59 - 29:06	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(你,了,])
 29:49 - 30:54	那咋了	(咋,那,了)
 31:07 - 32:26	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(认错,你,了)
 33:53 - 35:16	多人启动了车的人死了就散架	(了,开,就)
 38:42 - 39:50	好朋友美食锐评:快赶上卖电脑的了	(了,你,满)
 41:03 - 41:54	你认对主播了，你在主播直播间提其他主播，赚的盆满钵满，多开心啊	(主播,，,电脑)
 46:09 - 47:49	本来就是马里奥进去打工的	(亲亲,],[)
 47:58 - 49:36	看到现在这个群贤并至，我在想什么时候主播能回到巅峰的10w+人气[哇]	(的,蒙,是)
 50:18 - 51:14	我记得你人气好的时候七八十万，后面一直十几万，明显是被限制了	(好,人气,我)
 51:28 - 51:42	怎么排了三个流口水的，这都能赢	(流口水,排,三个)
 54:24 - 55:24	技不如薯片	(了,joe,fayday)
 55:40 - 57:37	Joe Fay day	(别似,😭,我)
 58:52 - 60:14	不害人赢了	(害人,加油,手机)
 62:19 - 62:40	早早早[比心][比心][比心]	(比心,],[)
 67:37 - 68:06	什么是走马灯	(啊啊啊,奔,什么)




 68:13 - 69:27	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(啊啊啊,的,啊)
 72:07 - 72:14		()
 72:48 - 73:04	这游戏还能凑齐4个就得烧高香了	(？,可以,脚滑)
 75:00 - 75:26	马灯没了	(白送,技不如人,蛹)
 86:00 - 86:48	h选币选	(委屈,],[)
 91:51 - 92:05	蒙的	(偷袭,卑鄙,太)
 96:53 - 99:25	库巴雅阁	(雅阁,假仁假义,])
 101:23 - 102:40	好垫	(垫,哈哈哈,垫脚)
 110:00 - 110:11	桀早过	(桀早,过)
 111:35 - 111:46		()
 117:08 - 118:38	最忌讳的就是没有打开斗地主	(马里奥,忌讳,最)
 120:09 - 127:21	还真让他蒙了[哇]	(？,了,])
 127:58 - 128:27	主播家在四合院	(凡尔赛,主播家,？)
 131:03 - 132:24	那主播能解释一下猫摸旗瞬间选择重来，会导致其他玩家喝不了汤的原理吗	(我,主播,吗)
 141:41 - 142:11	还不能放弃，放弃人少之后人家过了	(放弃,等,人少)
 142:47 - 143:20	你还要管人家怎么作图吗	(管,全员,作图)
 145:19 - 146:38	雅阁了	(太好了,加油,吧)
 156:43 - 156:50	wii9-7	(wii9,7,-)
 161:49 - 162:37	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(走马灯,非得,比陆毅)
 166:26 - 166:44	9z	(9z,九折)
 169:52 - 171:54	家乡的拉面不是一堆豆芽吗	(家乡,豆芽,吗)
 174:05 - 175:46	imai大气	(imai,LOSE,maimai)
 176:09 - 176:26	怎么来了个黑麦麦	(jbrr,黑麦,麦)
 176:42 - 176:45		()




 177:56 - 178:09	闸总主播	(总主播,闸)
 178:46 - 180:09	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(比心,],[)
 182:44 - 187:00	如果是胖哥就过了	(了,？,作者)
 188:10 - 191:10	力气大的连晚安嘬都没有了[委屈]	(比,运气,了)
 197:33 - 199:15	松饼我好喜欢主播，怎么给555刷火箭啊	(？,刷,，)
 200:36 - 200:53	居然输了孙孙	(了,知後覺,light)
 204:33 - 205:04	可以的	(的,这龟,可怕)
 207:22 - 209:12	8000人家胖哥也不在日本	(胖哥,日本,8000)
 215:39 - 216:24	哥几个空踩炮都成了	(我成,道爷,卡)
 218:38 - 218:49	抢肉这一块	(ns2,强者,抢肉)
 220:35 - 221:13	蒙的	(的,蒙,没看)
 221:54 - 223:08	改变了世界线	(走马灯,怎么,世界)
 223:22 - 223:33	解释一下什么意思	(陕硕,一砖,解释一下)
 224:58 - 229:40	妙不可言，嘘	(主播,，,走马灯)
 234:51 - 235:11	蒙的	(的,蒙,666)
 237:32 - 237:44		()
 237:57 - 240:47	这样不太好吧，这算是主播的私生活了	(了,麦麦,主播)
 243:10 - 243:22	LOSE	(LOSE)
 249:29 - 250:43	人家就不能也走错了	(技,麦,插易)
 254:18 - 254:27		()
 261:08 - 261:09		()
 261:20 - 261:52	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(？,就,习惯)
 269:11 - 270:25	喜欢主播的话可以送灯牌礼物支持一下哦，开舰长可进粉丝群喵[比心]	(6969,？,改)
 275:10 - 276:37	打工思维	(哈哈哈哈,_,打工)




 277:37 - 277:59	大戾士	(走马灯,imai,joe)
 279:45 - 281:49	万一等下他给你留了呢	(你,感化,大嘴巴)
 287:27 - 287:36	发你私信了	(听不懂,私信,这些)
 287:44 - 288:09		(个,说,凯)
 291:04 - 295:43	我终于知道昨天阿姨的小皮鞭用来干嘛的了[花]原来主播是干摘棉花的[花]	(],[,比心)
 297:26 - 297:37		()
 297:52 - 298:16	吃什么呢	(，,表白,金玉满堂)
 299:34 - 300:24	主播放不放下我是不知道，但是知道结局的我，不忍心看下去了[大哭][大哭]	(下去,不,大哭)
 301:23 - 301:38	三个isun直接灯顶8000吧	(灯顶,三个,直接)
 301:49 - 302:32	给大哥穿鞋	(甜甜,装备,上缴)
 310:53 - 310:57		()
 323:19 - 323:35		(看不到,第一名,马灯)
 325:40 - 326:10	666	(666)
 329:48 - 329:54		()
 334:11 - 336:33	这给你超了	(666,了,灯顶)
 336:41 - 338:10	知道有这个梗，但是不知道是什么意思	(不,牛,意思)
 341:51 - 342:00	前几圈的第一加分不	(加分,几圈,前)
