全场最高能：184:22	说了你看呢

其他高能：
 1:00 - 1:46	孙怎早	(啵,怎早,孙)
 3:05 - 3:55	起码大家都一样烂，比坑选蒙藏好	(晚,秒,！)
 6:55 - 8:32	耗子驮错人了吧，怎么驮了个又黑又瘦的，应该驮一个又白又胖的	(又,比心,晚上)
 8:39 - 8:44		()
 9:12 - 10:09	松饼晚上好	(比心,耗着,晚上)
 15:08 - 16:54	你把拉黑的都放出来就不倒闭了[dog]	(拉,黑,了)
 23:19 - 23:30	怎么isun一个没上线	(爆料,才能,🚀)
 25:05 - 26:23	开了你还能过 怕是爱孙开的	(走马灯,蒙,的)
 28:47 - 28:52	把对手打退啦	(啦,打退,对手)
 29:00 - 29:39	主播白天都在成都，去成都逛逛可能遇见	(成都,白天,里)
 30:35 - 30:55		()
 30:58 - 31:21	这猫会害了我吗	(加油,吧,技不如人)
 33:17 - 33:43	小蓝还没进入状态	(咋,那,了)
 33:57 - 35:24	主播你把这睚眦必报的精力拿来催债全还了	(？,读图,了)
 35:28 - 35:34		()
 43:49 - 44:23	我开的	(谁,的,咋)
 44:42 - 46:04	我退了，还卡就说明我不是卡比[dog]	(卡比,了,自证)
 46:35 - 51:25	这么卡还能不失误，肯定是习惯了，你就是卡比	(？,的,你)
 52:13 - 53:12	四个人没一个好东西[吃瓜]	(咋,那,了)
 53:30 - 55:14	该进啊	(第一,士,大戾)
 55:50 - 58:06	路易开的	(的,比,路易)
 72:17 - 73:05	不是赛跑，是运过来	(66666,ztmex,不是)
 73:53 - 74:02		()
 75:31 - 76:12	还在皇帝	(皇帝,是,玉帝)
 76:55 - 77:39	怎么不开团了	(你,不开团,全吐)




 79:06 - 80:24	打得好怂，不像别人一样敢打敢拼	(走马灯,，,敢打敢拼)
 85:07 - 85:55	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,主播,签约)
 92:39 - 93:33	哇这个守门牛啊	(突起,这放个,一定)
 93:53 - 99:11	主播手柄没损耗，马里奥路易手柄都要按坏了，这波主播赢了	(了,手柄,马里奥)
 101:05 - 104:26	反转了	(了,反转,哈哈哈)
 106:54 - 107:35	还是500秒[花]	(走马灯,拖,还是)
 112:09 - 112:33	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,喵,支持)
 116:08 - 116:53	还是好图多啊	(技,LOSE,不如)
 117:34 - 119:16	主播治好了也是淌口水	(？,了,加油)
 121:12 - 121:16	已经结束啦	(结束,啦,已经)
 124:14 - 124:18		()
 126:05 - 126:20	吵死了	(过门,刷,正好)
 127:41 - 127:48		()
 127:59 - 130:24	观战的不会	(了,哈哈哈,路易)
 131:15 - 131:59	这就到题库	(题库,能力,读图)
 137:57 - 139:47	主播ZA申请仅退款了吗	(满,盆满,？)
 140:07 - 140:18	狗熊打完工了	(完工,钥匙,了)
 141:14 - 142:49	打了6分钟的工 不愧是大狗熊	(？,isun,你)
 152:51 - 157:46	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(⁄,主播,胖哥)
 157:57 - 158:34	三打一打输了我超	(藏,该,打输)
 158:49 - 159:41	走马灯赢了	(了,走马灯,来)
 161:26 - 161:36		()
 161:53 - 162:25	这是主播行为和粉丝无关[dog]	(呀,马灯,走马灯)




 162:39 - 162:41		()
 163:43 - 164:49	被灯者 终成走马灯	(走马灯,],[)
 167:10 - 167:36	@无限远点	(@,远,无限)
 170:43 - 171:37	这车不会害了我吧[哇]	(车,],[)
 173:34 - 173:37		()
 175:15 - 176:42	说着全球通缉的人来了	(的,],[)
 178:53 - 185:35	说了你看呢	(啊啊啊,了,？)
 199:09 - 199:56	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(LOSE,舰长,你)
 202:47 - 202:54	666	(666)
 206:12 - 210:43	确实是技不如人	(加纳,技不如人,])
 210:57 - 211:26	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,民,大红)
 211:37 - 211:55	为什么不通宵了	(把,舰长,，)
 228:07 - 229:27	摩尔加纳	(加纳,666,健康)

