全场最高能：233:53	技不如人了吧

其他高能：
 10:32 - 15:01	8000/6000/1000	(啊啊啊,比心,])
 16:53 - 16:56	走马灯	(走马灯)
 18:42 - 21:41	都把小粉打雅阁了	(了,你,主播)
 22:02 - 25:30	主播没有龟脉 技不如人	(技不如人,],[)
 28:11 - 28:27	蒙的	(险胜,666,蒙)
 29:29 - 34:53	這下真的技不如人了	(走马灯,了,大戾)
 40:59 - 42:15	请问这个赞是你点的吗	(技不如人,赞是,点)
 44:43 - 46:13	读图能力	(能力,读图,饭)
 46:52 - 47:51	怎么都赢不了，不就是技不如人嘛	(技不如人,贏了,那)
 49:16 - 50:42	技不如人[哇]	(，,了,技不如人)
 52:17 - 54:42	不是分高的赢吗	(],[,的)
 56:03 - 57:10	不是这张图也是人家赢啊	(人家,7200,赢)
 59:18 - 60:15	这下是真假仁假义了	(么,假仁假义,比心)
 60:52 - 62:32	蒙的	(蒙,的,])
 62:43 - 63:01	就fayday	(fayday,大戾,士)
 63:52 - 64:53	雅阁了	(雅阁,非法,])
 67:23 - 67:42	不流鼻涕是不是赢了	(流鼻涕,不,是不是)
 69:27 - 70:04	极限手速	(蒙,的,这能)
 71:52 - 73:01	胖哥赢了	(？,赢,胖哥)
 77:46 - 79:56	你认错主人了，这里是蓝音bubuline的直播间	(],[,了)
 83:05 - 83:50	那咋了[花]	(大戾,士,技不如人)
 87:21 - 88:12	3个守门员让他过了	(?,！,守门员)
 94:19 - 94:57	蒙的	(蒙,的,∠)
 100:22 - 100:32	panga牵着两只牛	(原点,牵着,两只)
 104:02 - 105:11	技不如胖哥	(胖哥,不如,技)




 108:40 - 109:23	不如胖哥	(胖哥,pangge,的)
 111:12 - 111:14		()
 112:32 - 113:11	父子局	(局,父子,互吸分)
 114:35 - 116:05	哦卖卖	(卖,电脑,哈哈哈)
 116:13 - 116:21	omaimai是杰哥小号	(包浆,小号,omaimai)
 116:37 - 119:00	你都知道是pjbsb了，还买2，那得多2	(去,吗,手柄)
 120:13 - 121:18	把黑叔叔偶像打退了	(叔叔,了,黑)
 124:35 - 125:04	那你不也赢了	(蒙,也,那)
 130:04 - 130:53	牛车吧	(牛车,吧,玩)
