全场最高能：49:03	讀大局力真的不行 剛剛都看小藍死了還敢走開關

其他高能：
 0:56 - 1:27	孙怎早	(走马灯,么,还)
 3:08 - 3:21	蒙的	(蒙,的)
 7:39 - 9:17	你这是睡觉的时候都在挂啊	(啊啊啊,老马,啊)
 11:13 - 11:49	因为主播没有礼貌，不想白胖戾气轻有素质，遍地是人脉，难怪能8000	(饼,，,包吧)
 17:42 - 18:07	就让红温来的更猛烈些吧	(些,猛烈,红温)
 18:20 - 18:30	松饼想我了嘛[比心]	(宝藏,男孩,嘛)
 21:11 - 24:05	蒙的	(么,],[)
 24:20 - 24:34	制冷模式	(制冷,关,空调)
 28:06 - 34:23	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(可以,主播,])
 36:42 - 38:57	隔壁世界第一半年就能上8000，主播还在这里俯冲6800	(戾,#,蓄戾)
 41:53 - 44:40	你跳车把库巴撞死就好了	(?,？,加纳)
 46:10 - 46:15	马里奥流鼻涕	(白哥,马里奥,流鼻涕)
 48:29 - 49:59	讀大局力真的不行 剛剛都看小藍死了還敢走開關	(马里奥,赢,该)
 51:11 - 52:31	znmbex[dog]	(znmbex,戾,好)
 58:38 - 60:20	技不如同事	(],[,不如)
 61:19 - 62:28	合影不亏	(],[,妙)
 63:44 - 64:42	差点没了[dog]	(蒙,的,时间)
 66:05 - 66:55	技不如人 读图能力	(人,走,给)
 71:46 - 71:51		()
 74:24 - 74:50	[dog]一起雅阁吧	(雅阁,],[)
 76:33 - 79:39	我看你打半天也就赢了三局	(你,了,白)
 83:20 - 84:54	盆满钵满了	(满,钵,盆满)
 91:38 - 92:02	看半天以为主播是马里奥[花]	(技不如人,卡塔,播是)




 96:06 - 97:59	你是怎么办到的	(的,你,爷孙)
 98:44 - 100:17	还是0-8000	(1,3,0)
 103:32 - 103:51	希望在哪	(追回来,狠狠,希望)
 103:52 - 104:53	技不如球王	(不如,技,1)
 107:30 - 108:20	流鼻涕的赢了	(？,捂脸,的)
 111:24 - 112:04	主播主播，妙子结婚了吗	(欺负,妙子,了)
 112:25 - 113:08	你连胖哥的马灯都看不见	(走马灯,登神,LED)
 115:21 - 115:27	吓我一跳两个白胖	(吓,跳,叽里咕噜)
 116:42 - 117:54	孙孙 我分手了 能安慰我一下吗	(了,等,我)
 119:01 - 120:12	卖电脑的来早过了[哇]	(哇,能力,])
 122:29 - 123:36	助力主播倒闭梦，该开始带节奏了	(了,倒闭,主播)
 125:37 - 125:55	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,英语课,二中)
 128:51 - 129:20	流鼻涕大王	(的,叔叔,芭万希)
 129:31 - 129:51	有，一个叫kazelink的就开了然后假仁假义的等汤	(翻译,叫,开)
 129:53 - 130:03	bubuline记住了	(记住,bubuline,纪晓岚)
 140:12 - 141:04	这人是想拖平了吧	(LOSE,技不如人,没)
 143:49 - 147:10	天天一帮流鼻涕的都赢不了你还7000上了[dog]	(上,的,了)
 147:45 - 147:48		()
 147:56 - 149:23	流星这块	(合影,极限,士)
 151:09 - 151:43	算你赢了[哇]	(LOSE,罢了,哇)
 151:44 - 152:07	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,合理,气不气)
 153:50 - 154:02	马师傅跑太快崴到脚了[哇]	(了,崴,不爽)




 155:44 - 155:59	一点戾气都没有	(33,我见,一点)
 158:43 - 160:26	我去，马灯都看不见了	(看不见,马灯,都)
 160:47 - 162:55	主播说了那么多次怎么还不找个班上[哇]	(，,你,日本)
 163:21 - 164:51	1：8 除了单挑杀第一的图偷了一把你是啥啊	(8,1,是)
 165:55 - 166:01	嘲讽逼	(原来如此,逼,嘲讽)
 170:41 - 171:51	为什么他的粉丝可以这样，你的粉丝呢	(你,为什么,爱孙)
 173:42 - 174:40	主播你当真不记得和白胖的往日种种了么	(金河田,的,LOSE)
 174:54 - 175:09	比如说主播输了可以发技不如人[哇]	(在,看主包,基本)
 177:45 - 178:57	技不如人[哇]	(流鼻涕,加油,吧)
 185:44 - 186:43	那你变猫不就行了，猫抓耗子	(⚡,],[)
 190:15 - 190:44	流鼻涕的赢了	(偷笑,],[)
 196:18 - 197:52	加油吧	(加油,吧,鼻子)
 205:00 - 206:07	omaimai咋啦	(omaimai,麦麦,，)
 209:17 - 210:23	那咋了	(那,了,不好意思)
 215:41 - 216:16	技不如人	(LOSE,技不如人)
 219:30 - 220:08	就fayday杀第四	(三缺一,三缺,最菜)
 220:21 - 220:31	叽里咕噜说什么呢	(叽里咕噜,说,呢)
 221:56 - 223:35	真技不如人	(大戾,士,技不如人)
 223:49 - 227:07	倒闭了	(了,],[)
 228:36 - 229:03	主播是二般人[dog]	(二般,小栗旬,人)
 233:03 - 234:12	主播的排名越来越低了，好耶	(],[,说)
 235:17 - 235:59	那咋了	(咋,那,了)
 237:06 - 237:44	干嘛呢	(心理战,考试,砍伐)




 239:18 - 239:29	两个人看似很忙，实际不知道在忙什么	(忙,实际,看似)
 239:31 - 239:59	就为了争口气	(在,浪费,打游戏)
 240:17 - 240:19		()
 243:14 - 244:58	主播在和路易玩钻酷当小游戏	(加班费,-,主播)
 245:48 - 247:22	把汉堡和中间人是什么讲了呗	(汉堡,],[)
 248:29 - 249:02	那中间人是什么呀[哇]	(故事,汉堡,主播)
 249:23 - 249:38	所以汉堡是什么，只知道主播是日本人	(只,知道,粉忠来)
 250:30 - 252:28	松饼，这房管是你吗[哇]	(是,吗,中间人)
 256:57 - 259:44	主播，大耀西蛋跟小的耀西蛋有什么区别啊[哇]	(黑,主播,拉)
 271:42 - 271:54		()
 272:04 - 272:24	牙子必暴	(起,何时,必爆)
 276:13 - 277:32	不会的，大久保公园现在都是中国游客[哇]已经没有日本人了	(公园,久保,大)
 278:46 - 278:50	全自动	(全自动)
 282:40 - 283:11	好晃	(技,不如,mai)
 283:27 - 283:37	今年一整年才被叮两次	(去,叮,整年)
 283:50 - 284:08	技术下滑	(下滑,技术)
 290:21 - 290:59	要砸机器么	(！,六千,孙赢)
 292:11 - 293:55	被中间人了[哇]	(加油,吧,？)
 300:53 - 301:05	咽不下就吐了	(我,，,舰长)
 311:12 - 313:44	好x4	(？,哈哈哈,好)
