全场最高能：69:06	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]

其他高能：
 3:07 - 4:15	什么狗运	(啊啊啊,的,蒙)
 5:24 - 6:01	孙怎晚	(怎晚,孙,孙怎晚)
 10:53 - 12:56	主播请自重	(哈哈哈,失误,技不如人)
 13:04 - 13:25	变形了	(比心,],[)
 13:33 - 13:39		()
 13:45 - 13:56	就非得打工	(就,pay,霸)
 15:39 - 17:10	我不是早了吗[花]	(],[,666)
 18:13 - 18:51	好耶，摸摸松饼	(？,远,点)
 22:02 - 22:07	技不如狗熊	(馈赠,勇敢者,给)
 23:39 - 24:30	技不如狗熊	(不如,熊,技)
 24:40 - 24:46		()
 27:27 - 28:11	joefayday耗着	(钥匙,奔,第几个)
 30:21 - 30:35	小蓝是坏人[dog]	(打个工,坏人,40)
 31:10 - 31:26	守门牛啊	(走马灯,偷看,守门)
 33:17 - 33:52	主播用王八登顶率百分百也要用牛	(用,蹲防,抱头)
 34:25 - 35:51	欢迎雅阁光临[哇]	(？,主播,7000)
 37:06 - 38:58	好图	(啊啊啊,了,好)
 41:21 - 43:14	gg是哥哥的意思[dog]	(？,GG,666)
 44:42 - 51:25	但不一定是浪费他的时间啊，他可能去斗地主了	(斗地主,他,了)
 52:43 - 52:56	如果这局输了，主播会不会三天三夜睡不着	(，,睡不着,三天三夜)
 53:04 - 53:41	主播使用黑名单是胖哥教的吗	(拉,我,那个)
 55:48 - 55:52	刚才那把咋样了 刚刚停电了	(停电,咋样,刚刚)
 62:31 - 62:53	因为纪晓岚	(走马灯,纪晓岚,熊二)




 62:57 - 63:32	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]	(手速,技不如人,了)
 63:45 - 63:49	理解不行	(理解,不行,技不如人)
 64:04 - 66:20	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]	(可以,，,主播)
 67:47 - 70:04	讨厌主播的可以走马灯和找同事搞黄一下哦，舰长可以进粉丝群体验马造灯友会喵[比心]	(加油,走马灯,吧)
 70:53 - 71:14	还在玩	(？,你,还)
