全场最高能：91:54	走马灯了

其他高能：
 1:32 - 1:48	都已经睡着才来[dog]	(睡着,才,已经)
 3:16 - 4:05	我是被主播同事雅阁了[花]	(非礼,哇,了)
 5:53 - 5:57	晚上好松餅	(好松餅,打退,对手)
 6:02 - 7:07	昨晚这是掉了多少，怎么奔6700去了[捂脸]	(啊啊啊,好好,比心)
 7:24 - 7:39	主板上粘热熔胶了	(粘,主板,热熔胶)
 8:00 - 8:35	主播是用热熔胶修好的么	(热熔胶,净化,只会进)
 14:50 - 15:30	技不如人[哇]	(技不如人,加油,吧)
 16:51 - 17:25	蒙的	(的,蒙,666)
 20:25 - 24:20	带着你的苦命鸳鸯，后面忘了	(],[,，)
 24:26 - 25:22	发送那咋了让主播看到我们的支持	(了,来,狗熊)
 26:15 - 26:45	合影不亏	(选,合影,早過)
 28:16 - 31:30	发送那咋了让主播看到我们的支持	(还有,了,那)
 32:39 - 33:08	路易嘲讽比	(加油,比心,吧)
 36:12 - 37:20	再次技不如人	(技不如人,吧,加油)
 39:58 - 41:00	蒙的	(的,杀,第一)
 42:57 - 43:40	还官方呢 马造服务器给你开着就不错了	(官方,自己,该)
 43:43 - 43:55	我在想哔哩会有see时长吗	(舰长,打架,神仙)
 47:11 - 50:26	不是说拉黑了吗，怎么开另一个号狙了	(了,我,，)
 51:36 - 53:27	这下可以三大护法了	(，,],[)
 54:09 - 57:47	你要开了不比胖哥分高	(你,，,因为)
 58:52 - 60:00	季小麦属于是好心干坏事了	(士,大戾,季)
 61:50 - 62:21	这游戏能玩得这么难受的还玩	(洋,次郎,热)
 67:05 - 68:00	没人玩了，现在玩的都是动物朋友，比如爱牛狗熊小黄鸭	(玩,，,动物)
 76:27 - 83:21	太爽了[dog]	(了,咋,那)




 84:57 - 87:46	金河田咋了	(了,咋,那)
 88:49 - 88:56	加油吧	(比心,],[)
 89:19 - 92:48	走马灯了	(了,，,你)
 93:25 - 94:32	三二一 准	(杀,第二,哈哈哈)
 98:15 - 98:44	我至始至终都不知道那个人是谁	(哈哈哈,哈哈哈哈,哈哈)
 105:06 - 105:10	LOSE	(太好了,LOSE,技不如人)
 108:39 - 108:42	主包现在能过自己的图吗	(能过,主包,自己)
 136:24 - 138:15	兄弟阋墙  细	(作者,怎么,么)
 138:55 - 140:03	主播和这个呸真的是一对苦命鸳鸯	(啊啊啊,呸,主播)
 142:20 - 142:41	每天随机挑选一个培养汤友	(汤友,培养,挑选)
 144:14 - 144:21	熊早过	(技不如人,熊早,叫)
 145:45 - 147:32	弹幕的意思是他没条件，和死了有什么区别	(了,区别,他)
 159:41 - 160:16	up好牛	(咋,那,了)
 162:23 - 164:27	主播开了	(哈哈哈,啊啊啊,了)
 165:36 - 167:20	太爽了 那咋了	(太爽了,了,那)
 172:55 - 173:20	喜欢胖哥站你后面是吧	(哈哈哈,该,HOW)
 173:23 - 173:28	非得跳	(颤抖,发力,跳)
 174:20 - 174:26		()
 175:10 - 176:29	等车回来都过不了了吧	(？,了,的)
 177:54 - 179:54	像主播这种人治好了也流鼻涕	(你,了,？)
