全场最高能：75:04	那咋了

其他高能：
 0:30 - 1:32	早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,唉,早)
 3:47 - 5:03	一天一顿，一顿饭吃三顿饭的量	(松饼,吃,播到)
 11:18 - 11:30	好耶	(耶,好)
 14:24 - 15:23	走，马登	(走马灯,马登,么)
 15:59 - 20:01	是不是因为出现了雅阁的脸	(了,，,你)
 20:39 - 20:58	那个kazelink戾气挺重的，应该是	(气挺重,举报,应该)
 21:38 - 21:52	考上中南大学了	(中南大学,考上,走马灯)
 22:29 - 24:03	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(比心,],[)
 25:01 - 25:50	寄一个白白又胖胖过去	(寄,舰长,走马灯)
 30:13 - 31:34	主播可以抢了条件找个角落耗500s，这样就不会掉分了[哇]	(哈哈哈,了,哇)
 32:43 - 34:29	蒙的	(的,走马灯,蒙)
 34:51 - 34:54		()
 39:29 - 40:09	马里奥看弹幕去了	(蒙,的,蒙贏)
 42:00 - 42:19	还有不要卡住	(有,助興,嘉賓來)
 44:25 - 44:32	不懂，能表演一下千本樱吗	(樱,千本,表演)
 46:41 - 47:30	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(搬,舰长,不)
 48:01 - 48:27	蒙的	(蒙,的,毛病)
 51:13 - 51:41	主播今天是不是请爱孙了，怎么打的这么轻松[哇]	(他,说,请爱孙)
 53:22 - 56:47	那咋了，你也养个爱孙卡他	(你,了,，)
 57:09 - 58:27	开了	(了,开,金河田)
 59:30 - 60:55	主播我是你的忠实粉丝可以解封一下吗，你确实是被打下去的	(胖熊,是,主播)
 62:44 - 63:18	顿悟了	(了,高反,痔疮)




 64:52 - 72:53	猫熊来了 开着来的	(的,了,])
 74:29 - 76:05	那咋了	(咋,那,了)
 77:32 - 78:12	雅阁了	(哈哈哈,大笑,])
 80:20 - 82:03	那咋了	(了,卡,他)
 85:53 - 87:03	让你喝不着汤	(喝,着,汤)
 91:53 - 92:51	胖哥穿裙子可以吗	(7300,不愧,7200)
 99:36 - 99:44	因为你力气大，凭什么	(免喷,解释,好吃)
 100:25 - 101:03	那你给给惠普开个舰长吗	(看到,给,我)
 119:40 - 122:07	我去，+10	(的,？,蒙)
 124:12 - 125:46	狗熊在的话还能骂骂卡比，多好啊	(有,吧,，)
 131:39 - 133:34	已自重	(自重,噢,鸳鸯)
 138:43 - 139:46	你一句话小粉必赢，现在给小粉sound都没汤了	(了,是,])
 140:57 - 141:06		()
 141:09 - 141:30	苍蝇连着三把没汤了	(汤,把,没)
 145:23 - 146:46	sb，蓝色	(?,鱼,记忆)
 152:29 - 153:20	主播要是对抗有胖哥七成功力就不会这么大力气了	(牛车,开,一把)
 165:00 - 165:10		()
 165:28 - 165:39	就非得不杀第一	(不杀,第一,非得)
 168:57 - 169:42	蒙的	(的,舰长,蒙)
 169:55 - 170:02	摸旗子了扣分少吗	(扣分,旗子,摸)
 170:48 - 171:30	倒闭了	(打压,倒闭,被)
 171:43 - 171:49	就非得念出来，还不承认你带节奏	(简直,念,承认)
 172:02 - 172:08		()
 172:19 - 172:37	那咋了	(素材,提供,快好了)
 178:04 - 179:12	喜欢主播的话可以🚶🐎💡卖电脑支持[哇]，搞黄直播间可以进胖哥粉丝群[比心]	(可以,群,粉丝)
 181:12 - 181:43	倒闭了	(倒闭,了,五年)




 182:54 - 184:15	我之前也是咳嗽，只有安宫牛黄丸能治，其他偏方正规药都不管用	(，,牛黄丸,安宫)
 187:07 - 187:28	想你了孙孙	(想,孙孙,你)
 189:12 - 189:43	主播受惊了	(受惊,了,两滴)
 191:51 - 191:56	jrjy	(jrjy)
 192:18 - 195:08	最后一个没结仇的好同事了[dog]	(了,又,7000)
 195:59 - 196:03		()
 198:17 - 198:43	主播放我出小黑屋，我是人脉，不会让你倒闭[傲娇]	(我出,教程,炸鱼)
 199:09 - 201:53	上次和狗熊公平图1v1挺流畅的，可是你输了[dog]	(不行,也,流畅)
 202:17 - 202:32	太好了	(太好了,走马灯)
 202:57 - 203:29	缺水了怎么办[委屈]主播给我补补水	(孙孙,给,了)
 206:20 - 206:31	开摄像头是准备千本樱了吗	(锃亮,油光,樱)
 206:35 - 209:39	看到主播的乃头了[哇]	(羡慕,主播,])
 213:53 - 215:08	太欢迎了	(欢迎,⚡,倒车)
 224:45 - 226:03	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(蒙,！,666)
 233:22 - 234:35	火箭过去了哈哈哈哈哈	(火箭,了,哇)
 239:50 - 242:53	灯一把就睡觉，主播我今天还能睡吗	(？,蘑菇,第一把)
 247:10 - 247:56	该，喜欢带金河田节奏	(小栗,金河田,同事)
 249:28 - 249:50	看得清辣	(看得清,难道说,辣)
 250:35 - 252:26	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(666,！,])
